date,ticker,open,high,low,close,adj_close,volume,dividend
2005-10-07,AAL,20.9,23.0,20.9,22.15,20.8784,16350134,0.0
2005-10-14,AAL,22.28,22.4,21.4,22.27,20.9915,9746113,0.0
2005-10-21,AAL,22.15,22.42,20.85,21.96,20.6993,14218231,0.0
2005-10-28,AAL,22.01,23.9,21.7,23.9,22.5279,9263807,0.0
2005-11-04,AAL,24.0,29.0,24.0,28.8,27.1466,16788473,0.0
2005-11-11,AAL,29.0,33.96,28.38,33.35,31.4354,16962467,0.0
2005-11-18,AAL,33.5,34.55,32.84,33.05,31.1527,10463003,0.0
2005-11-25,AAL,32.75,33.68,31.26,32.85,30.9641,5008043,0.0
2005-12-02,AAL,33.05,34.94,32.63,34.28,32.312,6835121,0.0
2005-12-09,AAL,32.08,34.18,31.38,33.88,31.935,9362734,0.0
2005-12-16,AAL,33.8,35.5,33.05,35.15,33.1321,7419304,0.0
2005-12-23,AAL,35.18,38.0,34.02,37.73,35.564,6391153,0.0
2005-12-30,AAL,37.99,38.8,36.35,37.14,35.0079,3128150,0.0
2006-01-06,AAL,37.2,40.6,36.85,39.0,36.7611,9674799,0.0
2006-01-13,AAL,38.8,38.88,32.96,34.05,32.0952,11071046,0.0
2006-01-20,AAL,33.55,33.55,28.6,29.24,27.5614,15471313,0.0
2006-01-27,AAL,29.49,31.51,28.3,28.89,27.2315,7636193,0.0
2006-02-03,AAL,28.73,30.41,28.35,29.55,27.8536,9087131,0.0
2006-02-10,AAL,29.2,30.76,28.62,30.0,28.2777,7392762,0.0
2006-02-17,AAL,31.05,34.2,30.55,33.15,31.2469,7675067,0.0
2006-02-24,AAL,32.5,35.02,31.3,33.52,31.5957,8016622,0.0
2006-03-03,AAL,33.9,34.07,31.32,31.87,30.0404,9063271,0.0
2006-03-10,AAL,31.9,33.89,31.38,33.26,31.3506,9624129,0.0
2006-03-17,AAL,33.25,35.5,32.78,35.43,33.396,8427614,0.0
2006-03-24,AAL,35.45,39.99,35.43,38.71,36.4877,20174264,0.0
2006-03-31,AAL,39.1,40.02,36.71,40.0,37.7037,16487936,0.0
2006-04-07,AAL,40.0,40.75,38.97,39.65,37.3738,14630831,0.0
2006-04-13,AAL,39.65,39.65,36.76,38.63,36.4123,13105362,0.0
2006-04-21,AAL,38.4,39.64,36.19,37.73,35.564,24276675,0.0
2006-04-28,AAL,39.25,44.7,39.04,43.26,40.7765,24241019,0.0
2006-05-05,AAL,43.19,49.2,43.19,48.59,45.8005,21045040,0.0
2006-05-12,AAL,49.1,52.18,46.48,48.02,45.2632,21623325,0.0
2006-05-19,AAL,48.85,49.95,45.79,47.4,44.6788,14706703,0.0
2006-05-26,AAL,47.4,47.5,42.76,46.37,43.708,17939410,0.0
2006-06-02,AAL,46.0,47.3,43.85,45.85,43.2178,16514746,0.0
2006-06-09,AAL,45.45,49.1,44.1,47.82,45.0747,19603485,0.0
