date,ticker,open,high,low,close,adj_close,volume,dividend
2001-01-12,AAMRQ,42.75,43.13,36.81,36.81,36.81,12898200,0.0
2001-01-19,AAMRQ,36.81,38.56,36.63,37.38,37.38,5677400,0.0
2001-01-26,AAMRQ,37.38,38.31,36.31,36.75,36.75,7077000,0.0
2001-02-02,AAMRQ,36.85,39.75,36.6,38.58,38.58,6689600,0.0
2001-02-09,AAMRQ,38.8,38.8,34.43,34.61,34.61,5110000,0.0
2001-02-16,AAMRQ,34.7,34.95,32.5,33.18,33.18,9329700,0.0
2001-02-23,AAMRQ,33.0,33.0,30.7,31.7,31.7,9097500,0.0
2001-03-02,AAMRQ,32.3,34.25,31.01,33.28,33.28,9100500,0.0
2001-03-09,AAMRQ,33.0,36.76,33.0,36.45,36.45,5762100,0.0
2001-03-16,AAMRQ,36.0,36.1,32.17,33.79,33.79,9843100,0.0
2001-03-23,AAMRQ,34.0,34.5,33.0,33.11,33.11,6647400,0.0
2001-03-30,AAMRQ,33.55,36.68,33.1,35.12,35.12,4741100,0.0
2001-04-06,AAMRQ,34.5,35.72,33.1,33.97,33.97,5154500,0.0
2001-04-12,AAMRQ,33.95,36.45,33.75,35.2,35.2,4127800,0.0
2001-04-20,AAMRQ,34.95,39.25,34.32,39.01,39.01,6206100,0.0
2001-04-27,AAMRQ,39.0,39.2,36.6,37.74,37.74,5362400,0.0
2001-05-04,AAMRQ,38.0,39.2,37.55,37.9,37.9,4722600,0.0
2001-05-11,AAMRQ,37.65,38.05,37.05,37.06,37.06,4381900,0.0
2001-05-18,AAMRQ,37.45,38.1,35.65,37.92,37.92,8521400,0.0
2001-05-25,AAMRQ,38.0,39.5,37.05,37.8,37.8,6365900,0.0
2001-06-01,AAMRQ,37.81,39.15,37.45,37.63,37.63,3726500,0.0
2001-06-08,AAMRQ,37.5,38.28,37.25,37.38,37.38,3381600,0.0
2001-06-15,AAMRQ,37.39,37.45,34.75,35.28,35.28,3252800,0.0
2001-06-22,AAMRQ,35.28,36.06,33.58,34.36,34.36,5288700,0.0
2001-06-29,AAMRQ,34.0,36.22,32.5,36.13,36.13,7183700,0.0
2001-07-06,AAMRQ,35.87,37.15,35.01,35.43,35.43,3906600,0.0
2001-07-13,AAMRQ,35.2,37.94,35.17,37.94,37.94,3361700,0.0
2001-07-20,AAMRQ,38.0,38.4,35.02,36.07,36.07,5779300,0.0
2001-07-27,AAMRQ,36.0,36.4,34.8,34.8,34.8,3601900,0.0
2001-08-03,AAMRQ,35.05,36.25,34.35,34.84,34.84,3400000,0.0
2001-08-10,AAMRQ,34.35,34.9,32.8,34.2,34.2,3859000,0.0
2001-08-17,AAMRQ,33.87,34.14,32.21,32.46,32.46,3000000,0.0
2001-08-24,AAMRQ,32.45,34.18,31.67,33.88,33.88,2944100,0.0
2001-08-31,AAMRQ,33.65,33.89,31.88,31.99,31.99,3176000,0.0
2001-09-07,AAMRQ,32.01,32.76,29.59,30.15,30.15,4068400,0.0
2001-09-10,AAMRQ,29.95,29.99,29.25,29.7,29.7,1314000,0.0
2001-09-21,AAMRQ,16.0,21.0,15.9,17.9,17.9,39098400,0.0
2001-09-28,AAMRQ,19.25,19.7,17.7,19.14,19.14,13417600,0.0
2001-10-05,AAMRQ,19.15,22.8,19.15,20.86,20.86,11377900,0.0
2001-10-12,AAMRQ,21.6,22.23,19.85,20.51,20.51,11002900,0.0
2001-10-19,AAMRQ,20.51,20.89,18.25,18.47,18.47,7944800,0.0
2001-10-26,AAMRQ,18.77,20.44,18.4,19.82,19.82,7240700,0.0
2001-11-02,AAMRQ,19.9,19.99,18.02,18.74,18.74,6669800,0.0
2001-11-09,AAMRQ,18.74,19.16,17.7,18.13,18.13,7183200,0.0
2001-11-16,AAMRQ,15.85,20.15,15.1,20.06,20.06,22949300,0.0
2001-11-23,AAMRQ,20.3,21.19,19.35,21.0,21.0,7345400,0.0
2001-11-30,AAMRQ,21.3,22.0,20.0,21.36,21.36,11925600,0.0
2001-12-07,AAMRQ,21.43,23.38,20.3,23.34,23.34,10564300,0.0
2001-12-14,AAMRQ,23.2,23.74,22.1,23.12,23.12,8677200,0.0
2001-12-21,AAMRQ,23.1,23.15,21.5,21.89,21.89,7756300,0.0
2001-12-28,AAMRQ,21.72,22.19,20.77,22.0,22.0,4327300,0.0
2002-01-04,AAMRQ,22.0,25.2,21.62,25.05,25.05,9211500,0.0
2002-01-11,AAMRQ,25.5,26.25,24.63,25.26,25.26,10636400,0.0
2002-01-18,AAMRQ,25.55,26.3,24.32,24.87,24.87,9534200,0.0
2002-01-25,AAMRQ,25.05,25.39,23.4,25.37,25.37,6911000,0.0
2002-02-01,AAMRQ,26.25,26.25,23.8,24.12,24.12,9153800,0.0
2002-02-08,AAMRQ,24.0,24.22,22.0,23.65,23.65,7008600,0.0
2002-02-15,AAMRQ,23.75,25.25,23.7,24.5,24.5,4162400,0.0
2002-02-22,AAMRQ,24.62,26.5,24.55,25.04,25.04,4786500,0.0
2002-03-01,AAMRQ,25.2,27.5,25.12,27.25,27.25,9055600,0.0
2002-03-08,AAMRQ,27.25,29.2,26.7,28.33,28.33,12105500,0.0
2002-03-15,AAMRQ,28.0,29.2,26.65,27.08,27.08,7972200,0.0
2002-03-22,AAMRQ,27.3,27.6,25.0,26.54,26.54,7268600,0.0
2002-03-28,AAMRQ,26.4,26.58,25.1,26.41,26.41,5092800,0.0
2002-04-05,AAMRQ,26.11,26.11,24.02,24.76,24.76,7408900,0.0
2002-04-12,AAMRQ,24.0,25.6,23.79,25.0,25.0,6973000,0.0
2002-04-19,AAMRQ,24.8,24.87,22.05,22.4,22.4,10567800,0.0
2002-04-26,AAMRQ,22.49,23.01,21.27,22.0,22.0,9296800,0.0
2002-05-03,AAMRQ,22.0,22.46,19.95,20.1,20.1,8007400,0.0
2002-05-10,AAMRQ,20.35,21.1,19.4,19.46,19.46,9987900,0.0
2002-05-17,AAMRQ,19.7,21.5,19.51,20.88,20.88,7259500,0.0
2002-05-24,AAMRQ,20.05,21.43,19.66,20.7,20.7,7097800,0.0
2002-05-31,AAMRQ,21.25,21.42,20.44,20.95,20.95,3966600,0.0
2002-06-07,AAMRQ,20.58,20.75,19.25,20.07,20.07,6050700,0.0
2002-06-14,AAMRQ,20.08,21.08,17.8,18.06,18.06,6987400,0.0
2002-06-21,AAMRQ,18.1,19.0,17.4,17.65,17.65,5878500,0.0
2002-06-28,AAMRQ,17.45,18.0,15.52,16.86,16.86,10077700,0.0
2002-07-05,AAMRQ,16.6,16.65,14.05,15.65,15.65,5519300,0.0
2002-07-12,AAMRQ,15.85,16.1,13.38,13.8,13.8,5927500,0.0
2002-07-19,AAMRQ,13.81,13.9,11.84,12.01,12.01,7543700,0.0
2002-07-26,AAMRQ,12.01,12.2,9.75,10.4,10.4,9989800,0.0
2002-08-02,AAMRQ,10.52,12.04,9.8,9.8,9.8,7718700,0.0
2002-08-09,AAMRQ,9.8,10.0,8.95,9.59,9.59,9520700,0.0
2002-08-16,AAMRQ,8.95,9.75,8.15,9.65,9.65,18034100,0.0
2002-08-23,AAMRQ,9.7,11.9,8.91,11.14,11.14,15485500,0.0
2002-08-30,AAMRQ,11.24,11.38,9.59,10.19,10.19,7485900,0.0
2002-09-06,AAMRQ,10.18,10.18,9.15,9.44,9.44,5178700,0.0
2002-09-13,AAMRQ,9.41,9.49,7.35,7.36,7.36,9763600,0.0
2002-09-20,AAMRQ,8.35,8.35,4.65,4.95,4.95,27771500,0.0
