date,ticker,open,high,low,close,adj_close,volume,dividend
2001-12-07,AAP,42.7,44.35,39.7,44.0,12.1998,397800,0.0
2001-12-14,AAP,43.9,44.13,40.55,40.89,11.3375,319800,0.0
2001-12-21,AAP,40.99,45.9,40.74,45.34,12.5714,374000,0.0
2001-12-28,AAP,45.3,47.65,45.2,47.05,13.0455,357800,0.0
2002-01-04,AAP,47.1,49.75,41.0,42.5,11.7839,274800,0.0
2002-01-11,AAP,42.5,44.25,39.85,43.5,12.0612,553600,0.0
2002-01-18,AAP,43.5,48.0,42.9,47.3,13.1148,633500,0.0
2002-01-25,AAP,47.31,47.31,45.7,46.9,13.0039,127800,0.0
2002-02-01,AAP,47.7,47.7,45.78,47.1,13.0594,72000,0.0
2002-02-08,AAP,47.0,47.0,43.8,44.8,12.4216,131300,0.0
2002-02-15,AAP,44.7,46.2,44.4,44.6,12.3662,61800,0.0
2002-02-22,AAP,44.7,45.75,43.8,44.9,12.4494,92100,0.0
2002-03-01,AAP,44.8,45.6,43.55,43.9,12.1721,161100,0.0
2002-03-08,AAP,43.8,44.2,40.52,41.5,11.5067,5854900,0.0
2002-03-15,AAP,41.5,44.45,41.0,44.35,12.2969,3337300,0.0
2002-03-22,AAP,44.0,45.1,43.75,44.25,12.2691,1409800,0.0
2002-03-28,AAP,44.0,46.05,43.75,46.0,12.7544,915000,0.0
2002-04-05,AAP,46.08,46.08,43.69,44.5,12.3385,1608100,0.0
2002-04-12,AAP,44.5,48.0,43.95,47.6,13.198,1087000,0.0
2002-04-19,AAP,48.3,50.05,47.9,50.0,13.8634,1171100,0.0
2002-04-26,AAP,50.25,57.5,49.65,56.75,15.735,2318000,0.0
2002-05-03,AAP,56.9,60.2,56.0,58.89,16.3284,1154400,0.0
2002-05-10,AAP,58.8,60.9,58.4,58.91,16.3339,823300,0.0
2002-05-17,AAP,58.8,62.19,58.14,61.09,16.9384,750700,0.0
2002-05-24,AAP,61.15,61.5,56.26,59.4,16.4698,4091300,0.0
2002-05-31,AAP,59.3,59.3,54.8,57.8,16.0261,1483700,0.0
2002-06-07,AAP,57.8,60.0,56.3,57.35,15.9014,1896900,0.0
2002-06-14,AAP,58.75,59.35,55.95,58.0,16.0816,1815900,0.0
2002-06-21,AAP,58.5,61.76,58.25,61.01,16.9162,2041000,0.0
2002-06-28,AAP,60.95,61.3,53.1,54.51,15.1139,2319100,0.0
2002-07-05,AAP,54.4,54.75,47.4,50.35,13.9605,2622900,0.0
2002-07-12,AAP,50.35,52.35,44.9,48.51,13.4503,2537700,0.0
2002-07-19,AAP,48.31,48.5,42.7,45.81,12.7017,3413100,0.0
2002-07-26,AAP,46.0,48.13,41.4,46.55,12.9069,2808400,0.0
2002-08-02,AAP,47.25,50.5,45.45,47.17,13.0788,2457200,0.0
2002-08-09,AAP,47.0,49.15,43.67,48.8,13.5307,2353700,0.0
2002-08-16,AAP,48.55,52.75,47.7,51.7,14.3348,2939200,0.0
2002-08-23,AAP,51.75,54.64,51.72,54.49,15.1084,1827600,0.0
2002-08-30,AAP,54.51,54.55,50.89,52.25,14.4873,1700100,0.0
2002-09-06,AAP,51.95,51.96,48.15,50.2,13.9189,1721700,0.0
2002-09-13,AAP,50.15,55.0,49.85,53.36,14.7951,1559200,0.0
2002-09-20,AAP,53.34,54.25,51.04,51.8,14.3625,1889500,0.0
2002-09-27,AAP,51.55,54.99,47.9,54.51,15.1139,2678900,0.0
2002-10-04,AAP,53.91,55.6,51.06,53.27,14.7701,2621900,0.0
2002-10-11,AAP,53.27,55.3,51.15,54.5,15.1112,2517100,0.0
2002-10-18,AAP,54.3,58.34,51.0,53.4,14.8062,5046400,0.0
2002-10-25,AAP,53.5,55.5,53.15,53.96,14.9614,2424200,0.0
2002-11-01,AAP,54.3,54.4,51.95,52.55,14.5705,2072700,0.0
2002-11-08,AAP,52.9,53.74,51.4,52.11,14.4485,1201500,0.0
2002-11-15,AAP,52.15,54.31,50.13,53.82,14.9226,1804600,0.0
2002-11-22,AAP,54.4,54.9,51.45,53.8,14.9171,4231000,0.0
2002-11-29,AAP,54.0,54.15,48.75,51.55,14.2932,4523800,0.0
2002-12-06,AAP,51.25,52.5,48.2,50.75,14.0714,2203400,0.0
2002-12-13,AAP,50.3,53.1,46.7,48.22,13.3699,11967900,0.0
2002-12-20,AAP,48.23,50.44,48.23,49.3,13.6694,2603800,0.0
2002-12-27,AAP,49.15,49.49,48.0,49.14,13.625,758100,0.0
2003-01-03,AAP,49.2,50.25,48.32,49.07,13.6056,1701800,0.0
2003-01-10,AAP,49.15,49.38,45.35,46.41,12.8681,3708000,0.0
2003-01-17,AAP,46.66,47.0,44.25,45.07,12.4965,3186000,0.0
2003-01-24,AAP,44.85,44.97,42.05,42.8,11.8671,3225400,0.0
2003-01-31,AAP,42.5,44.95,42.04,43.65,12.1028,3295300,0.0
2003-02-07,AAP,44.0,44.56,39.04,39.35,10.9105,3593800,0.0
2003-02-14,AAP,39.1,40.3,37.85,40.3,11.1739,5006500,0.0
2003-02-21,AAP,40.38,41.25,37.94,38.86,10.7747,2070700,0.0
2003-02-28,AAP,39.0,39.4,36.99,39.02,10.819,2278100,0.0
2003-03-07,AAP,39.27,39.64,37.8,39.28,10.8911,2711500,0.0
2003-03-14,AAP,39.18,43.25,38.86,43.25,11.9919,2708600,0.0
2003-03-21,AAP,42.85,45.8,42.35,45.71,12.674,3431300,0.0
2003-03-28,AAP,45.46,46.7,44.75,46.4,12.8653,2311500,0.0
2003-04-04,AAP,46.35,48.45,45.2,48.25,13.3782,1983900,0.0
2003-04-11,AAP,49.1,50.15,46.1,47.1,13.0594,1997300,0.0
2003-04-17,AAP,47.45,48.25,46.48,47.68,13.2202,1194300,0.0
2003-04-25,AAP,47.68,50.65,47.55,49.95,13.8496,1576200,0.0
2003-05-02,AAP,49.85,50.95,48.24,50.12,13.8967,2701100,0.0
2003-05-09,AAP,50.12,53.39,50.12,53.31,14.7812,1906600,0.0
2003-05-16,AAP,53.35,60.5,52.07,60.5,16.7748,5990700,0.0
2003-05-23,AAP,59.0,61.03,58.8,60.5,16.7748,3363700,0.0
2003-05-30,AAP,60.5,61.25,58.58,59.48,16.492,2896700,0.0
2003-06-06,AAP,59.48,62.72,59.17,60.02,16.6417,6089900,0.0
2003-06-13,AAP,59.8,61.9,58.92,60.1,16.6639,1945500,0.0
2003-06-20,AAP,60.55,62.26,58.23,58.72,16.2812,3561200,0.0
2003-06-27,AAP,58.72,60.98,56.8,60.24,16.7027,2728900,0.0
2003-07-03,AAP,60.24,62.03,58.0,61.77,17.1269,2531500,0.0
2003-07-11,AAP,62.3,64.32,61.57,63.51,17.6093,2269100,0.0
2003-07-18,AAP,63.85,66.83,63.85,65.2,18.0779,2086100,0.0
2003-07-25,AAP,65.15,68.01,64.2,67.89,18.8238,1376600,0.0
2003-08-01,AAP,67.9,69.0,66.9,67.99,18.8515,1639300,0.0
2003-08-08,AAP,68.3,69.13,64.76,68.54,19.004,4009500,0.0
2003-08-15,AAP,68.59,73.17,68.05,72.82,20.1907,2509300,0.0
2003-08-22,AAP,71.82,75.2,71.25,73.72,20.4403,2899300,0.0
2003-08-29,AAP,73.65,75.0,71.73,74.65,20.6981,1953700,0.0
