date,ticker,open,high,low,close,adj_close,volume,dividend
2010-11-19,ABKFQ,0.189,0.198,0.1675,0.169,0.169,50667677,0.0
2010-11-26,ABKFQ,0.1587,0.169,0.1325,0.143,0.143,25779730,0.0
2010-12-03,ABKFQ,0.146,0.15,0.105,0.1395,0.1395,41795282,0.0
2010-12-10,ABKFQ,0.1399,0.151,0.114,0.116,0.116,21011462,0.0
2010-12-17,ABKFQ,0.1125,0.126,0.105,0.113,0.113,19997694,0.0
2010-12-23,ABKFQ,0.114,0.1153,0.101,0.1069,0.1069,16063563,0.0
2010-12-31,ABKFQ,0.1075,0.125,0.102,0.1111,0.1111,32660650,0.0
2011-01-07,ABKFQ,0.1111,0.133,0.108,0.115,0.115,16793294,0.0
2011-01-14,ABKFQ,0.1184,0.134,0.1136,0.117,0.117,26669331,0.0
2011-01-21,ABKFQ,0.118,0.12,0.1131,0.1141,0.1141,12332698,0.0
2011-01-28,ABKFQ,0.1141,0.2748,0.1141,0.178,0.178,113177009,0.0
2011-02-04,ABKFQ,0.18,0.26,0.18,0.2,0.2,31035845,0.0
2011-02-11,ABKFQ,0.2185,0.245,0.201,0.2231,0.2231,23915261,0.0
2011-02-18,ABKFQ,0.215,0.242,0.1721,0.219,0.219,22110332,0.0
2011-02-25,ABKFQ,0.2166,0.235,0.18,0.181,0.181,15230012,0.0
2011-03-04,ABKFQ,0.19,0.193,0.158,0.16,0.16,11865554,0.0
2011-03-11,ABKFQ,0.16,0.17,0.1481,0.16,0.16,9727281,0.0
2011-03-18,ABKFQ,0.16,0.172,0.135,0.145,0.145,8905115,0.0
2011-03-25,ABKFQ,0.145,0.16,0.13,0.131,0.131,8089813,0.0
2011-04-01,ABKFQ,0.132,0.18,0.13,0.147,0.147,13738057,0.0
2011-04-08,ABKFQ,0.15,0.153,0.13,0.132,0.132,11026611,0.0
2011-04-15,ABKFQ,0.143,0.159,0.125,0.144,0.144,9117223,0.0
2011-04-21,ABKFQ,0.16,0.16,0.131,0.14,0.14,6555855,0.0
2011-04-29,ABKFQ,0.14,0.146,0.1319,0.1382,0.1382,3894822,0.0
2011-05-06,ABKFQ,0.146,0.147,0.135,0.138,0.138,3138839,0.0
2011-05-13,ABKFQ,0.1351,0.15,0.1325,0.135,0.135,3969420,0.0
2011-05-20,ABKFQ,0.135,0.14,0.131,0.137,0.137,3679876,0.0
2011-05-27,ABKFQ,0.138,0.156,0.103,0.124,0.124,21868379,0.0
2011-06-03,ABKFQ,0.124,0.128,0.11,0.115,0.115,4244738,0.0
2011-06-10,ABKFQ,0.1121,0.1188,0.1,0.1035,0.1035,4365509,0.0
2011-06-17,ABKFQ,0.102,0.11,0.079,0.095,0.095,10978423,0.0
2011-06-24,ABKFQ,0.095,0.105,0.095,0.1,0.1,3576593,0.0
2011-07-01,ABKFQ,0.1,0.109,0.097,0.1025,0.1025,2293292,0.0
2011-07-08,ABKFQ,0.1,0.1049,0.06,0.087,0.087,6551865,0.0
2011-07-15,ABKFQ,0.085,0.12,0.065,0.1058,0.1058,18816896,0.0
2011-07-22,ABKFQ,0.1014,0.104,0.081,0.088,0.088,3814479,0.0
2011-07-29,ABKFQ,0.083,0.11,0.083,0.101,0.101,8680559,0.0
2011-08-05,ABKFQ,0.102,0.102,0.075,0.075,0.075,4052619,0.0
2011-08-12,ABKFQ,0.071,0.084,0.0605,0.079,0.079,5495736,0.0
2011-08-19,ABKFQ,0.075,0.08,0.065,0.067,0.067,2394504,0.0
2011-08-26,ABKFQ,0.065,0.0829,0.06,0.066,0.066,4538095,0.0
2011-09-02,ABKFQ,0.0635,0.075,0.063,0.075,0.075,2692645,0.0
2011-09-09,ABKFQ,0.069,0.075,0.0631,0.068,0.068,2304814,0.0
2011-09-16,ABKFQ,0.0635,0.07,0.059,0.063,0.063,2357800,0.0
2011-09-23,ABKFQ,0.061,0.0695,0.05,0.056,0.056,4021638,0.0
2011-09-30,ABKFQ,0.051,0.066,0.0401,0.064,0.064,5952176,0.0
2011-10-07,ABKFQ,0.065,0.078,0.051,0.056,0.056,10164113,0.0
