date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,ACAS,20.63,22.88,20.56,21.0,4.9502,403700,0.0
1999-11-19,ACAS,20.88,21.13,19.13,19.88,4.6862,228000,0.0
1999-11-26,ACAS,19.75,20.81,19.69,20.5,4.8323,172200,0.0
1999-12-03,ACAS,20.56,20.88,19.75,20.63,4.863,117500,0.0
1999-12-10,ACAS,20.81,21.44,20.13,21.25,5.0091,179700,0.0
1999-12-17,ACAS,21.31,23.13,19.81,22.13,5.3278,563000,0.44
1999-12-23,ACAS,21.78,22.25,20.5,21.13,5.0871,345000,0.0
1999-12-31,ACAS,21.5,23.0,21.0,22.75,5.4847,226000,0.03
2000-01-07,ACAS,23.0,24.13,21.88,24.13,5.8174,563300,0.0
2000-01-14,ACAS,24.06,25.0,23.5,24.63,5.938,792400,0.0
2000-01-21,ACAS,24.72,24.88,23.31,23.63,5.6969,314500,0.0
2000-01-28,ACAS,23.63,24.69,21.75,24.0,5.7861,525100,0.0
2000-02-04,ACAS,24.0,26.81,23.25,24.25,5.8464,1153000,0.0
2000-02-11,ACAS,24.5,24.75,23.0,23.38,5.6366,568800,0.0
2000-02-18,ACAS,23.5,23.5,21.75,22.31,5.3787,247100,0.0
2000-02-25,ACAS,22.25,23.0,20.88,22.56,5.4389,272500,0.0
2000-03-03,ACAS,22.63,24.25,22.25,23.31,5.6197,312300,0.0
2000-03-10,ACAS,23.31,24.0,21.75,22.63,5.4558,403800,0.0
2000-03-17,ACAS,22.25,22.88,21.38,22.75,5.5969,257200,0.45
2000-03-24,ACAS,22.88,24.13,22.31,24.13,5.9364,223200,0.0
2000-03-31,ACAS,24.06,26.13,23.0,25.38,6.2439,457100,0.0
2000-04-07,ACAS,25.63,27.75,22.75,25.5,6.2735,536200,0.0
2000-04-14,ACAS,25.5,26.0,23.5,23.81,5.8577,290900,0.0
2000-04-20,ACAS,23.81,25.13,22.5,24.63,6.0594,278600,0.0
2000-04-28,ACAS,24.5,24.56,22.0,24.25,5.9659,239400,0.0
2000-05-05,ACAS,24.25,24.28,22.31,22.69,5.5822,389900,0.0
2000-05-12,ACAS,22.75,22.94,21.31,21.56,5.3042,442600,0.0
2000-05-19,ACAS,21.63,22.5,19.81,21.88,5.5017,4687400,0.49
2000-05-26,ACAS,21.63,21.88,19.94,20.81,5.2327,1368600,0.0
2000-06-02,ACAS,21.13,21.44,20.5,21.38,5.376,638700,0.0
2000-06-09,ACAS,21.38,22.13,21.06,21.69,5.454,625900,0.0
2000-06-16,ACAS,21.84,22.94,21.25,22.63,5.6903,726500,0.0
2000-06-23,ACAS,22.88,23.25,22.25,22.63,5.6903,718500,0.0
2000-06-30,ACAS,22.56,24.75,21.56,23.88,6.0046,1847900,0.0
2000-07-07,ACAS,23.25,25.0,23.06,24.81,6.2385,784600,0.0
2000-07-14,ACAS,24.88,26.0,23.88,26.0,6.5377,512300,0.0
2000-07-21,ACAS,25.94,26.0,23.88,24.31,6.1128,721000,0.0
2000-07-28,ACAS,24.31,25.44,24.25,25.06,6.3014,301500,0.0
2000-08-04,ACAS,25.25,25.88,23.5,24.0,6.0348,620200,0.0
2000-08-11,ACAS,24.0,24.5,22.44,24.38,6.1304,505100,0.0
2000-08-18,ACAS,24.25,25.19,22.75,22.94,5.7683,335900,0.0
2000-08-25,ACAS,22.84,24.13,22.81,23.56,5.9242,271900,0.0
2000-09-01,ACAS,23.5,24.31,23.38,23.94,6.0197,359900,0.0
2000-09-08,ACAS,24.0,24.19,23.5,23.75,5.972,248400,0.0
2000-09-15,ACAS,24.06,24.06,23.06,23.25,5.9672,1112500,0.49
2000-09-22,ACAS,23.19,24.25,22.0,23.25,5.9672,508400,0.0
2000-09-29,ACAS,23.5,24.38,21.75,23.69,6.0801,455300,0.0
2000-10-06,ACAS,23.88,24.09,21.88,22.06,5.6617,343000,0.0
2000-10-13,ACAS,22.5,22.75,20.25,20.75,5.3255,588500,0.0
2000-10-20,ACAS,21.13,22.5,21.13,22.06,5.6617,655500,0.0
2000-10-27,ACAS,22.0,22.63,21.44,22.31,5.7259,350400,0.0
2000-11-03,ACAS,22.0,24.13,21.31,24.0,6.1596,711500,0.0
2000-11-10,ACAS,24.13,24.13,21.38,21.75,5.5822,1461400,0.0
2000-11-17,ACAS,21.75,23.06,21.38,22.5,5.7747,1071700,0.0
2000-11-24,ACAS,22.25,22.5,21.69,21.83,5.6027,305200,0.0
2000-12-01,ACAS,22.0,22.25,20.69,22.0,5.6463,585600,0.0
2000-12-08,ACAS,21.97,23.38,21.19,23.06,6.0519,853300,0.52
2000-12-15,ACAS,22.94,23.63,21.88,23.56,6.1831,992100,0.0
2000-12-22,ACAS,23.63,25.25,22.63,24.56,6.4455,768700,0.0
2000-12-29,ACAS,25.0,26.0,24.0,25.19,6.6699,652900,0.22
2001-01-05,ACAS,25.31,25.38,21.88,21.88,5.7935,1092900,0.0
2001-01-12,ACAS,22.25,24.94,21.89,24.31,6.4369,881900,0.0
2001-01-19,ACAS,24.44,25.06,23.75,25.0,6.6196,677400,0.0
2001-01-26,ACAS,24.88,26.13,24.0,25.13,6.654,1458100,0.0
2001-02-02,ACAS,25.19,26.88,24.75,24.88,6.5878,1320200,0.0
2001-02-09,ACAS,25.23,26.0,24.5,25.0,6.6196,1073100,0.0
2001-02-16,ACAS,25.06,27.88,24.63,26.38,6.985,1109500,0.0
2001-02-23,ACAS,26.5,26.75,25.5,26.0,6.8844,762300,0.0
2001-03-02,ACAS,26.0,26.19,23.88,25.25,6.6858,1067000,0.0
2001-03-09,ACAS,25.25,26.0,25.06,25.56,6.7679,578800,0.0
2001-03-16,ACAS,25.56,26.44,23.69,24.44,6.6055,960700,0.53
2001-03-23,ACAS,24.5,25.56,24.0,25.38,6.8596,941100,0.0
2001-03-30,ACAS,25.47,26.69,25.0,25.44,6.8758,1333400,0.0
2001-04-06,ACAS,25.88,26.63,24.25,24.75,6.6893,1128400,0.0
2001-04-12,ACAS,25.12,26.4,25.11,26.05,7.0406,823200,0.0
2001-04-20,ACAS,26.09,26.4,25.81,26.1,7.0542,717700,0.0
2001-04-27,ACAS,26.09,27.09,25.91,26.98,7.292,870200,0.0
2001-05-04,ACAS,27.05,27.05,25.85,26.0,7.0271,1001900,0.0
2001-05-11,ACAS,26.05,26.5,25.66,25.66,6.9352,1095500,0.0
2001-05-18,ACAS,25.7,26.99,25.3,26.31,7.1109,686700,0.0
2001-05-25,ACAS,26.25,28.1,25.95,27.32,7.3839,967800,0.0
2001-06-01,ACAS,27.4,27.78,26.45,26.8,7.3879,641800,0.55
2001-06-08,ACAS,26.71,27.7,26.3,26.48,7.2997,1097900,0.0
2001-06-15,ACAS,26.45,26.7,25.9,26.0,7.1674,862600,0.0
2001-06-22,ACAS,25.9,26.25,25.25,25.96,7.1564,625900,0.0
