date,ticker,open,high,low,close,adj_close,volume,dividend
2010-02-12,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-02-19,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-02-26,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-03-05,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-03-12,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-03-19,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-03-26,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-04-01,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-04-09,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-04-16,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-04-23,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-04-30,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-05-07,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-05-14,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-05-21,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-05-28,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-06-04,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-06-11,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-06-18,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-06-25,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-07-02,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-07-09,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-07-16,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-07-23,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-07-30,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-08-06,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-08-13,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-08-20,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-08-27,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-09-03,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-09-10,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-09-17,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-09-24,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-10-01,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-10-08,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-10-15,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-10-22,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-10-29,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-11-05,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-11-12,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-11-19,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-11-26,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-12-03,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-12-10,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-12-17,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-12-23,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2010-12-31,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2011-01-07,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2011-01-14,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2011-01-21,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2011-01-28,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2011-02-04,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2011-02-11,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
2011-02-14,ACS,59.64,59.64,59.64,59.64,59.64,0,0.0
