date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,AET,57.38,59.19,55.5,57.25,6.2783,5312300,0.0
1999-11-19,AET,57.25,61.0,56.56,56.94,6.2444,6088600,0.0
1999-11-26,AET,57.19,57.19,54.56,55.12,6.0448,2943200,0.0
1999-12-03,AET,54.88,60.06,53.62,60.06,6.5865,5478000,0.0
1999-12-10,AET,60.0,60.0,52.81,53.06,5.8188,5229800,0.0
1999-12-17,AET,53.12,54.81,51.38,51.5,5.6478,5211300,0.0
1999-12-23,AET,50.06,55.44,49.38,54.19,5.9428,4367200,0.0
1999-12-31,AET,54.19,55.88,54.06,55.81,6.1204,1711400,0.0
2000-01-07,AET,55.38,58.19,53.75,57.88,6.3474,7710100,0.0
2000-01-14,AET,56.75,58.62,56.06,56.25,6.1687,5002800,0.0
2000-01-21,AET,55.75,56.94,55.44,55.69,6.1073,2836100,0.0
2000-01-28,AET,56.0,56.0,53.25,53.5,5.9096,3505100,0.4
2000-02-04,AET,53.25,57.88,53.0,56.0,6.1857,4570900,0.0
2000-02-11,AET,55.75,57.12,39.44,40.0,4.4184,15835200,0.0
2000-02-18,AET,40.0,42.81,38.5,38.69,4.2737,5961400,0.0
2000-02-25,AET,38.69,43.0,38.5,41.12,4.5421,6757000,0.0
2000-03-03,AET,40.88,61.88,39.0,53.44,5.903,16498800,0.0
2000-03-10,AET,53.5,58.69,50.0,56.0,6.1857,7260900,0.0
2000-03-17,AET,49.25,56.25,47.0,54.0,5.9648,8780200,0.0
2000-03-24,AET,54.25,57.0,51.19,57.0,6.2962,4242900,0.0
2000-03-31,AET,57.0,57.0,52.25,55.5,6.1305,4435500,0.0
2000-04-07,AET,55.75,58.25,53.12,56.75,6.2686,5940500,0.0
2000-04-14,AET,56.5,60.0,52.25,53.5,5.9096,5213000,0.0
2000-04-20,AET,53.25,55.19,51.5,54.38,6.0068,2224500,0.0
2000-04-28,AET,53.62,59.94,53.44,57.88,6.4397,4936000,0.4
2000-05-05,AET,56.5,58.62,55.31,56.38,6.2728,2805500,0.0
2000-05-12,AET,56.31,59.62,56.31,58.75,6.5365,3070200,0.0
2000-05-19,AET,58.75,61.94,58.06,61.69,6.8636,4480800,0.0
2000-05-26,AET,62.25,66.88,61.75,64.06,7.1273,6227300,0.0
2000-06-02,AET,64.31,69.94,61.75,68.94,7.6703,7315500,0.0
2000-06-09,AET,68.0,69.12,65.0,67.38,7.4967,3554200,0.0
2000-06-16,AET,69.38,73.69,68.25,69.5,7.7326,6460700,0.0
2000-06-23,AET,66.75,68.88,65.0,65.69,7.3087,4183600,0.0
2000-06-30,AET,65.75,66.31,60.62,64.19,7.1418,3967000,0.0
2000-07-07,AET,63.94,68.81,62.12,67.81,7.5445,1986300,0.0
2000-07-14,AET,67.44,72.0,66.81,71.12,7.9128,3760400,0.0
2000-07-21,AET,71.12,71.12,56.0,57.25,6.3696,15378600,0.0
2000-07-28,AET,56.5,57.44,54.0,55.44,6.2132,5091200,0.4
2000-08-04,AET,55.62,59.88,55.06,59.5,6.6682,3725600,0.0
