date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,AIT,16.94,17.12,16.56,16.63,4.3723,53467,0.12
1999-11-19,AIT,16.75,17.37,16.63,17.31,4.5511,79645,0.0
1999-11-26,AIT,17.37,17.75,16.56,16.56,4.3539,115066,0.0
1999-12-03,AIT,16.56,17.12,16.5,16.94,4.4538,110534,0.0
1999-12-10,AIT,16.94,17.0,16.75,16.94,4.4538,221155,0.0
1999-12-17,AIT,16.94,17.0,16.75,16.81,4.4196,133379,0.0
1999-12-23,AIT,16.75,17.0,16.5,16.63,4.3723,57911,0.0
1999-12-31,AIT,16.63,16.63,16.0,16.63,4.3723,48267,0.0
2000-01-07,AIT,16.5,16.81,15.12,15.19,3.9937,63689,0.0
2000-01-14,AIT,15.06,15.75,14.75,15.75,4.1409,89599,0.0
2000-01-21,AIT,15.94,17.0,15.37,16.81,4.4196,155467,0.0
2000-01-28,AIT,16.69,16.75,15.88,16.13,4.2408,261155,0.0
2000-02-04,AIT,16.13,16.44,15.75,16.06,4.2224,201867,0.0
2000-02-11,AIT,16.0,16.81,15.69,16.0,4.237,327334,0.12
2000-02-18,AIT,16.0,16.19,15.25,15.44,4.0887,436399,0.0
2000-02-25,AIT,15.44,17.12,15.25,16.94,4.4859,125822,0.0
2000-03-03,AIT,16.94,18.19,16.75,16.81,4.4515,179423,0.0
2000-03-10,AIT,16.56,17.5,16.56,17.06,4.5177,154177,0.0
2000-03-17,AIT,16.88,17.5,16.38,16.88,4.47,106666,0.0
2000-03-24,AIT,16.94,16.94,15.44,16.0,4.237,115467,0.0
2000-03-31,AIT,16.0,16.13,15.5,16.0,4.237,64445,0.0
2000-04-07,AIT,16.0,16.56,15.81,15.81,4.1867,103690,0.0
2000-04-14,AIT,15.81,15.88,14.94,15.0,3.9722,249022,0.0
2000-04-20,AIT,14.87,16.06,14.31,16.06,4.2529,152356,0.0
2000-04-28,AIT,16.25,17.37,15.44,17.37,4.5998,127733,0.0
2000-05-05,AIT,17.37,17.94,16.38,16.75,4.4356,117867,0.0
2000-05-12,AIT,16.38,17.37,16.38,17.19,4.5841,189778,0.12
2000-05-19,AIT,17.06,17.56,16.56,17.44,4.6508,138312,0.0
2000-05-26,AIT,17.44,18.13,16.69,17.62,4.6988,130578,0.0
2000-06-02,AIT,17.59,17.59,17.0,17.0,4.5335,68133,0.0
2000-06-09,AIT,16.75,17.0,16.75,17.0,4.5335,78312,0.0
2000-06-16,AIT,16.94,17.5,16.88,17.12,4.5655,172578,0.0
2000-06-23,AIT,17.25,17.37,16.94,17.12,4.5655,63956,0.0
2000-06-30,AIT,17.0,17.44,16.36,16.38,4.3681,156756,0.0
2000-07-07,AIT,16.5,17.44,16.5,17.31,4.6161,38044,0.0
2000-07-14,AIT,17.25,17.44,17.0,17.38,4.6348,108356,0.0
2000-07-21,AIT,17.31,17.38,15.81,15.94,4.2508,105868,0.0
2000-07-28,AIT,15.94,16.5,15.69,16.31,4.3495,68222,0.0
2000-08-04,AIT,16.31,17.5,16.0,17.38,4.6348,57779,0.0
2000-08-11,AIT,17.44,18.31,16.81,17.38,4.6668,145733,0.12
2000-08-18,AIT,17.44,18.0,17.13,17.25,4.6319,405866,0.0
2000-08-25,AIT,17.25,17.25,16.06,16.88,4.5326,140934,0.0
2000-09-01,AIT,16.88,16.94,16.63,16.69,4.4815,144000,0.0
2000-09-08,AIT,16.81,17.19,16.38,17.19,4.6158,270001,0.0
2000-09-15,AIT,17.25,18.06,17.25,17.81,4.7823,107334,0.0
2000-09-22,AIT,17.69,17.69,17.25,17.25,4.6319,81112,0.0
2000-09-29,AIT,17.13,17.63,16.94,17.31,4.648,89333,0.0
2000-10-06,AIT,17.13,17.38,16.63,17.0,4.5648,65156,0.0
2000-10-13,AIT,16.88,16.88,16.0,16.5,4.4305,42000,0.0
2000-10-20,AIT,16.5,16.63,15.88,16.31,4.3795,52089,0.0
2000-10-27,AIT,16.38,17.75,16.38,16.75,4.4977,84399,0.0
2000-11-03,AIT,16.69,17.44,16.69,17.44,4.6829,160800,0.0
2000-11-10,AIT,17.44,17.44,16.94,17.0,4.5648,111334,0.0
2000-11-17,AIT,16.75,17.38,16.63,17.38,4.6995,65378,0.12
2000-11-24,AIT,17.38,17.38,17.0,17.38,4.6995,99511,0.0
2000-12-01,AIT,17.38,18.06,17.13,17.88,4.8347,135690,0.0
2000-12-08,AIT,17.88,18.81,17.63,18.75,5.07,213557,0.0
2000-12-15,AIT,18.88,20.06,18.88,19.5,5.2728,208488,0.0
2000-12-22,AIT,19.56,20.5,18.94,20.44,5.5269,154311,0.0
2000-12-29,AIT,20.31,21.0,20.0,20.56,5.5594,91112,0.0
2001-01-05,AIT,20.56,20.69,19.38,19.88,5.3755,195200,0.0
2001-01-12,AIT,19.75,20.25,19.25,19.56,5.289,216578,0.0
