date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,AIV,38.44,39.06,38.25,38.5,0.4456,467700,0.0
1999-11-19,AIV,38.69,38.75,37.0,37.5,0.434,761300,0.0
1999-11-26,AIV,37.31,37.44,36.19,36.63,0.424,708100,0.0
1999-12-03,AIV,36.5,37.75,36.44,37.44,0.4333,727700,0.0
1999-12-10,AIV,37.44,37.44,36.63,36.75,0.4253,876400,0.0
1999-12-17,AIV,36.81,36.88,34.06,35.12,0.4065,1598000,0.0
1999-12-23,AIV,35.38,36.56,35.0,36.38,0.4211,640000,0.0
1999-12-31,AIV,36.31,40.19,36.31,39.81,0.4608,778000,0.0
2000-01-07,AIV,39.75,39.81,37.31,39.06,0.4521,719800,0.0
2000-01-14,AIV,39.0,39.75,37.5,37.56,0.4347,1696700,0.0
2000-01-21,AIV,37.56,38.81,37.38,38.19,0.442,408900,0.0
2000-01-28,AIV,38.06,38.13,36.63,37.75,0.4369,1050400,0.0
2000-02-04,AIV,37.75,38.25,36.5,36.69,0.4325,2352600,0.7
2000-02-11,AIV,36.69,37.44,36.31,36.75,0.4332,616100,0.0
2000-02-18,AIV,37.25,38.06,36.5,37.5,0.442,894400,0.0
2000-02-25,AIV,37.44,37.69,36.94,37.19,0.4384,217700,0.0
2000-03-03,AIV,37.06,37.56,36.38,37.19,0.4384,687700,0.0
2000-03-10,AIV,37.25,37.81,36.44,37.13,0.4377,531100,0.0
2000-03-17,AIV,37.38,39.94,36.75,39.81,0.4693,756300,0.0
2000-03-24,AIV,39.94,39.94,37.88,38.0,0.4479,1009700,0.0
2000-03-31,AIV,38.25,39.13,37.75,38.19,0.4502,854100,0.0
2000-04-07,AIV,38.13,39.25,37.75,39.25,0.4627,972300,0.0
2000-04-14,AIV,39.0,40.56,39.0,39.94,0.4708,1253200,0.0
2000-04-20,AIV,39.81,40.13,39.25,40.13,0.473,519400,0.0
2000-04-28,AIV,39.88,40.5,39.31,39.75,0.4686,746200,0.0
2000-05-05,AIV,40.06,42.94,40.06,40.69,0.4879,783100,0.7
2000-05-12,AIV,40.56,40.88,40.0,40.5,0.4856,396200,0.0
2000-05-19,AIV,40.75,40.75,39.81,40.38,0.4842,373500,0.0
2000-05-26,AIV,40.63,41.25,40.0,40.25,0.4826,685500,0.0
2000-06-02,AIV,40.38,41.0,39.63,40.59,0.4867,359500,0.0
2000-06-09,AIV,40.38,42.0,40.25,41.78,0.5009,404700,0.0
2000-06-16,AIV,42.0,43.13,41.69,41.97,0.5032,782800,0.0
2000-06-23,AIV,42.0,43.81,41.75,43.25,0.5186,555800,0.0
2000-06-30,AIV,43.31,45.25,42.31,43.56,0.5223,999300,0.0
2000-07-07,AIV,43.69,45.75,43.69,45.63,0.5471,1475500,0.0
2000-07-14,AIV,45.38,46.06,45.13,45.5,0.5455,851100,0.0
2000-07-21,AIV,45.25,46.19,45.25,46.19,0.5538,539100,0.0
2000-07-28,AIV,46.06,49.38,46.06,48.34,0.5796,2240900,0.0
2000-08-04,AIV,48.13,48.44,46.13,46.38,0.5644,731300,0.7
2000-08-11,AIV,46.13,46.56,45.75,46.22,0.5624,534000,0.0
2000-08-18,AIV,46.44,47.19,46.31,46.38,0.5644,616500,0.0
2000-08-25,AIV,46.44,46.56,45.06,45.19,0.5499,2518500,0.0
2000-09-01,AIV,45.38,45.5,44.0,44.94,0.5468,570500,0.0
2000-09-08,AIV,44.75,46.63,44.5,46.25,0.5628,773800,0.0
2000-09-15,AIV,46.19,46.69,45.25,45.31,0.5513,419100,0.0
2000-09-22,AIV,45.06,45.63,43.78,44.81,0.5453,417700,0.0
2000-09-29,AIV,44.0,46.13,44.0,46.06,0.5605,293700,0.0
2000-10-06,AIV,46.0,46.06,44.5,44.81,0.5453,423700,0.0
2000-10-13,AIV,44.88,45.13,43.31,43.56,0.53,373700,0.0
2000-10-20,AIV,43.81,44.38,42.63,44.38,0.54,821800,0.0
2000-10-27,AIV,44.38,44.69,43.06,44.44,0.5408,607700,0.0
2000-11-03,AIV,44.25,45.69,43.69,44.0,0.5439,625500,0.7
2000-11-10,AIV,44.0,45.0,43.88,44.06,0.5447,215900,0.0
2000-11-17,AIV,44.19,44.94,43.88,44.0,0.5439,593600,0.0
2000-11-24,AIV,44.0,44.13,43.25,43.81,0.5416,573200,0.0
2000-12-01,AIV,43.94,47.0,43.81,46.5,0.5748,1228400,0.0
2000-12-08,AIV,46.63,49.19,46.56,48.19,0.5957,1345900,0.0
2000-12-15,AIV,48.19,48.75,48.0,48.44,0.5988,925500,0.0
2000-12-22,AIV,48.44,49.75,47.38,47.44,0.5864,1059100,0.0
2000-12-29,AIV,47.5,50.06,47.44,49.94,0.6173,403700,0.0
2001-01-05,AIV,50.13,50.13,47.69,47.88,0.5919,878100,0.0
2001-01-12,AIV,47.94,48.38,47.0,47.13,0.5826,778200,0.0
2001-01-19,AIV,47.13,47.38,45.75,46.5,0.5748,1252100,0.0
2001-01-26,AIV,46.5,48.25,46.44,47.31,0.5848,1029000,0.0
2001-02-02,AIV,46.85,47.14,45.9,46.25,0.5814,1077000,0.78
2001-02-09,AIV,46.08,46.65,42.49,43.1,0.5418,3646600,0.0
2001-02-16,AIV,43.1,43.7,41.91,43.55,0.5475,2117400,0.0
2001-02-23,AIV,44.25,44.25,42.11,43.0,0.5405,1459800,0.0
2001-03-02,AIV,43.01,45.9,42.65,45.29,0.5693,1881300,0.0
2001-03-09,AIV,45.25,45.26,43.0,43.06,0.5413,2640100,0.0
2001-03-16,AIV,43.06,43.2,42.55,42.66,0.5363,979500,0.0
2001-03-23,AIV,42.66,42.75,39.25,41.5,0.5217,3698200,0.0
2001-03-30,AIV,41.5,44.45,41.5,44.45,0.5588,1289600,0.0
2001-04-06,AIV,44.0,44.0,42.76,43.54,0.5473,1401800,0.0
2001-04-12,AIV,43.2,43.81,42.7,43.3,0.5443,776100,0.0
2001-04-20,AIV,43.15,43.95,42.9,43.71,0.5495,1342700,0.0
2001-04-27,AIV,43.75,44.9,42.95,44.63,0.561,911600,0.0
2001-05-04,AIV,44.63,44.73,43.25,44.0,0.563,1169700,0.78
2001-05-11,AIV,44.25,44.3,43.5,44.08,0.564,543400,0.0
2001-05-18,AIV,44.25,45.56,44.18,45.55,0.5828,515100,0.0
2001-05-25,AIV,45.45,46.18,45.05,45.98,0.5883,860500,0.0
2001-06-01,AIV,45.99,46.0,45.2,45.85,0.5867,361100,0.0
2001-06-08,AIV,45.85,46.45,45.7,46.21,0.5913,384900,0.0
2001-06-15,AIV,46.22,48.0,46.22,47.45,0.6071,771300,0.0
2001-06-22,AIV,47.25,48.0,46.85,47.62,0.6093,696000,0.0
2001-06-29,AIV,47.7,48.4,47.53,48.2,0.6167,875300,0.0
2001-07-06,AIV,48.2,49.0,47.61,48.65,0.6225,544500,0.0
2001-07-13,AIV,48.8,48.8,47.0,47.6,0.6091,963800,0.0
2001-07-20,AIV,47.7,48.5,47.58,48.45,0.6199,790000,0.0
2001-07-27,AIV,48.55,48.55,46.01,46.45,0.5943,1508500,0.0
2001-08-03,AIV,46.5,46.66,45.34,45.55,0.5928,1309400,0.78
2001-08-10,AIV,45.55,47.23,45.45,47.0,0.6117,1087400,0.0
2001-08-17,AIV,47.2,47.68,46.35,47.68,0.6205,1212200,0.0
2001-08-24,AIV,47.68,49.2,47.39,48.6,0.6325,711700,0.0
2001-08-31,AIV,48.6,49.08,47.99,48.0,0.6247,464100,0.0
2001-09-07,AIV,48.0,48.0,46.79,47.06,0.6125,448300,0.0
2001-09-10,AIV,47.65,47.69,47.1,47.15,0.6136,112800,0.0
2001-09-21,AIV,46.8,47.15,43.5,44.35,0.5772,1156900,0.0
2001-09-28,AIV,44.75,45.3,43.4,45.26,0.589,1191700,0.0
2001-10-05,AIV,45.1,45.35,42.47,43.05,0.5603,2268500,0.0
2001-10-12,AIV,43.11,43.35,42.5,43.2,0.5622,1502600,0.0
2001-10-19,AIV,43.15,43.7,42.51,42.65,0.5551,967100,0.0
2001-10-26,AIV,42.6,42.61,41.3,41.88,0.5451,1553300,0.0
2001-11-02,AIV,41.8,42.4,40.7,42.03,0.5572,1246000,0.78
2001-11-09,AIV,42.0,43.45,41.64,43.15,0.572,941600,0.0
2001-11-16,AIV,43.2,44.99,42.91,44.64,0.5918,844600,0.0
2001-11-23,AIV,44.85,44.95,44.19,44.75,0.5932,596900,0.0
2001-11-30,AIV,44.75,45.1,44.1,44.5,0.5899,652300,0.0
2001-12-07,AIV,44.5,45.89,44.05,45.73,0.6062,970100,0.0
2001-12-14,AIV,46.4,46.4,44.46,45.0,0.5965,935700,0.0
2001-12-21,AIV,45.0,45.7,44.5,45.42,0.6021,783000,0.0
2001-12-28,AIV,45.4,45.9,45.2,45.77,0.6068,470000,0.0
2002-01-04,AIV,45.97,46.05,45.1,45.98,0.6095,707300,0.0
2002-01-11,AIV,45.73,46.21,44.85,45.02,0.5968,777500,0.0
2002-01-18,AIV,45.02,45.25,43.0,43.88,0.5817,2054000,0.0
