date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,ALK,40.31,40.69,38.38,39.31,8.8413,870200,0.0
1999-11-19,ALK,39.19,39.31,36.25,37.25,8.378,848100,0.0
1999-11-26,ALK,37.06,39.0,36.56,37.63,8.4634,816400,0.0
1999-12-03,ALK,36.88,38.56,36.63,37.13,8.351,1198200,0.0
1999-12-10,ALK,36.63,37.88,34.25,35.69,8.0271,1350300,0.0
1999-12-17,ALK,35.25,37.0,33.38,33.56,7.5481,1956300,0.0
1999-12-23,ALK,33.56,35.75,33.19,35.38,7.9574,984200,0.0
1999-12-31,ALK,35.56,35.94,34.69,35.13,7.9012,1153700,0.0
2000-01-07,ALK,35.5,36.31,34.06,36.06,8.1103,1289800,0.0
2000-01-14,ALK,36.31,36.88,33.88,34.19,7.6898,1769200,0.0
2000-01-21,ALK,34.31,34.44,31.19,31.81,7.1545,1105000,0.0
2000-01-28,ALK,31.88,32.88,30.13,32.63,7.3389,1517100,0.0
2000-02-04,ALK,32.5,32.69,29.5,30.69,6.9026,2195000,0.0
2000-02-11,ALK,30.44,31.0,29.19,29.19,6.5652,1366800,0.0
2000-02-18,ALK,29.13,29.19,27.0,28.13,6.3268,1798300,0.0
2000-02-25,ALK,28.13,28.13,26.5,26.63,5.9894,1099000,0.0
2000-03-03,ALK,26.5,27.56,25.88,27.19,6.1154,1068200,0.0
2000-03-10,ALK,26.94,27.44,25.25,26.88,6.0456,1644100,0.0
2000-03-17,ALK,26.88,33.25,25.63,30.69,6.9026,2155700,0.0
2000-03-24,ALK,29.0,32.19,28.56,29.06,6.536,2724400,0.0
2000-03-31,ALK,29.13,30.44,28.69,30.06,6.7609,1616300,0.0
2000-04-07,ALK,30.0,31.5,28.06,29.94,6.7339,1242200,0.0
2000-04-14,ALK,30.0,31.88,28.94,29.63,6.6642,1345800,0.0
2000-04-20,ALK,29.25,30.94,28.5,29.75,6.6911,1000500,0.0
2000-04-28,ALK,29.75,29.75,28.13,28.75,6.4662,954600,0.0
2000-05-05,ALK,28.69,30.75,28.63,30.13,6.7766,862900,0.0
2000-05-12,ALK,30.38,31.25,28.5,28.75,6.4662,1058000,0.0
2000-05-19,ALK,28.81,30.88,28.5,28.63,6.4392,813800,0.0
2000-05-26,ALK,28.63,32.06,27.94,30.06,6.7609,1714900,0.0
2000-06-02,ALK,30.13,33.19,28.13,30.75,6.9161,1613400,0.0
2000-06-09,ALK,30.5,31.63,29.06,31.44,7.0712,1533400,0.0
2000-06-16,ALK,31.5,31.5,28.44,28.81,6.4797,1215300,0.0
2000-06-23,ALK,28.94,29.31,27.31,27.88,6.2706,1093800,0.0
2000-06-30,ALK,27.94,28.5,26.44,27.13,6.1019,1787500,0.0
2000-07-07,ALK,27.19,28.25,26.63,28.0,6.2975,1050500,0.0
2000-07-14,ALK,28.06,28.94,26.25,27.5,6.1851,1471900,0.0
2000-07-21,ALK,27.75,28.63,26.63,27.5,6.1851,999100,0.0
2000-07-28,ALK,27.44,28.88,26.56,26.81,6.0299,983700,0.0
2000-08-04,ALK,26.94,28.38,26.94,27.94,6.284,919600,0.0
2000-08-11,ALK,27.88,28.5,27.19,27.75,6.2413,1034800,0.0
2000-08-18,ALK,27.75,27.75,25.88,26.44,5.9467,673500,0.0
2000-08-25,ALK,26.5,26.69,25.44,26.44,5.9467,730300,0.0
2000-09-01,ALK,26.19,26.56,25.44,25.81,5.805,490200,0.0
2000-09-08,ALK,25.88,26.81,25.75,26.0,5.8477,419800,0.0
2000-09-15,ALK,26.0,26.25,25.06,25.56,5.7488,1238400,0.0
2000-09-22,ALK,25.44,25.63,23.13,23.94,5.3844,1197100,0.0
2000-09-29,ALK,24.06,24.44,23.25,24.0,5.3979,921400,0.0
2000-10-06,ALK,23.88,26.0,23.31,24.25,5.4541,970600,0.0
2000-10-13,ALK,24.31,25.06,20.81,21.5,4.8356,1374500,0.0
2000-10-20,ALK,21.5,22.06,19.5,20.75,4.6669,2038300,0.0
2000-10-27,ALK,20.81,24.94,20.69,24.63,5.5396,1757200,0.0
2000-11-03,ALK,24.63,27.44,24.25,26.56,5.9737,926600,0.0
2000-11-10,ALK,26.69,26.94,25.44,25.88,5.8207,783700,0.0
2000-11-17,ALK,25.75,28.63,25.75,28.63,6.4392,787600,0.0
2000-11-24,ALK,28.75,29.13,28.25,29.0,6.5225,629600,0.0
2000-12-01,ALK,29.0,29.0,27.38,27.94,6.284,609900,0.0
2000-12-08,ALK,27.75,28.56,26.06,26.75,6.0164,1334500,0.0
2000-12-15,ALK,26.81,29.0,25.75,25.88,5.8207,1108600,0.0
2000-12-22,ALK,25.88,26.19,24.31,26.06,5.8612,986800,0.0
2000-12-29,ALK,26.0,31.75,26.0,29.75,6.6911,855500,0.0
2001-01-05,ALK,29.5,34.06,29.0,33.81,7.6043,1413600,0.0
2001-01-12,ALK,34.0,35.25,29.25,29.88,6.7204,1703900,0.0
2001-01-19,ALK,29.94,30.0,29.19,30.0,6.7474,495900,0.0
2001-01-26,ALK,29.75,32.38,29.5,30.38,6.8328,792500,0.0
2001-02-02,ALK,30.4,32.63,30.36,32.3,7.2647,577800,0.0
2001-02-09,ALK,32.45,33.65,31.66,31.86,7.1657,500500,0.0
2001-02-16,ALK,31.7,32.29,30.15,30.46,6.8508,646700,0.0
2001-02-23,ALK,30.45,30.54,28.06,28.5,6.41,799100,0.0
2001-03-02,ALK,28.45,29.6,26.4,28.24,6.3515,858300,0.0
2001-03-09,ALK,28.24,29.0,27.45,28.45,6.3988,1164800,0.0
2001-03-16,ALK,28.3,28.49,26.65,26.69,6.0029,1007900,0.0
2001-03-23,ALK,26.69,26.75,24.4,25.55,5.7465,1236300,0.0
2001-03-30,ALK,25.35,26.51,25.23,25.7,5.7802,858600,0.0
2001-04-06,ALK,25.7,26.0,24.75,25.1,5.6453,889300,0.0
2001-04-12,ALK,25.15,26.53,24.6,26.05,5.859,520300,0.0
2001-04-20,ALK,26.2,28.2,25.85,27.37,6.1558,694700,0.0
2001-04-27,ALK,27.12,28.5,26.6,28.29,6.3628,938800,0.0
2001-05-04,ALK,28.29,28.92,27.46,28.62,6.437,593200,0.0
2001-05-11,ALK,28.62,29.45,28.09,28.47,6.4033,470500,0.0
2001-05-18,ALK,28.46,28.98,27.15,28.6,6.4325,609500,0.0
2001-05-25,ALK,28.7,29.5,28.25,28.77,6.4707,422400,0.0
2001-06-01,ALK,28.7,29.1,27.96,28.02,6.302,315300,0.0
2001-06-08,ALK,27.9,28.36,27.7,27.98,6.293,472200,0.0
2001-06-15,ALK,27.9,28.05,26.82,26.82,6.0321,412500,0.0
2001-06-22,ALK,27.05,27.29,25.95,26.44,5.9467,508200,0.0
2001-06-29,ALK,27.75,28.9,25.4,28.9,6.5,872800,0.0
2001-07-06,ALK,28.65,29.05,28.13,28.2,6.3425,353100,0.0
2001-07-13,ALK,28.2,30.73,28.15,30.73,6.9116,796000,0.0
2001-07-20,ALK,30.73,32.1,30.52,31.55,7.096,1509900,0.0
2001-07-27,ALK,31.8,32.4,30.48,30.64,6.8913,848000,0.0
2001-08-03,ALK,30.75,32.5,30.4,31.82,7.1567,651200,0.0
2001-08-10,ALK,31.9,32.75,31.62,32.48,7.3052,586900,0.0
2001-08-17,ALK,32.45,33.66,32.0,33.0,7.4221,627700,0.0
2001-08-24,ALK,33.0,33.14,31.85,33.01,7.4244,731300,0.0
2001-08-31,ALK,32.95,33.51,31.68,32.64,7.3411,652000,0.0
2001-09-07,ALK,32.6,32.82,30.18,30.6,6.8823,1054900,0.0
2001-09-10,ALK,30.4,30.6,29.9,30.35,6.8261,172800,0.0
2001-09-21,ALK,22.25,23.0,17.7,18.08,4.0664,3088200,0.0
2001-09-28,ALK,19.45,19.97,17.4,19.97,4.4915,2326500,0.0
2001-10-05,ALK,19.97,23.9,19.49,21.75,4.8918,1679200,0.0
2001-10-12,ALK,21.93,23.04,20.6,21.0,4.7232,1126400,0.0
