date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,ALXN,13.66,13.88,12.81,13.44,3.36,235900,0.0
1999-11-19,ALXN,13.75,15.63,13.38,15.5,3.875,2528300,0.0
1999-11-26,ALXN,15.25,19.0,15.25,18.5,4.625,1140000,0.0
1999-12-03,ALXN,18.13,18.63,16.81,17.0,4.25,610500,0.0
1999-12-10,ALXN,17.63,17.75,16.25,17.0,4.25,351800,0.0
1999-12-17,ALXN,17.25,18.5,16.94,17.5,4.375,246200,0.0
1999-12-23,ALXN,17.5,28.0,17.5,24.0,6.0,1341500,0.0
1999-12-31,ALXN,24.06,34.0,23.38,30.13,7.5325,892300,0.0
2000-01-07,ALXN,30.25,33.25,27.38,33.0,8.25,727500,0.0
2000-01-14,ALXN,35.25,37.44,28.88,34.63,8.6575,1040200,0.0
2000-01-21,ALXN,34.63,45.88,33.06,44.13,11.0325,895000,0.0
2000-01-28,ALXN,46.25,50.13,43.25,47.25,11.8125,1269400,0.0
2000-02-04,ALXN,48.47,58.75,39.81,54.63,13.6575,1369900,0.0
2000-02-11,ALXN,54.44,67.06,51.0,62.75,15.6875,1220400,0.0
2000-02-18,ALXN,60.75,93.25,60.75,76.0,19.0,1268200,0.0
2000-02-25,ALXN,77.88,84.5,71.0,80.88,20.22,1011200,0.0
2000-03-03,ALXN,89.0,119.9,78.88,99.63,24.9075,2158800,0.0
2000-03-10,ALXN,99.5,106.4,92.25,93.0,23.25,1947900,0.0
2000-03-17,ALXN,91.0,96.0,68.0,86.5,21.625,1632600,0.0
2000-03-24,ALXN,88.0,93.0,66.0,79.19,19.7975,880200,0.0
2000-03-31,ALXN,79.13,85.5,48.06,69.75,17.4375,1354800,0.0
2000-04-07,ALXN,68.0,70.5,37.5,61.75,15.4375,1229000,0.0
2000-04-14,ALXN,64.63,64.63,50.0,51.25,12.8125,624000,0.0
2000-04-20,ALXN,49.75,49.88,34.81,39.25,9.8125,1261100,0.0
2000-04-28,ALXN,38.38,46.84,35.25,44.63,11.1575,1331000,0.0
2000-05-05,ALXN,47.0,59.0,46.75,51.5,12.875,703800,0.0
2000-05-12,ALXN,50.5,50.75,33.5,38.13,9.5325,1596300,0.0
2000-05-19,ALXN,39.0,47.0,36.0,40.88,10.22,1989100,0.0
2000-05-26,ALXN,41.5,41.63,30.5,32.88,8.22,726600,0.0
2000-06-02,ALXN,34.63,43.5,33.0,43.5,10.875,512500,0.0
2000-06-09,ALXN,43.38,47.94,42.0,46.81,11.7025,590300,0.0
2000-06-16,ALXN,47.0,47.75,40.75,44.13,11.0325,597400,0.0
2000-06-23,ALXN,44.0,59.13,44.0,58.0,14.5,839000,0.0
2000-06-30,ALXN,57.75,77.0,57.75,71.5,17.875,1244600,0.0
2000-07-07,ALXN,70.0,76.0,63.44,73.25,18.3125,589100,0.0
2000-07-14,ALXN,71.88,84.5,71.0,71.75,17.9375,889600,0.0
2000-07-21,ALXN,72.81,81.36,72.0,78.0,19.5,902100,0.0
2000-07-28,ALXN,78.38,81.06,62.0,62.0,15.5,699000,0.0
2000-08-04,ALXN,62.19,80.0,62.0,79.75,19.9375,717800,0.0
2000-08-11,ALXN,79.75,81.88,69.5,74.88,18.72,475200,0.0
2000-08-18,ALXN,73.0,75.13,68.0,68.0,17.0,505400,0.0
2000-08-25,ALXN,70.13,85.38,68.81,84.75,21.1875,740700,0.0
2000-09-01,ALXN,83.88,108.0,83.88,101.1,25.275,1299400,0.0
2000-09-08,ALXN,97.5,103.4,90.88,100.5,25.125,632300,0.0
2000-09-15,ALXN,100.3,114.3,92.88,109.9,27.475,1589300,0.0
2000-09-22,ALXN,109.9,118.6,102.5,116.3,29.075,1553000,0.0
2000-09-29,ALXN,109.1,116.6,102.5,114.0,28.5,1009100,0.0
2000-10-06,ALXN,115.3,115.5,97.63,106.8,26.7,1621400,0.0
2000-10-13,ALXN,107.0,107.0,84.25,93.13,23.2825,1294200,0.0
2000-10-20,ALXN,92.5,101.1,89.0,99.5,24.875,1181500,0.0
2000-10-27,ALXN,98.5,107.5,88.5,94.38,23.595,2071100,0.0
2000-11-03,ALXN,98.31,108.8,93.88,106.4,26.6,2406400,0.0
2000-11-10,ALXN,107.7,112.0,93.38,97.0,24.25,1657800,0.0
2000-11-17,ALXN,88.81,95.94,74.19,90.25,22.5625,1238500,0.0
2000-11-24,ALXN,87.0,88.31,70.5,81.0,20.25,1156700,0.0
2000-12-01,ALXN,86.5,90.0,79.13,86.06,21.515,667300,0.0
2000-12-08,ALXN,86.19,88.48,72.69,80.5,20.125,954700,0.0
2000-12-15,ALXN,80.31,88.38,63.38,67.38,16.845,1279100,0.0
2000-12-22,ALXN,68.06,71.44,56.81,62.36,15.59,1970900,0.0
2000-12-29,ALXN,61.31,70.38,61.0,64.94,16.235,593100,0.0
2001-01-05,ALXN,66.88,68.69,46.94,50.75,12.6875,1641200,0.0
2001-01-12,ALXN,50.19,55.94,42.75,54.94,13.735,1757000,0.0
