date,ticker,open,high,low,close,adj_close,volume,dividend
2001-01-12,AMCC,249.0,303.0,230.48,286.48,1145.92,4629700,0.0
2001-01-19,AMCC,290.48,353.0,275.52,346.0,1384.0,4434025,0.0
2001-01-26,AMCC,341.32,350.0,283.0,304.76,1219.04,4365900,0.0
2001-02-02,AMCC,300.44,323.76,258.48,263.0,1052.0,3457400,0.0
2001-02-09,AMCC,256.48,264.48,177.0,177.76,711.04,6668225,0.0
2001-02-16,AMCC,180.24,219.24,161.52,175.24,700.96,6451275,0.0
2001-02-23,AMCC,168.0,169.0,131.0,148.24,592.96,5344875,0.0
2001-03-02,AMCC,146.44,149.0,91.76,115.24,460.96,8324450,0.0
2001-03-09,AMCC,118.24,127.52,102.76,105.76,423.04,4567775,0.0
2001-03-16,AMCC,98.48,108.0,88.0,89.0,356.0,4256175,0.0
2001-03-23,AMCC,89.52,103.76,74.48,92.76,371.04,5795025,0.0
2001-03-30,AMCC,89.12,92.24,64.48,66.0,264.0,3511800,0.0
2001-04-06,AMCC,65.52,65.52,45.0,54.76,219.04,6271525,0.0
2001-04-12,AMCC,57.6,89.6,51.0,88.04,352.16,5460800,0.0
2001-04-20,AMCC,83.4,132.4,74.04,120.0,480.0,8031925,0.0
2001-04-27,AMCC,110.04,111.4,84.36,91.8,367.2,6476650,0.0
2001-05-04,AMCC,95.0,118.2,90.0,105.96,423.84,5794325,0.0
2001-05-11,AMCC,104.44,114.0,91.0,92.08,368.32,5656575,0.0
2001-05-18,AMCC,92.32,98.12,82.8,94.04,376.16,5082025,0.0
2001-05-25,AMCC,94.24,113.16,90.32,91.0,364.0,4328025,0.0
2001-06-01,AMCC,89.84,89.84,72.0,74.72,298.88,3122300,0.0
2001-06-08,AMCC,76.4,85.44,71.36,77.04,308.16,4677625,0.0
2001-06-15,AMCC,75.6,75.8,59.2,61.68,246.72,4553800,0.0
2001-06-22,AMCC,61.84,63.4,51.84,55.44,221.76,5110925,0.0
2001-06-29,AMCC,57.92,72.0,52.32,68.8,275.2,5762825,0.0
2001-07-06,AMCC,69.76,71.84,57.96,58.2,232.8,1921025,0.0
2001-07-13,AMCC,59.92,71.48,54.0,66.68,266.72,3690450,0.0
2001-07-20,AMCC,66.0,74.68,60.84,62.48,249.92,6308400,0.0
2001-07-27,AMCC,65.12,67.8,56.92,66.32,265.28,3230100,0.0
2001-08-03,AMCC,68.68,78.76,66.2,75.28,301.12,3703625,0.0
2001-08-10,AMCC,72.16,77.04,61.0,64.64,258.56,3807550,0.0
2001-08-17,AMCC,67.48,69.6,55.32,55.96,223.84,3334450,0.0
2001-08-24,AMCC,56.4,60.36,51.64,60.12,240.48,3481700,0.0
2001-08-31,AMCC,59.96,61.76,54.04,57.08,228.32,3578600,0.0
2001-09-07,AMCC,56.2,60.24,49.2,51.16,204.64,3307925,0.0
2001-09-10,AMCC,51.28,51.88,48.2,48.8,195.2,637600,0.0
2001-09-21,AMCC,43.32,45.28,31.96,33.8,135.2,3806900,0.0
2001-09-28,AMCC,36.04,36.4,24.92,27.96,111.84,4258050,0.0
2001-10-05,AMCC,28.32,36.52,24.04,34.6,138.4,5818450,0.0
2001-10-12,AMCC,33.12,52.64,32.72,52.4,209.6,4603425,0.0
2001-10-19,AMCC,48.88,52.16,38.36,40.96,163.84,4647600,0.0
2001-10-26,AMCC,41.16,55.6,40.88,51.68,206.72,5054500,0.0
2001-11-02,AMCC,50.84,52.64,42.2,46.56,186.24,4130425,0.0
2001-11-09,AMCC,48.68,55.52,47.48,50.6,202.4,6218050,0.0
2001-11-16,AMCC,51.44,64.12,48.56,63.48,253.92,5654250,0.0
2001-11-23,AMCC,64.68,65.28,53.6,60.28,241.12,3487075,0.0
2001-11-30,AMCC,61.2,64.32,53.4,54.52,218.08,5004575,0.0
2001-12-07,AMCC,53.24,60.72,51.0,54.08,216.32,4755100,0.0
2001-12-14,AMCC,52.64,55.16,42.0,43.08,172.32,4101700,0.0
2001-12-21,AMCC,43.32,45.72,39.44,40.04,160.16,3891500,0.0
2001-12-28,AMCC,40.64,46.0,40.0,45.04,180.16,1630275,0.0
2002-01-04,AMCC,45.6,54.72,44.96,49.88,199.52,3483650,0.0
2002-01-11,AMCC,50.08,51.96,45.08,45.12,180.48,3307775,0.0
2002-01-18,AMCC,43.84,45.96,40.92,41.64,166.56,3224225,0.0
2002-01-25,AMCC,42.8,44.64,36.4,43.56,174.24,2890400,0.0
2002-02-01,AMCC,44.56,44.88,39.32,40.68,162.72,2165875,0.0
2002-02-08,AMCC,42.0,42.72,36.96,39.2,156.8,2946475,0.0
2002-02-15,AMCC,39.4,40.8,34.04,34.52,138.08,2315725,0.0
2002-02-22,AMCC,33.64,34.6,30.0,32.04,128.16,1887600,0.0
2002-03-01,AMCC,32.56,35.52,30.6,35.12,140.48,3099400,0.0
2002-03-08,AMCC,35.2,43.28,34.64,41.8,167.2,2857450,0.0
2002-03-15,AMCC,41.04,42.4,35.12,36.68,146.72,2005750,0.0
2002-03-22,AMCC,37.04,38.48,31.76,32.24,128.96,3314825,0.0
2002-03-28,AMCC,32.72,33.32,30.2,32.0,128.0,2027575,0.0
2002-04-05,AMCC,33.04,35.56,31.2,31.2,124.8,2773650,0.0
2002-04-12,AMCC,30.36,32.44,27.68,28.48,113.92,2494600,0.0
2002-04-19,AMCC,28.64,33.96,28.48,31.56,126.24,2817150,0.0
2002-04-26,AMCC,30.84,31.08,24.84,25.08,100.32,2821750,0.0
2002-05-03,AMCC,25.24,28.08,25.0,25.32,101.28,2363425,0.0
2002-05-10,AMCC,25.24,28.44,21.32,25.0,100.0,3046600,0.0
2002-05-17,AMCC,25.44,31.0,25.0,29.24,116.96,1965425,0.0
2002-05-24,AMCC,28.4,29.0,25.08,25.6,102.4,1380750,0.0
2002-05-31,AMCC,25.72,26.48,23.84,24.6,98.4,1250100,0.0
2002-06-07,AMCC,24.56,26.16,23.0,24.48,97.92,1965875,0.0
2002-06-14,AMCC,24.8,24.8,20.64,22.68,90.72,2020550,0.0
2002-06-21,AMCC,23.12,24.2,17.44,19.04,76.16,2387425,0.0
2002-06-28,AMCC,18.48,20.2,15.6,18.92,75.68,1897350,0.0
2002-07-05,AMCC,18.92,19.4,16.0,19.2,76.8,758350,0.0
2002-07-12,AMCC,18.96,19.48,16.24,18.76,75.04,2433925,0.0
2002-07-19,AMCC,18.2,21.0,17.76,19.4,77.6,1809175,0.0
2002-07-26,AMCC,19.28,19.8,15.8,16.52,66.08,1297725,0.0
2002-08-02,AMCC,16.88,19.56,16.68,18.36,73.44,1174225,0.0
2002-08-09,AMCC,18.48,19.76,17.0,19.0,76.0,839700,0.0
2002-08-16,AMCC,19.04,20.32,18.24,20.0,80.0,889325,0.0
2002-08-23,AMCC,20.04,20.88,18.48,18.68,74.72,938425,0.0
2002-08-30,AMCC,18.4,18.52,15.24,15.4,61.6,1071000,0.0
2002-09-06,AMCC,15.2,16.24,14.48,16.0,64.0,932300,0.0
2002-09-13,AMCC,15.84,16.8,14.6,15.08,60.32,590325,0.0
2002-09-20,AMCC,14.88,14.92,12.32,13.04,52.16,937850,0.0
2002-09-27,AMCC,12.76,14.2,12.04,12.16,48.64,855500,0.0
2002-10-04,AMCC,12.08,13.04,10.04,10.12,40.48,1467400,0.0
2002-10-11,AMCC,10.04,13.2,9.8,13.2,52.8,1236025,0.0
2002-10-18,AMCC,12.8,15.64,12.48,15.04,60.16,1205025,0.0
2002-10-25,AMCC,14.84,16.32,13.4,16.2,64.8,1376750,0.0
2002-11-01,AMCC,16.92,17.96,14.36,17.84,71.36,1654675,0.0
2002-11-08,AMCC,19.0,21.2,16.24,16.36,65.44,2191650,0.0
2002-11-15,AMCC,16.32,17.72,13.96,17.32,69.28,1362700,0.0
2002-11-22,AMCC,17.52,18.6,14.8,17.72,70.88,2009275,0.0
2002-11-29,AMCC,17.92,19.2,17.04,18.24,72.96,1425650,0.0
2002-12-06,AMCC,18.8,19.88,16.6,18.2,72.8,1633750,0.0
2002-12-13,AMCC,18.0,18.12,14.28,14.52,58.08,1491475,0.0
2002-12-20,AMCC,14.4,15.52,13.64,14.84,59.36,2708225,0.0
2002-12-27,AMCC,14.56,15.36,14.24,14.88,59.52,685750,0.0
2003-01-03,AMCC,14.76,16.2,14.48,15.68,62.72,762925,0.0
2003-01-10,AMCC,15.76,17.28,15.36,16.56,66.24,1670125,0.0
2003-01-17,AMCC,17.0,17.8,14.36,15.16,60.64,1137825,0.0
2003-01-24,AMCC,14.8,15.84,14.4,14.64,58.56,791850,0.0
2003-01-31,AMCC,14.28,15.64,14.2,14.48,57.92,620800,0.0
2003-02-07,AMCC,14.64,14.68,13.72,13.92,55.68,649550,0.0
2003-02-14,AMCC,13.88,14.28,12.8,13.92,55.68,453800,0.0
2003-02-21,AMCC,14.28,14.68,13.52,14.2,56.8,506650,0.0
2003-02-28,AMCC,13.96,14.44,13.52,13.96,55.84,473650,0.0
2003-03-07,AMCC,14.0,14.32,12.96,13.88,55.52,403400,0.0
2003-03-14,AMCC,13.68,14.12,12.8,13.72,54.88,607750,0.0
2003-03-21,AMCC,13.56,14.64,13.12,14.56,58.24,796200,0.0
2003-03-28,AMCC,14.08,14.4,13.4,13.4,53.6,438375,0.0
2003-04-04,AMCC,13.28,14.32,12.96,13.72,54.88,410175,0.0
2003-04-11,AMCC,14.32,14.52,13.24,13.4,53.6,606100,0.0
2003-04-17,AMCC,13.4,15.92,13.36,15.84,63.36,855600,0.0
2003-04-25,AMCC,16.12,20.0,14.84,16.4,65.6,1631775,0.0
2003-05-02,AMCC,16.04,19.8,16.04,19.64,78.56,1466175,0.0
2003-05-09,AMCC,20.0,20.4,18.4,19.64,78.56,1829775,0.0
2003-05-16,AMCC,19.52,20.32,18.0,19.36,77.44,903050,0.0
2003-05-23,AMCC,19.64,21.84,17.68,19.8,79.2,883200,0.0
2003-05-30,AMCC,19.0,21.24,18.96,20.12,80.48,1765675,0.0
2003-06-06,AMCC,20.96,28.72,20.28,25.68,102.72,4114825,0.0
2003-06-13,AMCC,25.48,26.0,23.32,23.68,94.72,2417575,0.0
2003-06-20,AMCC,24.16,26.0,23.44,24.08,96.32,1858475,0.0
2003-06-27,AMCC,24.2,24.2,21.04,23.08,92.32,2052825,0.0
2003-07-03,AMCC,23.6,26.08,23.56,25.6,102.4,1775500,0.0
2003-07-11,AMCC,26.32,27.8,25.48,26.28,105.12,1788050,0.0
2003-07-18,AMCC,26.92,27.4,20.4,21.56,86.24,3162600,0.0
2003-07-25,AMCC,21.72,21.8,20.4,21.6,86.4,1796650,0.0
2003-08-01,AMCC,21.56,23.64,20.76,23.16,92.64,1656975,0.0
2003-08-08,AMCC,23.28,23.92,20.76,21.0,84.0,1496325,0.0
2003-08-15,AMCC,21.4,22.48,20.84,21.76,87.04,561100,0.0
2003-08-22,AMCC,22.04,24.4,21.92,23.68,94.72,1751875,0.0
2003-08-29,AMCC,23.64,24.2,21.48,23.28,93.12,1751975,0.0
2003-09-05,AMCC,23.92,25.96,23.0,24.24,96.96,2054275,0.0
2003-09-12,AMCC,24.68,26.36,21.64,22.76,91.04,3101350,0.0
2003-09-19,AMCC,22.88,24.08,21.84,22.32,89.28,1904975,0.0
2003-09-26,AMCC,22.08,22.16,19.12,19.4,77.6,2064625,0.0
2003-10-03,AMCC,19.68,20.92,19.2,20.4,81.6,1653400,0.0
2003-10-10,AMCC,20.8,21.92,20.44,21.12,84.48,1307900,0.0
2003-10-17,AMCC,21.28,25.8,21.16,22.36,89.44,2148650,0.0
2003-10-24,AMCC,22.56,23.4,21.2,22.24,88.96,1448650,0.0
2003-10-31,AMCC,22.48,24.28,21.68,23.28,93.12,1881225,0.0
2003-11-07,AMCC,23.76,28.2,23.68,27.52,110.08,3760075,0.0
2003-11-14,AMCC,27.2,27.48,25.16,25.56,102.24,1951875,0.0
2003-11-21,AMCC,25.04,25.84,23.96,24.12,96.48,1354025,0.0
2003-11-28,AMCC,24.28,26.2,24.28,25.96,103.84,884675,0.0
2003-12-05,AMCC,26.04,26.4,24.08,24.32,97.28,1026175,0.0
2003-12-12,AMCC,24.16,24.72,22.72,23.6,94.4,943675,0.0
2003-12-19,AMCC,24.64,24.76,22.12,23.0,92.0,1199150,0.0
2003-12-26,AMCC,22.64,23.2,22.4,22.88,91.52,401850,0.0
2004-01-02,AMCC,22.88,24.32,21.88,24.12,96.48,1129775,0.0
2004-01-09,AMCC,24.92,30.6,24.4,29.28,117.12,3719600,0.0
2004-01-16,AMCC,29.6,36.2,28.44,35.92,143.68,3962225,0.0
2004-01-23,AMCC,36.24,36.8,30.12,30.24,120.96,3714725,0.0
2004-01-30,AMCC,30.64,31.88,27.48,29.24,116.96,3135925,0.0
2004-02-06,AMCC,29.28,30.04,26.44,27.92,111.68,2899550,0.0
2004-02-13,AMCC,28.0,30.76,27.04,29.28,117.12,4337375,0.0
2004-02-20,AMCC,30.0,31.48,27.08,27.72,110.88,2487050,0.0
2004-02-27,AMCC,27.92,28.0,25.4,25.88,103.52,3196950,0.0
2004-03-05,AMCC,26.08,27.76,25.52,26.32,105.28,2527425,0.0
2004-03-12,AMCC,26.24,26.88,23.68,24.16,96.64,2426725,0.0
2004-03-19,AMCC,23.96,24.24,22.0,22.68,90.72,2935500,0.0
2004-03-26,AMCC,22.24,23.88,21.44,23.36,93.44,2302025,0.0
2004-04-02,AMCC,23.8,25.04,22.48,24.92,99.68,2011125,0.0
2004-04-08,AMCC,25.2,25.6,24.36,25.0,100.0,1302025,0.0
2004-04-16,AMCC,24.76,25.6,21.68,22.36,89.44,2191825,0.0
2004-04-23,AMCC,22.24,23.76,21.12,23.04,92.16,2833125,0.0
2004-04-30,AMCC,23.0,23.16,17.52,17.8,71.2,2985000,0.0
2004-05-07,AMCC,17.92,19.52,17.8,18.84,75.36,2215625,0.0
2004-05-14,AMCC,18.44,19.56,18.0,18.28,73.12,1945625,0.0
2004-05-21,AMCC,17.96,19.32,17.6,18.4,73.6,1027800,0.0
2004-05-28,AMCC,20.32,22.6,19.72,21.56,86.24,2687650,0.0
2004-06-04,AMCC,21.44,21.92,20.16,21.0,84.0,1143925,0.0
2004-06-10,AMCC,21.24,22.36,20.84,21.12,84.48,918325,0.0
2004-06-18,AMCC,20.64,21.24,19.4,19.8,79.2,1082300,0.0
2004-06-25,AMCC,19.84,21.16,19.08,20.08,80.32,1367250,0.0
