date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,AMG,28.63,29.75,27.63,29.75,19.1233,263934,0.0
1999-11-19,AMG,30.38,32.88,29.81,32.13,20.6531,525134,0.0
1999-11-26,AMG,32.25,32.25,29.88,30.5,19.6054,200068,0.0
1999-12-03,AMG,30.38,30.38,28.81,30.0,19.284,128468,0.0
1999-12-10,AMG,30.13,31.81,29.69,31.81,20.4474,344067,0.0
1999-12-17,AMG,31.81,35.69,31.63,34.0,21.8552,636667,0.0
1999-12-23,AMG,34.0,35.69,33.81,34.94,22.4594,164667,0.0
1999-12-31,AMG,35.0,40.88,34.94,40.44,25.9948,456668,0.0
2000-01-07,AMG,39.0,39.0,32.69,34.81,22.3758,789334,0.0
2000-01-14,AMG,34.88,38.31,34.88,38.25,24.587,347201,0.0
2000-01-21,AMG,38.75,40.25,36.38,37.0,23.7835,443534,0.0
2000-01-28,AMG,37.13,38.13,35.38,35.94,23.1022,333268,0.0
2000-02-04,AMG,35.94,38.38,34.06,37.94,24.3878,549801,0.0
2000-02-11,AMG,37.81,40.56,37.44,40.06,25.7505,877201,0.0
2000-02-18,AMG,40.0,40.0,37.31,37.31,23.9828,407001,0.0
2000-02-25,AMG,37.13,39.5,36.31,38.75,24.9084,560334,0.0
2000-03-03,AMG,38.75,42.63,37.75,42.25,27.1582,481401,0.0
2000-03-10,AMG,42.0,42.0,39.19,39.19,25.1913,509801,0.0
2000-03-17,AMG,39.0,43.06,38.06,43.06,27.6789,456067,0.0
2000-03-24,AMG,43.5,51.0,43.44,49.06,31.5357,1112134,0.0
2000-03-31,AMG,48.94,48.94,45.88,47.5,30.5329,712934,0.0
2000-04-07,AMG,47.5,48.38,37.56,41.38,26.599,1316734,0.0
2000-04-14,AMG,41.38,42.5,36.94,36.94,23.745,770268,0.0
2000-04-20,AMG,36.94,41.13,36.38,40.13,25.7955,455934,0.0
2000-04-28,AMG,40.25,42.75,39.19,40.13,25.7955,419734,0.0
2000-05-05,AMG,39.88,40.13,35.19,36.69,23.5843,716268,0.0
2000-05-12,AMG,36.5,36.5,30.63,32.69,21.0131,1476134,0.0
2000-05-19,AMG,33.5,35.5,33.06,35.06,22.5365,878601,0.0
2000-05-26,AMG,34.94,34.94,31.25,32.56,20.9295,463201,0.0
2000-06-02,AMG,32.44,39.5,32.44,37.69,24.2271,341734,0.0
2000-06-09,AMG,37.69,38.38,35.75,38.0,24.4263,308801,0.0
2000-06-16,AMG,38.13,39.44,36.5,39.13,25.1527,462068,0.0
2000-06-23,AMG,39.13,44.38,39.06,41.44,26.6376,848801,0.0
2000-06-30,AMG,41.44,45.5,41.44,45.48,29.2345,427400,0.0
2000-07-07,AMG,45.5,45.5,41.0,44.75,28.7652,492534,0.0
2000-07-14,AMG,44.88,47.38,44.5,47.38,30.4558,537667,0.0
2000-07-21,AMG,47.63,48.38,43.13,46.38,29.813,403400,0.0
2000-07-28,AMG,46.5,48.88,44.63,48.5,31.1757,645934,0.0
2000-08-04,AMG,48.56,51.44,46.25,50.63,32.5449,844667,0.0
2000-08-11,AMG,51.5,54.0,50.81,52.13,33.5091,952267,0.0
2000-08-18,AMG,53.13,55.69,52.69,52.75,33.9076,858601,0.0
2000-08-25,AMG,52.88,58.19,52.88,58.0,37.2823,488801,0.0
2000-09-01,AMG,57.94,58.0,54.38,56.25,36.1574,897801,0.0
2000-09-08,AMG,57.0,59.75,56.31,58.0,37.2823,716134,0.0
2000-09-15,AMG,58.06,64.25,58.06,59.69,38.3686,981201,0.0
2000-09-22,AMG,59.25,62.5,55.13,56.63,36.4017,1167534,0.0
2000-09-29,AMG,56.63,57.69,51.38,56.94,36.601,1072200,0.0
2000-10-06,AMG,57.25,58.44,50.38,52.5,33.7469,583334,0.0
2000-10-13,AMG,52.75,52.94,46.88,51.88,33.3484,745534,0.0
2000-10-20,AMG,51.81,57.5,47.13,54.75,35.1932,867668,0.0
2000-10-27,AMG,54.88,57.88,52.25,57.44,36.9224,814467,0.0
2000-11-03,AMG,57.0,65.0,56.81,63.63,40.9013,637401,0.0
2000-11-10,AMG,64.25,65.0,55.31,56.06,36.0353,670467,0.0
2000-11-17,AMG,56.0,59.13,52.81,57.5,36.9609,518067,0.0
2000-11-24,AMG,57.5,57.5,46.5,49.38,31.7414,1120734,0.0
2000-12-01,AMG,49.31,51.31,43.0,47.5,30.5329,1067001,0.0
2000-12-08,AMG,47.13,56.0,45.94,55.13,35.4375,1058267,0.0
2000-12-15,AMG,55.13,57.88,49.0,50.0,32.1399,1275467,0.0
2000-12-22,AMG,50.75,52.75,47.5,52.75,33.9076,799535,0.0
2000-12-29,AMG,52.69,59.38,51.88,54.88,35.2768,546601,0.0
2001-01-05,AMG,54.88,61.38,49.88,56.38,36.241,898200,0.0
2001-01-12,AMG,56.38,58.0,53.25,55.94,35.9582,641200,0.0
2001-01-19,AMG,55.94,60.0,54.63,57.19,36.7617,544201,0.0
2001-01-26,AMG,57.38,63.38,56.5,57.63,37.0445,896068,0.0
2001-02-02,AMG,57.62,62.85,56.2,56.4,36.2538,776734,0.0
2001-02-09,AMG,56.7,57.99,52.59,53.15,34.1647,615867,0.0
2001-02-16,AMG,53.15,58.0,49.8,51.56,33.1427,787801,0.0
2001-02-23,AMG,51.6,52.79,50.5,52.78,33.9269,865001,0.0
2001-03-02,AMG,52.79,55.89,49.11,53.0,34.0683,1163401,0.0
2001-03-09,AMG,52.85,55.5,50.7,52.24,33.5798,635934,0.0
2001-03-16,AMG,52.24,52.24,48.0,48.42,31.1243,749934,0.0
2001-03-23,AMG,48.43,49.9,41.2,45.8,29.4402,1370734,0.0
2001-03-30,AMG,46.3,49.4,45.69,47.0,30.2115,902268,0.0
2001-04-06,AMG,46.85,47.9,43.05,46.05,29.6009,912668,0.0
2001-04-12,AMG,46.55,50.85,46.0,49.22,31.6385,818734,0.0
2001-04-20,AMG,49.4,53.2,47.3,51.62,33.1813,713467,0.0
2001-04-27,AMG,51.2,57.5,49.0,55.33,35.566,868734,0.0
2001-05-04,AMG,55.55,57.0,52.6,54.89,35.2832,2059801,0.0
2001-05-11,AMG,54.94,57.34,54.59,55.47,35.656,1246468,0.0
2001-05-18,AMG,55.57,59.5,54.8,57.55,36.9931,994201,0.0
2001-05-25,AMG,58.0,59.75,57.2,59.25,38.0858,654801,0.0
2001-06-01,AMG,59.25,60.2,56.02,58.0,37.2823,688267,0.0
2001-06-08,AMG,58.01,63.59,58.01,63.01,40.5027,907201,0.0
2001-06-15,AMG,63.0,64.0,60.55,63.19,40.6184,1020668,0.0
2001-06-22,AMG,63.09,64.77,60.64,63.18,40.612,863867,0.0
2001-06-29,AMG,64.0,64.98,60.6,61.5,39.5321,1050667,0.0
2001-07-06,AMG,61.65,62.75,60.31,60.41,38.8315,456934,0.0
2001-07-13,AMG,60.31,60.85,57.1,59.4,38.1822,875201,0.0
2001-07-20,AMG,59.5,60.0,56.75,58.34,37.5009,533867,0.0
2001-07-27,AMG,58.59,68.9,57.0,67.98,43.6974,1886534,0.0
2001-08-03,AMG,67.8,69.0,66.02,68.5,44.0317,1332401,0.0
2001-08-10,AMG,68.5,68.69,64.0,64.26,41.3062,734735,0.0
2001-08-17,AMG,64.26,67.63,63.64,64.1,41.2034,819334,0.0
2001-08-24,AMG,64.1,68.88,64.1,68.75,44.1924,971067,0.0
2001-08-31,AMG,68.65,72.4,65.9,70.9,45.5744,1663334,0.0
2001-09-07,AMG,70.9,71.0,65.18,66.66,42.849,1145134,0.0
2001-09-10,AMG,66.48,66.98,65.4,66.42,42.6947,403200,0.0
2001-09-21,AMG,63.6,63.8,53.21,56.1,36.061,2444934,0.0
2001-09-28,AMG,60.5,60.5,54.45,56.81,36.5174,1882667,0.0
2001-10-05,AMG,56.81,63.0,55.9,59.74,38.4008,1437734,0.0
2001-10-12,AMG,59.97,64.98,57.8,63.65,40.9141,1117467,0.0
2001-10-19,AMG,63.4,64.75,60.55,62.0,39.8535,1074801,0.0
2001-10-26,AMG,62.2,66.39,61.62,64.52,41.4734,1164001,0.0
2001-11-02,AMG,64.77,64.9,60.55,64.39,41.3898,829267,0.0
