date,ticker,open,high,low,close,adj_close,volume,dividend
2024-10-04,AMTM,26.25,32.25,23.58,26.47,26.47,47546470,0.0
2024-10-11,AMTM,26.2,27.19,24.02,26.9,26.9,15342069,0.0
2024-10-18,AMTM,26.81,30.29,26.68,29.3,29.3,11513298,0.0
2024-10-25,AMTM,29.09,31.025,28.3,29.65,29.65,9963209,0.0
2024-11-01,AMTM,29.69,31.14,29.401,30.79,30.79,5521374,0.0
2024-11-08,AMTM,30.67,33.5,29.52,33.4,33.4,5571730,0.0
2024-11-15,AMTM,33.85,34.47,24.88,25.2,25.2,9091353,0.0
2024-11-22,AMTM,24.79,25.44,21.24,24.43,24.43,14176318,0.0
2024-11-29,AMTM,24.76,25.955,23.485,24.35,24.35,4212234,0.0
2024-12-06,AMTM,24.37,25.046,22.71,23.17,23.17,6259868,0.0
2024-12-13,AMTM,23.65,25.0699,22.65,23.05,23.05,11098056,0.0
2024-12-20,AMTM,23.08,24.89,18.3796,19.17,19.17,55823278,0.0
2024-12-27,AMTM,19.2,20.79,18.83,20.48,20.48,8876403,0.0
2025-01-03,AMTM,20.24,22.7353,19.59,22.57,22.57,11117423,0.0
2025-01-10,AMTM,23.1,23.61,20.81,22.51,22.51,12268626,0.0
2025-01-17,AMTM,22.38,23.99,22.08,22.79,22.79,11750350,0.0
2025-01-24,AMTM,22.79,23.88,21.25,21.59,21.59,7566452,0.0
2025-01-31,AMTM,21.45,21.742,18.99,20.97,20.97,11126704,0.0
2025-02-07,AMTM,20.13,24.3,19.62,22.16,22.16,12574115,0.0
2025-02-14,AMTM,21.85,22.4,19.35,19.8,19.8,9597942,0.0
2025-02-21,AMTM,20.99,21.95,19.78,20.0,20.0,9043857,0.0
2025-02-28,AMTM,20.24,20.9,18.81,19.64,19.64,8089585,0.0
2025-03-07,AMTM,19.77,20.01,17.82,19.99,19.99,11994542,0.0
2025-03-14,AMTM,18.6,19.695,16.95,17.9,17.9,22393331,0.0
2025-03-21,AMTM,17.98,19.365,17.69,18.32,18.32,14027842,0.0
2025-03-28,AMTM,18.55,19.17,17.66,18.07,18.07,12635971,0.0
2025-04-04,AMTM,17.66,19.93,16.9,17.47,17.47,16644876,0.0
2025-04-11,AMTM,17.17,18.34,16.01,18.15,18.15,12589268,0.0
2025-04-17,AMTM,18.6,19.215,18.1,18.79,18.79,8259789,0.0
2025-04-25,AMTM,18.71,22.09,18.075,21.92,21.92,12427203,0.0
2025-05-02,AMTM,21.77,22.48,21.2506,21.86,21.86,7807616,0.0
2025-05-09,AMTM,21.72,22.42,20.05,21.21,21.21,10875532,0.0
2025-05-16,AMTM,22.15,22.28,20.7,21.84,21.84,11207232,0.0
2025-05-23,AMTM,21.41,22.91,20.22,20.54,20.54,9250070,0.0
2025-05-30,AMTM,21.04,21.44,20.07,20.66,20.66,10310035,0.0
2025-06-06,AMTM,20.39,23.2189,19.11,22.41,22.41,18566167,0.0
2025-06-13,AMTM,23.14,23.7,21.66,22.69,22.69,12887685,0.0
2025-06-20,AMTM,22.96,23.16,21.56,21.84,21.84,8854144,0.0
2025-06-27,AMTM,21.69,24.33,21.31,23.45,23.45,10965076,0.0
2025-07-03,AMTM,23.74,24.57,23.11,24.21,24.21,4898537,0.0
2025-07-11,AMTM,24.1,24.67,23.21,23.68,23.68,7152438,0.0
2025-07-18,AMTM,23.5,25.86,23.2,25.24,25.24,9355024,0.0
2025-07-25,AMTM,25.43,25.69,24.25,25.59,25.59,6357959,0.0
2025-08-01,AMTM,25.69,25.73,23.52,24.16,24.16,8504595,0.0
2025-08-08,AMTM,24.3,26.15,23.68,25.13,25.13,9054140,0.0
2025-08-15,AMTM,25.05,26.625,24.945,25.18,25.18,8013671,0.0
2025-08-22,AMTM,25.665,26.08,23.77,24.94,24.94,6003745,0.0
2025-08-29,AMTM,24.9,25.64,24.36,24.95,24.95,6453684,0.0
2025-09-05,AMTM,24.62,25.11,23.5405,24.24,24.24,5017263,0.0
2025-09-12,AMTM,24.22,24.2565,23.6,23.85,23.85,6609447,0.0
2025-09-19,AMTM,23.7,23.7,21.71,22.35,22.35,12991006,0.0
2025-09-26,AMTM,22.31,23.52,21.95,22.57,22.57,7501801,0.0
2025-10-03,AMTM,22.71,26.35,22.5001,25.95,25.95,11418754,0.0
2025-10-10,AMTM,26.0,26.58,23.32,23.39,23.39,9522891,0.0
2025-10-17,AMTM,23.67,24.09,22.1748,22.4,22.4,5413510,0.0
2025-10-24,AMTM,22.64,23.4,22.24,22.55,22.55,4779262,0.0
2025-10-31,AMTM,22.58,22.97,21.2832,22.41,22.41,7927767,0.0
2025-11-07,AMTM,22.23,22.535,21.47,22.41,22.41,5341315,0.0
2025-11-14,AMTM,23.15,24.08,21.55,22.07,22.07,7259016,0.0
2025-11-21,AMTM,21.87,26.2,21.11,24.26,24.26,20809851,0.0
2025-11-28,AMTM,24.65,31.871,24.042,28.63,28.63,18949192,0.0
2025-12-05,AMTM,28.55,29.6838,28.17,28.88,28.88,13447750,0.0
2025-12-12,AMTM,28.75,30.18,28.01,29.72,29.72,12495165,0.0
2025-12-19,AMTM,29.63,29.92,28.14,29.21,29.21,10841797,0.0
2025-12-26,AMTM,29.34,30.2126,29.15,29.73,29.73,4444929,0.0
2026-01-02,AMTM,29.58,30.7,28.78,30.48,30.48,6105984,0.0
2026-01-09,AMTM,30.8,33.78,30.8,33.63,33.63,11030635,0.0
2026-01-16,AMTM,33.9,35.0,33.52,34.8,34.8,8804985,0.0
2026-01-23,AMTM,34.48,36.0,34.0,35.38,35.38,5964393,0.0
2026-01-30,AMTM,35.51,37.94,34.3801,35.78,35.78,9872905,0.0
2026-02-06,AMTM,35.83,38.11,35.04,37.53,37.53,13496563,0.0
2026-02-13,AMTM,37.6,37.8974,29.35,31.0,31.0,20646581,0.0
2026-02-20,AMTM,30.72,32.24,30.0,30.97,30.97,6667696,0.0
2026-02-27,AMTM,30.84,30.84,29.16,29.87,29.87,9274188,0.0
2026-03-06,AMTM,29.73,31.37,29.16,30.01,30.01,10315345,0.0
2026-03-13,AMTM,29.69,30.85,27.3301,27.9,27.9,9580358,0.0
2026-03-20,AMTM,28.08,28.49,26.56,26.8,26.8,10206486,0.0
2026-03-27,AMTM,27.0,27.46,25.585,25.84,25.84,6914737,0.0
2026-04-02,AMTM,26.04,27.42,24.89,27.04,27.04,8863356,0.0
2026-04-10,AMTM,27.17,27.64,25.8901,26.29,26.29,8063381,0.0
2026-04-17,AMTM,26.38,28.22,26.215,27.58,27.58,7882014,0.0
2026-04-24,AMTM,27.48,28.54,25.69,25.85,25.85,8671377,0.0
2026-05-01,AMTM,25.9,26.7,25.13,25.65,25.65,7702061,0.0
2026-05-08,AMTM,25.62,26.3799,23.75,24.53,24.53,9188101,0.0
2026-05-15,AMTM,24.53,25.5298,22.6,22.98,22.98,17415156,0.0
2026-05-22,AMTM,22.94,23.72,22.05,23.23,23.23,9943041,0.0
2026-05-29,AMTM,23.23,24.22,22.665,23.23,23.23,9757536,0.0
2026-06-05,AMTM,23.61,24.5259,22.54,22.8,22.8,8614311,0.0
2026-06-12,AMTM,22.68,23.15,21.74,22.86,22.86,8451586,0.0
2026-06-18,AMTM,23.26,23.4538,20.9902,21.66,21.66,8479215,0.0
2026-06-26,AMTM,21.36,21.4,19.8022,20.25,20.25,10834048,0.0
2026-07-02,AMTM,20.295,21.27,19.99,21.24,21.24,9561724,0.0
2026-07-10,AMTM,21.26,22.72,20.45,21.01,21.01,9517888,0.0
2026-07-17,AMTM,21.21,21.34,20.145,20.68,20.68,7527183,0.0
2026-07-24,AMTM,20.85,23.1805,20.675,22.55,22.55,9796201,0.0
2026-07-31,AMTM,22.58,23.47,21.26,22.2,22.2,8544319,0.0
2026-08-07,AMTM,22.24,24.82,22.195,24.77,24.77,7646204,0.0
2026-08-14,AMTM,24.77,25.08,21.2501,21.47,21.47,17724690,0.0
2026-08-21,AMTM,21.17,21.68,20.09,21.49,21.49,16432474,0.0
2026-08-28,AMTM,21.47,21.6534,19.97,20.31,20.31,9922765,0.0
2026-09-04,AMTM,20.24,20.49,19.8,20.06,20.06,7707837,0.0
2026-09-11,AMTM,20.1,20.36,19.21,19.46,19.46,6744433,0.0
2026-09-18,AMTM,19.7,20.4,19.465,19.6,19.6,10621351,0.0
2026-09-22,AMTM,19.68,20.1136,19.41,19.7,19.7,3471902,0.0
