date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,AN,10.0,10.13,9.875,9.875,9.875,6415000,0.0
1999-11-19,AN,9.875,10.06,9.75,9.938,9.938,7220500,0.0
1999-11-26,AN,9.938,10.0,9.25,9.313,9.313,4175300,0.0
1999-12-03,AN,9.25,10.06,8.938,9.688,9.688,11685100,0.0
1999-12-10,AN,9.75,10.13,9.625,9.938,9.938,8951300,0.0
1999-12-17,AN,9.875,9.938,7.5,9.06,9.06,13329800,0.0
1999-12-23,AN,9.063,9.25,8.75,8.938,8.938,5280700,0.0
1999-12-31,AN,8.938,9.375,8.625,9.25,9.25,7236000,0.0
2000-01-07,AN,9.188,9.313,8.313,8.938,8.938,6732600,0.0
2000-01-14,AN,8.938,9.0,8.5,8.625,8.625,4448100,0.0
2000-01-21,AN,8.75,8.938,8.625,8.75,8.75,3583000,0.0
2000-01-28,AN,8.75,8.813,7.313,7.875,7.875,6625600,0.0
2000-02-04,AN,7.938,8.063,6.125,6.875,6.875,25939400,0.0
2000-02-11,AN,6.75,8.25,6.438,7.875,7.875,13350800,0.0
2000-02-18,AN,7.75,8.375,7.313,7.813,7.813,7168400,0.0
2000-02-25,AN,7.875,8.25,7.313,8.25,8.25,4232800,0.0
2000-03-03,AN,8.125,8.125,7.0,7.063,7.063,8595700,0.0
2000-03-10,AN,7.125,7.563,6.938,7.375,7.375,6429500,0.0
2000-03-17,AN,7.375,8.25,7.0,8.125,8.125,6213500,0.0
2000-03-24,AN,8.125,8.25,7.62,7.75,7.75,6722100,0.0
2000-03-31,AN,7.813,8.063,7.75,7.938,7.938,3802000,0.0
2000-04-07,AN,8.063,9.0,8.0,8.188,8.188,5990000,0.0
2000-04-14,AN,8.063,8.563,7.688,7.75,7.75,3567000,0.0
2000-04-20,AN,7.688,8.25,7.625,8.063,8.063,3385900,0.0
2000-04-28,AN,8.125,9.188,8.0,9.125,9.125,3761000,0.0
2000-05-05,AN,9.0,9.875,9.0,9.313,9.313,4710400,0.0
2000-05-12,AN,9.25,9.938,8.938,9.938,9.938,2912300,0.0
2000-05-19,AN,10.0,10.75,9.063,9.188,9.188,4382100,0.0
2000-05-26,AN,9.188,9.25,8.0,8.188,8.188,5323600,0.0
2000-06-02,AN,8.25,8.375,7.688,8.313,8.313,4748600,0.0
2000-06-09,AN,8.313,8.438,7.438,7.688,7.688,8003700,0.0
2000-06-16,AN,7.688,7.938,7.438,7.938,7.938,4178200,0.0
2000-06-23,AN,7.875,7.875,7.125,7.25,7.25,3725900,0.0
2000-06-30,AN,7.25,7.438,7.0,7.063,7.063,2563900,0.0
2000-07-07,AN,6.875,7.313,6.438,7.125,7.125,2145200,0.0
2000-07-14,AN,7.188,7.188,6.375,6.625,6.625,3134700,0.0
2000-07-21,AN,6.625,6.875,6.188,6.688,6.688,3221700,0.0
2000-07-28,AN,6.625,6.875,6.25,6.75,6.75,4068800,0.0
2000-08-04,AN,6.875,7.063,6.625,6.688,6.688,3595700,0.0
2000-08-11,AN,6.688,6.938,5.75,6.5,6.5,4180600,0.0
2000-08-18,AN,6.5,6.625,6.25,6.563,6.563,2040700,0.0
2000-08-25,AN,6.563,6.75,6.188,6.313,6.313,7106300,0.0
2000-09-01,AN,6.25,6.563,6.125,6.125,6.125,4115700,0.0
2000-09-08,AN,6.25,6.313,6.063,6.125,6.125,1604900,0.0
2000-09-15,AN,6.063,6.125,5.938,6.063,6.063,2568000,0.0
2000-09-22,AN,6.125,6.125,5.625,6.063,6.063,2897800,0.0
