date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,ANDV,10.88,13.5,10.81,13.19,5.4586,2000800,0.0
1999-11-19,ANDV,13.13,14.75,12.88,14.06,5.8187,1012300,0.0
1999-11-26,ANDV,14.0,14.0,12.69,12.75,5.2765,623000,0.0
1999-12-03,ANDV,12.5,12.56,11.63,11.69,4.8378,474300,0.0
1999-12-10,ANDV,11.69,11.75,10.5,10.69,4.424,1170000,0.0
1999-12-17,ANDV,10.81,11.06,9.813,10.0,4.1384,1305600,0.0
1999-12-23,ANDV,9.938,11.13,9.75,11.06,4.5771,539800,0.0
1999-12-31,ANDV,10.94,11.56,10.31,11.56,4.784,480500,0.0
2000-01-07,ANDV,11.56,11.56,9.938,10.0,4.1384,598300,0.0
2000-01-14,ANDV,10.0,10.5,9.75,10.0,4.1384,1833300,0.0
2000-01-21,ANDV,10.13,11.5,10.0,11.31,4.6806,1231900,0.0
2000-01-28,ANDV,11.44,13.0,11.0,11.56,4.784,1425700,0.0
2000-02-04,ANDV,11.56,11.56,10.56,10.75,4.4488,781700,0.0
2000-02-11,ANDV,10.88,11.0,9.938,10.06,4.1633,659800,0.0
2000-02-18,ANDV,10.13,10.19,9.375,9.56,3.9564,1398300,0.0
2000-02-25,ANDV,9.563,9.625,9.0,9.25,3.8281,470000,0.0
2000-03-03,ANDV,9.25,10.0,9.125,9.5,3.9315,1775500,0.0
2000-03-10,ANDV,9.625,9.875,9.25,9.375,3.8798,2352900,0.0
2000-03-17,ANDV,9.375,10.94,9.313,10.5,4.3454,2718200,0.0
2000-03-24,ANDV,10.44,11.25,10.19,10.63,4.3992,1247200,0.0
2000-03-31,ANDV,10.69,12.0,10.44,11.5,4.7592,1094900,0.0
2000-04-07,ANDV,11.56,11.63,10.5,11.06,4.5771,849000,0.0
2000-04-14,ANDV,11.06,12.5,10.63,11.0,4.5523,983900,0.0
2000-04-20,ANDV,11.0,12.0,10.81,11.75,4.8627,550100,0.0
2000-04-28,ANDV,11.81,12.5,11.38,11.75,4.8627,691400,0.0
2000-05-05,ANDV,11.88,12.19,9.438,9.5,3.9315,3110800,0.0
2000-05-12,ANDV,9.625,10.13,9.313,9.875,4.0867,1796300,0.0
2000-05-19,ANDV,9.938,10.06,9.563,9.625,3.9833,372700,0.0
2000-05-26,ANDV,9.625,9.75,9.188,9.5,3.9315,1100200,0.0
2000-06-02,ANDV,9.5,10.19,9.438,9.5,3.9315,485800,0.0
2000-06-09,ANDV,9.5,10.13,9.375,9.813,4.0611,1189800,0.0
2000-06-16,ANDV,9.875,10.94,9.5,9.5,3.9315,864700,0.0
2000-06-23,ANDV,9.563,10.06,9.375,9.875,4.0867,505100,0.0
2000-06-30,ANDV,10.13,10.44,9.938,10.13,4.1922,520700,0.0
2000-07-07,ANDV,10.13,10.19,9.438,9.875,4.0867,346500,0.0
2000-07-14,ANDV,9.938,10.38,9.938,10.13,4.1922,434500,0.0
2000-07-21,ANDV,10.06,10.25,9.875,9.875,4.0867,305900,0.0
2000-07-28,ANDV,10.0,10.06,9.313,9.563,3.9576,348900,0.0
2000-08-04,ANDV,9.438,9.938,9.063,9.375,3.8798,301600,0.0
2000-08-11,ANDV,9.5,9.938,8.938,9.375,3.8798,883300,0.0
2000-08-18,ANDV,9.375,9.75,9.25,9.438,3.9059,415100,0.0
2000-08-25,ANDV,9.5,9.75,9.25,9.375,3.8798,1500600,0.0
2000-09-01,ANDV,9.375,10.25,9.125,9.938,4.1128,1353300,0.0
2000-09-08,ANDV,9.813,10.0,9.625,9.875,4.0867,445000,0.0
2000-09-15,ANDV,9.938,10.81,9.688,10.5,4.3454,797900,0.0
2000-09-22,ANDV,10.5,10.63,10.25,10.38,4.2957,673600,0.0
2000-09-29,ANDV,10.38,10.5,9.75,9.938,4.1128,410100,0.0
2000-10-06,ANDV,10.0,10.5,9.938,10.06,4.1633,1279900,0.0
2000-10-13,ANDV,10.13,10.69,9.813,10.5,4.3454,734800,0.0
2000-10-20,ANDV,10.44,10.63,10.0,10.06,4.1633,635000,0.0
2000-10-27,ANDV,10.13,10.5,9.813,10.31,4.2667,682300,0.0
2000-11-03,ANDV,10.44,10.88,10.25,10.63,4.3992,600400,0.0
2000-11-10,ANDV,10.75,10.81,10.19,10.25,4.2419,463000,0.0
2000-11-17,ANDV,10.25,10.63,10.0,10.38,4.2957,734600,0.0
2000-11-24,ANDV,10.25,10.31,9.938,10.25,4.2419,448700,0.0
2000-12-01,ANDV,10.25,10.5,9.313,9.938,4.1128,484900,0.0
2000-12-08,ANDV,9.938,10.06,9.438,9.813,4.0611,342000,0.0
2000-12-15,ANDV,9.938,10.06,9.625,9.875,4.0867,352600,0.0
2000-12-22,ANDV,9.625,10.94,9.625,10.81,4.4737,1124900,0.0
2000-12-29,ANDV,10.81,11.88,10.81,11.63,4.813,664500,0.0
2001-01-05,ANDV,11.63,11.69,11.0,11.44,4.7344,715900,0.0
2001-01-12,ANDV,11.75,11.81,11.25,11.69,4.8378,614500,0.0
2001-01-19,ANDV,11.69,11.88,11.31,11.56,4.784,740200,0.0
2001-01-26,ANDV,11.31,12.06,11.31,11.69,4.8378,405800,0.0
2001-02-02,ANDV,11.68,11.87,11.34,11.52,4.7675,327300,0.0
2001-02-09,ANDV,12.0,13.38,12.0,13.32,5.5124,1352500,0.0
2001-02-16,ANDV,13.33,14.5,13.33,14.35,5.9387,1802600,0.0
2001-02-23,ANDV,14.25,14.38,13.01,13.45,5.5662,841000,0.0
2001-03-02,ANDV,13.1,13.7,12.55,12.98,5.3717,659800,0.0
2001-03-09,ANDV,13.08,13.81,13.0,13.01,5.3841,615800,0.0
2001-03-16,ANDV,13.11,13.11,11.93,12.07,4.9951,601300,0.0
2001-03-23,ANDV,12.13,12.42,11.25,11.74,4.8585,699600,0.0
2001-03-30,ANDV,11.77,12.6,11.77,12.45,5.1524,991700,0.0
2001-04-06,ANDV,12.4,12.64,11.85,12.4,5.1317,531000,0.0
2001-04-12,ANDV,12.3,13.44,12.26,13.38,5.5372,919000,0.0
2001-04-20,ANDV,13.25,15.24,13.12,14.1,5.8352,1823200,0.0
