date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,ANF,24.44,29.0,23.31,27.25,18.0707,16215600,0.0
1999-11-19,ANF,27.25,28.44,25.0,26.0,17.2418,7288900,0.0
1999-11-26,ANF,26.0,29.94,25.25,29.38,19.4832,5402900,0.0
1999-12-03,ANF,30.94,32.56,29.0,30.13,19.9805,7482200,0.0
1999-12-10,ANF,30.94,31.0,28.56,29.5,19.5628,5102400,0.0
1999-12-17,ANF,28.75,29.25,23.38,25.56,16.95,10582000,0.0
1999-12-23,ANF,25.94,26.38,24.0,25.0,16.5786,5894200,0.0
1999-12-31,ANF,25.25,29.13,25.0,26.69,17.6993,4056000,0.0
2000-01-07,ANF,28.62,28.69,24.31,25.0,16.5786,4086400,0.0
2000-01-14,ANF,26.13,26.38,23.25,23.81,15.7895,5030900,0.0
2000-01-21,ANF,23.94,23.94,19.56,20.25,13.4287,9182800,0.0
2000-01-28,ANF,20.25,23.38,20.0,22.25,14.755,10095800,0.0
2000-02-04,ANF,22.0,23.0,20.31,23.0,15.2523,7608200,0.0
2000-02-11,ANF,22.56,22.81,20.38,22.31,14.7948,9213100,0.0
2000-02-18,ANF,23.69,24.5,14.25,14.75,9.7814,34506600,0.0
2000-02-25,ANF,15.0,15.13,12.88,14.0,9.284,8705800,0.0
2000-03-03,ANF,14.06,15.0,13.75,13.88,9.2044,6188600,0.0
2000-03-10,ANF,13.88,16.5,13.38,15.25,10.113,9569200,0.0
2000-03-17,ANF,14.5,17.5,14.25,16.63,11.0281,7880500,0.0
2000-03-24,ANF,16.75,17.13,15.88,15.94,10.5705,5122300,0.0
2000-03-31,ANF,16.0,16.25,14.13,15.94,10.5705,6870900,0.0
2000-04-07,ANF,15.75,16.19,13.56,13.75,9.1182,7075300,0.0
2000-04-14,ANF,13.94,14.0,11.25,11.63,7.7124,5908800,0.0
2000-04-20,ANF,11.0,12.44,10.38,11.13,7.3808,6857300,0.0
2000-04-28,ANF,11.13,11.5,10.06,11.0,7.2946,6852400,0.0
2000-05-05,ANF,11.06,11.06,9.688,10.5,6.963,5741500,0.0
2000-05-12,ANF,10.75,12.69,9.5,9.75,6.4657,18572700,0.0
2000-05-19,ANF,9.75,9.938,8.875,9.0,5.9683,7639300,0.0
2000-05-26,ANF,9.063,9.188,8.0,8.625,5.7196,9873000,0.0
2000-06-02,ANF,8.625,9.438,8.375,9.188,6.093,7973500,0.0
2000-06-09,ANF,9.438,9.813,8.625,9.063,6.0101,5759900,0.0
2000-06-16,ANF,9.188,10.44,8.875,10.13,6.7177,6332800,0.0
2000-06-23,ANF,10.19,10.94,9.938,10.88,7.215,4784900,0.0
2000-06-30,ANF,10.94,12.75,10.94,12.19,8.0837,8311000,0.0
2000-07-07,ANF,12.19,15.0,11.38,14.88,9.8676,7442000,0.0
2000-07-14,ANF,14.94,16.69,14.13,14.94,9.9074,11428900,0.0
2000-07-21,ANF,14.81,15.56,13.75,14.81,9.8212,4865500,0.0
2000-07-28,ANF,14.69,15.63,13.75,15.56,10.3185,5779400,0.0
2000-08-04,ANF,16.63,19.88,15.31,19.63,13.0175,12496700,0.0
2000-08-11,ANF,19.63,21.5,17.31,18.81,12.4738,10482400,0.0
2000-08-18,ANF,18.94,22.06,18.5,21.75,14.4234,7353600,0.0
2000-08-25,ANF,21.56,24.44,21.56,23.13,15.3385,10218700,0.0
2000-09-01,ANF,23.13,25.5,21.06,24.0,15.9155,13161400,0.0
2000-09-08,ANF,24.0,24.75,22.75,24.63,16.3333,3230100,0.0
2000-09-15,ANF,24.13,25.56,23.94,25.5,16.9102,4821300,0.0
2000-09-22,ANF,25.25,25.56,23.25,25.5,16.9102,5287300,0.0
2000-09-29,ANF,25.5,26.56,17.0,19.06,12.6395,12885200,0.0
2000-10-06,ANF,19.19,25.25,18.0,22.63,15.007,10058300,0.0
2000-10-13,ANF,23.0,23.19,20.0,21.44,14.2178,6322000,0.0
2000-10-20,ANF,21.31,24.69,21.25,22.63,15.007,5899800,0.0
2000-10-27,ANF,22.69,23.63,21.06,22.81,15.1263,4254300,0.0
2000-11-03,ANF,23.13,24.56,21.0,22.75,15.0865,11086300,0.0
2000-11-10,ANF,22.75,25.5,21.19,25.5,16.9102,8477000,0.0
2000-11-17,ANF,25.0,29.88,24.75,28.44,18.8598,10684500,0.0
2000-11-24,ANF,28.44,29.0,26.63,28.94,19.1914,3862300,0.0
2000-12-01,ANF,30.13,31.31,18.75,20.5,13.5945,11200600,0.0
2000-12-08,ANF,20.13,20.81,17.56,20.69,13.7205,10954300,0.0
2000-12-15,ANF,20.0,20.56,16.25,18.0,11.9366,8883500,0.0
2000-12-22,ANF,18.13,18.69,14.75,17.13,11.3597,6815700,0.0
2000-12-29,ANF,17.19,20.94,15.88,20.0,13.2629,5418900,0.0
2001-01-05,ANF,20.5,23.75,17.75,22.31,14.7948,12565700,0.0
2001-01-12,ANF,22.06,24.75,20.13,23.63,15.6701,5383000,0.0
2001-01-19,ANF,23.5,25.0,22.81,22.94,15.2125,5780300,0.0
2001-01-26,ANF,24.0,28.81,23.56,27.25,18.0707,8563600,0.0
2001-02-02,ANF,27.0,31.0,26.97,29.86,19.8015,9803600,0.0
2001-02-09,ANF,29.61,31.75,28.75,29.26,19.4036,11107800,0.0
2001-02-16,ANF,29.03,31.49,29.01,30.34,20.1198,5183000,0.0
2001-02-23,ANF,29.84,30.62,26.28,28.21,18.7073,9002600,0.0
2001-03-02,ANF,28.5,30.95,26.75,28.75,19.0654,5323800,0.0
2001-03-09,ANF,28.76,33.64,27.62,32.3,21.4196,10241300,0.0
2001-03-16,ANF,32.05,32.55,30.71,31.99,21.214,5278700,0.0
2001-03-23,ANF,32.4,35.19,31.26,33.01,21.8904,9835000,0.0
