date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,ANSS,8.969,9.0,8.125,8.813,2.2033,92800,0.0
1999-11-19,ANSS,8.813,9.25,8.5,8.875,2.2188,138400,0.0
1999-11-26,ANSS,8.906,9.25,8.906,9.25,2.3125,138700,0.0
1999-12-03,ANSS,9.125,10.63,8.688,10.25,2.5625,831500,0.0
1999-12-10,ANSS,10.25,11.38,10.13,11.31,2.8275,684400,0.0
1999-12-17,ANSS,11.5,12.06,10.63,11.0,2.75,561800,0.0
1999-12-23,ANSS,11.06,11.44,10.88,11.19,2.7975,265200,0.0
1999-12-31,ANSS,11.38,11.63,10.84,11.0,2.75,135200,0.0
2000-01-07,ANSS,10.88,11.25,10.13,10.81,2.7025,507800,0.0
2000-01-14,ANSS,10.78,10.88,9.625,9.938,2.4845,368900,0.0
2000-01-21,ANSS,9.938,10.56,9.75,10.56,2.64,297200,0.0
2000-01-28,ANSS,10.38,11.69,10.25,10.25,2.5625,87500,0.0
2000-02-04,ANSS,10.38,10.75,10.0,10.38,2.595,82500,0.0
2000-02-11,ANSS,10.22,14.0,10.06,12.56,3.14,630300,0.0
2000-02-18,ANSS,12.5,14.25,12.0,13.13,3.2825,1014700,0.0
2000-02-25,ANSS,13.25,14.13,11.81,12.0,3.0,742200,0.0
2000-03-03,ANSS,12.25,13.75,11.88,13.5,3.375,1887200,0.0
2000-03-10,ANSS,13.75,15.0,12.13,12.25,3.0625,3704600,0.0
2000-03-17,ANSS,12.13,13.38,12.0,12.5,3.125,1232200,0.0
2000-03-24,ANSS,12.75,13.13,9.0,10.19,2.5475,1404700,0.0
2000-03-31,ANSS,10.2,11.38,9.813,10.75,2.6875,753400,0.0
2000-04-07,ANSS,10.75,11.75,9.5,11.0,2.75,532200,0.0
2000-04-14,ANSS,11.31,11.38,8.063,8.688,2.172,474100,0.0
2000-04-20,ANSS,8.469,11.5,8.25,10.88,2.72,692000,0.0
2000-04-28,ANSS,11.0,11.0,10.25,10.81,2.7025,483500,0.0
2000-05-05,ANSS,10.75,10.81,9.375,10.25,2.5625,860900,0.0
2000-05-12,ANSS,10.13,10.75,9.875,10.5,2.625,196400,0.0
2000-05-19,ANSS,10.44,10.75,10.38,10.75,2.6875,460300,0.0
2000-05-26,ANSS,10.72,10.88,10.63,10.88,2.72,279400,0.0
2000-06-02,ANSS,10.81,11.38,10.81,11.31,2.8275,238800,0.0
2000-06-09,ANSS,11.38,12.31,11.25,11.75,2.9375,255700,0.0
2000-06-16,ANSS,11.75,11.75,11.13,11.19,2.7975,279700,0.0
2000-06-23,ANSS,11.06,12.06,11.0,12.0,3.0,258900,0.0
2000-06-30,ANSS,12.03,12.5,11.0,11.38,2.845,210000,0.0
2000-07-07,ANSS,11.5,12.0,11.0,11.5,2.875,59900,0.0
2000-07-14,ANSS,11.5,11.88,11.5,11.63,2.9075,71200,0.0
2000-07-21,ANSS,11.94,12.56,10.5,11.75,2.9375,362700,0.0
2000-07-28,ANSS,11.63,11.75,9.75,9.875,2.4688,1509800,0.0
2000-08-04,ANSS,9.813,10.13,9.625,9.688,2.422,330200,0.0
2000-08-11,ANSS,9.594,10.41,9.063,9.875,2.4688,356600,0.0
2000-08-18,ANSS,10.09,10.94,9.688,9.875,2.4688,391500,0.0
2000-08-25,ANSS,10.0,10.13,9.75,10.0,2.5,309100,0.0
2000-09-01,ANSS,10.13,11.44,10.0,11.06,2.765,285700,0.0
2000-09-08,ANSS,10.88,11.38,10.75,11.38,2.845,315800,0.0
2000-09-15,ANSS,11.0,12.0,10.75,11.69,2.9225,417000,0.0
2000-09-22,ANSS,11.5,12.38,11.38,12.38,3.095,173900,0.0
2000-09-29,ANSS,12.28,12.75,11.75,12.0,3.0,276600,0.0
2000-10-06,ANSS,11.88,12.38,11.81,11.88,2.97,184100,0.0
2000-10-13,ANSS,11.89,12.44,11.75,12.0,3.0,252400,0.0
2000-10-20,ANSS,11.88,12.06,11.69,11.88,2.97,316800,0.0
2000-10-27,ANSS,11.88,12.13,10.75,11.56,2.89,531400,0.0
2000-11-03,ANSS,11.88,11.88,11.25,11.63,2.9075,300700,0.0
2000-11-10,ANSS,11.56,11.75,9.5,10.0,2.5,176100,0.0
2000-11-17,ANSS,9.875,10.63,9.875,10.44,2.61,202400,0.0
2000-11-24,ANSS,10.5,10.75,10.06,10.25,2.5625,143000,0.0
2000-12-01,ANSS,10.19,10.44,9.875,10.19,2.5475,148000,0.0
2000-12-08,ANSS,10.06,10.31,8.75,10.13,2.5325,1388000,0.0
2000-12-15,ANSS,10.19,10.34,9.75,10.06,2.515,1106300,0.0
2000-12-22,ANSS,10.06,10.25,9.688,10.0,2.5,273600,0.0
2000-12-29,ANSS,9.75,11.38,9.75,11.25,2.8125,127000,0.0
2001-01-05,ANSS,11.23,12.5,11.23,12.06,3.015,155700,0.0
2001-01-12,ANSS,11.98,12.0,10.06,10.44,2.61,247100,0.0
2001-01-19,ANSS,10.63,12.13,10.61,11.0,2.75,101000,0.0
2001-01-26,ANSS,10.98,11.0,10.44,10.75,2.6875,348200,0.0
2001-02-02,ANSS,10.69,11.44,10.38,11.44,2.86,178600,0.0
2001-02-09,ANSS,11.38,13.88,11.38,13.06,3.265,877500,0.0
2001-02-16,ANSS,13.05,13.19,12.0,12.0,3.0,361900,0.0
2001-02-23,ANSS,12.38,12.5,9.875,10.69,2.6725,875100,0.0
2001-03-02,ANSS,10.75,11.88,9.625,11.88,2.97,527800,0.0
2001-03-09,ANSS,11.88,12.88,11.44,11.75,2.9375,476800,0.0
2001-03-16,ANSS,11.94,13.69,11.88,13.25,3.3125,631100,0.0
2001-03-23,ANSS,12.81,14.38,12.0,12.06,3.015,389800,0.0
2001-03-30,ANSS,12.0,13.25,12.0,12.63,3.1575,185700,0.0
2001-04-06,ANSS,12.75,12.75,11.75,12.0,3.0,232000,0.0
2001-04-12,ANSS,12.05,13.05,11.7,12.8,3.2,474000,0.0
2001-04-20,ANSS,12.85,13.82,11.89,13.55,3.3875,655100,0.0
2001-04-27,ANSS,13.65,14.25,12.91,13.48,3.37,1208600,0.0
2001-05-04,ANSS,13.5,14.97,13.1,14.85,3.7125,410300,0.0
2001-05-11,ANSS,14.5,15.25,14.15,15.1,3.775,806500,0.0
2001-05-18,ANSS,14.8,15.15,12.15,14.1,3.525,797100,0.0
2001-05-25,ANSS,14.2,16.95,14.2,16.3,4.075,1087700,0.0
2001-06-01,ANSS,16.32,16.48,13.9,16.01,4.0025,343700,0.0
2001-06-08,ANSS,15.98,16.1,14.4,15.0,3.75,703800,0.0
2001-06-15,ANSS,15.1,16.5,14.3,15.35,3.8375,1153800,0.0
2001-06-22,ANSS,14.83,16.0,14.8,15.8,3.95,315200,0.0
2001-06-29,ANSS,15.69,19.06,15.18,18.72,4.68,927000,0.0
2001-07-06,ANSS,16.92,17.93,15.55,16.12,4.03,576200,0.0
2001-07-13,ANSS,16.14,17.21,15.0,17.0,4.25,501300,0.0
2001-07-20,ANSS,16.01,17.0,16.0,16.79,4.1975,540900,0.0
2001-07-27,ANSS,16.83,19.2,16.8,19.05,4.7625,1630000,0.0
2001-08-03,ANSS,19.29,19.57,18.21,18.99,4.7475,820300,0.0
2001-08-10,ANSS,19.01,19.2,17.35,18.82,4.705,396100,0.0
2001-08-17,ANSS,18.82,19.29,18.2,18.69,4.6725,333200,0.0
2001-08-24,ANSS,18.7,19.0,18.35,18.74,4.685,264200,0.0
2001-08-31,ANSS,18.99,19.14,17.26,18.8,4.7,574300,0.0
2001-09-07,ANSS,18.6,19.05,18.6,18.92,4.73,455900,0.0
2001-09-10,ANSS,18.96,18.96,18.45,18.9,4.725,183600,0.0
2001-09-21,ANSS,16.99,18.9,13.76,14.65,3.6625,1475100,0.0
2001-09-28,ANSS,15.2,18.7,14.81,17.85,4.4625,932900,0.0
2001-10-05,ANSS,17.26,19.12,16.6,19.04,4.76,906800,0.0
2001-10-12,ANSS,20.12,20.12,17.5,18.7,4.675,964000,0.0
2001-10-19,ANSS,18.7,19.59,16.91,17.78,4.445,411800,0.0
2001-10-26,ANSS,17.75,21.09,17.35,21.0,5.25,1552500,0.0
2001-11-02,ANSS,21.64,22.5,19.55,21.5,5.375,1534700,0.0
2001-11-09,ANSS,21.1,22.7,19.9,22.21,5.5525,1019900,0.0
2001-11-16,ANSS,22.46,24.8,20.59,21.64,5.41,1315400,0.0
2001-11-23,ANSS,21.92,22.5,20.22,21.5,5.375,467800,0.0
2001-11-30,ANSS,21.81,26.2,21.7,25.0,6.25,1291200,0.0
2001-12-07,ANSS,25.2,26.79,23.35,25.7,6.425,1433500,0.0
2001-12-14,ANSS,25.91,28.28,25.49,26.3,6.575,2143400,0.0
2001-12-21,ANSS,26.74,28.12,24.43,26.93,6.7325,1308600,0.0
2001-12-28,ANSS,27.02,28.9,26.31,26.53,6.6325,690600,0.0
2002-01-04,ANSS,26.87,26.88,22.24,25.13,6.2825,767200,0.0
2002-01-11,ANSS,25.54,28.43,23.98,25.23,6.3075,908000,0.0
2002-01-18,ANSS,25.1,26.64,24.34,25.21,6.3025,842900,0.0
2002-01-25,ANSS,25.02,25.59,22.77,24.48,6.12,1124400,0.0
2002-02-01,ANSS,24.2,25.1,21.26,24.41,6.1025,1319900,0.0
2002-02-08,ANSS,24.54,25.96,21.26,24.59,6.1475,1002200,0.0
2002-02-15,ANSS,24.33,25.71,23.43,24.17,6.0425,586100,0.0
2002-02-22,ANSS,24.01,25.0,22.32,23.96,5.99,1975300,0.0
2002-03-01,ANSS,23.66,24.08,21.91,23.65,5.9125,1119400,0.0
2002-03-08,ANSS,23.69,25.12,22.75,24.6,6.15,656000,0.0
2002-03-15,ANSS,23.8,25.48,23.25,25.25,6.3125,576000,0.0
2002-03-22,ANSS,25.03,26.59,24.05,25.35,6.3375,609000,0.0
2002-03-28,ANSS,25.25,27.55,24.3,27.1,6.775,461600,0.0
2002-04-05,ANSS,26.93,26.93,23.7,25.09,6.2725,689000,0.0
2002-04-12,ANSS,24.9,26.0,24.31,25.77,6.4425,491600,0.0
2002-04-19,ANSS,25.76,27.15,25.6,26.96,6.74,313000,0.0
2002-04-26,ANSS,26.51,26.68,23.66,25.65,6.4125,717800,0.0
2002-05-03,ANSS,25.5,26.0,23.5,24.87,6.2175,756400,0.0
2002-05-10,ANSS,24.5,26.17,24.29,25.19,6.2975,308500,0.0
2002-05-17,ANSS,25.0,27.45,24.6,27.45,6.8625,482500,0.0
2002-05-24,ANSS,27.29,29.75,26.55,26.66,6.665,1135600,0.0
2002-05-31,ANSS,26.62,27.44,25.82,26.8,6.7,430000,0.0
2002-06-07,ANSS,26.8,26.82,24.06,25.07,6.2675,747500,0.0
2002-06-14,ANSS,25.06,26.36,22.25,23.08,5.77,613200,0.0
2002-06-21,ANSS,23.1,24.1,20.19,21.12,5.28,1005800,0.0
2002-06-28,ANSS,20.17,20.2,16.8,20.1,5.025,1585300,0.0
2002-07-05,ANSS,19.68,19.93,16.67,18.71,4.6775,521000,0.0
2002-07-12,ANSS,18.4,18.9,16.45,16.9,4.225,792900,0.0
2002-07-19,ANSS,16.6,18.0,16.6,16.93,4.2325,502400,0.0
2002-07-26,ANSS,16.94,20.84,16.75,20.83,5.2075,895600,0.0
2002-08-02,ANSS,20.65,21.96,20.1,20.37,5.0925,715300,0.0
2002-08-09,ANSS,20.56,23.75,19.29,21.68,5.42,536600,0.0
2002-08-16,ANSS,21.66,22.78,20.26,21.38,5.345,675800,0.0
2002-08-23,ANSS,21.15,23.74,21.08,23.38,5.845,353500,0.0
2002-08-30,ANSS,23.2,24.19,19.65,20.7,5.175,474300,0.0
2002-09-06,ANSS,20.58,22.1,19.15,21.62,5.405,487600,0.0
2002-09-13,ANSS,21.4,23.56,21.0,22.75,5.6875,314900,0.0
2002-09-20,ANSS,22.24,22.5,16.99,17.64,4.41,1329400,0.0
2002-09-27,ANSS,17.54,19.28,17.01,17.3,4.325,1290200,0.0
2002-10-04,ANSS,17.06,17.38,13.6,14.01,3.5025,1306400,0.0
2002-10-11,ANSS,13.75,16.38,13.75,15.95,3.9875,1374800,0.0
2002-10-18,ANSS,15.95,18.73,15.75,18.19,4.5475,310400,0.0
2002-10-25,ANSS,18.15,19.83,16.22,19.43,4.8575,776600,0.0
2002-11-01,ANSS,19.45,19.95,18.2,19.93,4.9825,405000,0.0
2002-11-08,ANSS,19.96,22.12,19.95,20.15,5.0375,626200,0.0
2002-11-15,ANSS,20.09,20.7,18.47,20.0,5.0,361800,0.0
2002-11-22,ANSS,19.97,21.05,19.07,21.0,5.25,307200,0.0
2002-11-29,ANSS,20.65,21.95,20.46,20.6,5.15,238400,0.0
2002-12-06,ANSS,21.15,21.15,18.73,19.39,4.8475,284900,0.0
2002-12-13,ANSS,19.16,20.6,19.16,19.65,4.9125,446000,0.0
2002-12-20,ANSS,19.65,20.52,18.17,19.97,4.9925,365800,0.0
2002-12-27,ANSS,19.84,21.14,19.84,20.7,5.175,144800,0.0
2003-01-03,ANSS,20.67,21.15,19.5,20.0,5.0,498800,0.0
