date,ticker,open,high,low,close,adj_close,volume,dividend
2016-01-14,APOL,7.08,7.69,6.31,7.3,7.3,17239118,0.0
2016-01-22,APOL,7.87,8.005,6.87,7.76,7.76,9483309,0.0
2016-01-29,APOL,7.65,8.09,7.26,7.94,7.94,9794095,0.0
2016-02-05,APOL,7.87,7.88,6.75,6.95,6.95,8324370,0.0
2016-02-12,APOL,8.85,8.85,8.2,8.6,8.6,27910428,0.0
2016-02-19,APOL,8.77,8.94,8.58,8.68,8.68,7406645,0.0
2016-02-26,APOL,8.72,8.74,8.005,8.11,8.11,6098016,0.0
2016-03-04,APOL,8.3,8.57,8.25,8.51,8.51,3874571,0.0
2016-03-11,APOL,8.5,8.69,8.2,8.38,8.38,4716112,0.0
2016-03-18,APOL,8.27,8.48,8.18,8.38,8.38,4658779,0.0
2016-03-24,APOL,8.35,8.43,8.16,8.25,8.25,3904556,0.0
2016-03-28,APOL,8.27,8.27,7.85,7.855,7.855,2089831,0.0
2016-04-01,APOL,8.15,8.25,8.05,8.15,8.15,985187,0.0
2016-04-08,APOL,8.15,8.222,7.7,7.815,7.815,11154073,0.0
2016-04-15,APOL,7.85,7.85,7.185,7.61,7.61,7090641,0.0
2016-04-21,APOL,7.66,7.69,7.1,7.11,7.11,5812135,0.0
2016-05-06,APOL,8.73,9.06,8.33,8.95,8.95,12061723,0.0
2016-05-13,APOL,9.19,9.34,9.11,9.28,9.28,5830716,0.0
2016-05-20,APOL,9.25,9.29,9.11,9.22,9.22,4396623,0.0
2016-05-27,APOL,9.16,9.23,9.13,9.21,9.21,2559895,0.0
2016-06-03,APOL,9.22,9.24,9.15,9.21,9.21,2780640,0.0
2016-06-10,APOL,9.26,9.26,9.13,9.19,9.19,2012843,0.0
2016-06-17,APOL,9.17,9.24,9.13,9.2,9.2,2370177,0.0
2016-06-24,APOL,9.21,9.215,9.03,9.11,9.11,4241700,0.0
2016-07-01,APOL,9.1,9.16,8.935,9.1,9.1,2501407,0.0
2016-07-08,APOL,9.1,9.15,8.89,9.05,9.05,2538124,0.0
2016-07-15,APOL,9.07,9.16,9.02,9.04,9.04,3593167,0.0
2016-07-22,APOL,9.07,9.1,8.95,8.96,8.96,2708299,0.0
2016-07-29,APOL,8.98,9.05,8.92,8.99,8.99,1765094,0.0
2016-08-05,APOL,8.99,9.05,8.92,8.95,8.95,1728368,0.0
2016-08-12,APOL,8.91,9.04,8.91,9.04,9.04,1538841,0.0
2016-08-19,APOL,9.02,9.05,8.89,8.93,8.93,2277964,0.0
2016-08-26,APOL,8.93,8.98,8.81,8.83,8.83,1631483,0.0
2016-09-02,APOL,8.84,8.95,8.82,8.9,8.9,1803759,0.0
2016-09-09,APOL,8.88,8.955,8.1,8.35,8.35,3704294,0.0
2016-09-16,APOL,7.98,8.4,7.875,7.95,7.95,5280855,0.0
2016-09-23,APOL,8.0,8.09,7.51,7.58,7.58,3016077,0.0
2016-09-27,APOL,7.58,8.12,7.555,8.04,8.04,1092934,0.0
2016-09-30,APOL,7.85,7.985,7.831,7.95,7.95,367290,0.0
2016-10-07,APOL,7.96,8.34,7.8796,8.01,8.01,1369528,0.0
2016-10-12,APOL,8.02,8.24,7.99,8.11,8.11,487362,0.0
2016-10-21,APOL,8.43,9.03,8.34,8.87,8.87,2367566,0.0
2016-10-28,APOL,8.87,8.9466,8.49,8.67,8.67,1523665,0.0
2016-10-31,APOL,8.67,9.28,8.51,8.79,8.79,791188,0.0
2016-12-02,APOL,9.45,9.54,9.36,9.49,9.49,1352222,0.0
2016-12-09,APOL,9.5,9.59,9.1,9.59,9.59,9632917,0.0
2016-12-16,APOL,9.57,9.84,9.4,9.54,9.54,7516843,0.0
2016-12-23,APOL,9.56,9.94,9.55,9.94,9.94,5205732,0.0
2016-12-30,APOL,9.94,9.95,9.9,9.9,9.9,1661715,0.0
2017-01-06,APOL,9.92,9.97,9.85,9.95,9.95,3892433,0.0
2017-01-13,APOL,9.93,9.96,9.87,9.95,9.95,5211560,0.0
2017-01-20,APOL,9.93,10.0,9.93,9.99,9.99,3379690,0.0
2017-01-27,APOL,9.98,10.0,9.95,9.99,9.99,3598304,0.0
2017-02-03,APOL,9.99,10.0,9.98,9.995,9.995,1842844,0.0
2017-02-09,APOL,9.995,9.995,9.995,9.995,9.995,0,0.0
