date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,ARG,10.13,10.19,9.75,9.938,8.3,733000,0.0
1999-11-19,ARG,10.0,10.0,9.438,9.5,7.9342,1812800,0.0
1999-11-26,ARG,9.5,9.875,9.375,9.5,7.9342,852100,0.0
1999-12-03,ARG,9.563,9.938,9.25,9.688,8.0912,1012200,0.0
1999-12-10,ARG,9.688,9.938,9.063,9.25,7.7254,666900,0.0
1999-12-17,ARG,9.125,9.25,8.625,8.75,7.3078,870000,0.0
1999-12-23,ARG,8.75,8.875,8.438,8.438,7.0473,655600,0.0
1999-12-31,ARG,8.25,9.688,8.063,9.5,7.9342,1381800,0.0
2000-01-07,ARG,9.56,10.0,8.688,9.875,8.2474,916900,0.0
2000-01-14,ARG,10.13,10.19,8.563,8.938,7.4649,979000,0.0
2000-01-21,ARG,8.938,9.0,8.188,8.625,7.2034,859400,0.0
2000-01-28,ARG,8.625,8.625,7.938,8.25,6.8903,960600,0.0
2000-02-04,ARG,8.063,8.125,7.25,7.625,6.3683,1150600,0.0
2000-02-11,ARG,7.5,7.563,6.938,6.938,5.7945,708300,0.0
2000-02-18,ARG,7.25,7.25,6.375,6.438,5.3769,1773600,0.0
2000-02-25,ARG,6.438,6.625,6.0,6.438,5.3769,985300,0.0
2000-03-03,ARG,6.5,7.0,6.25,6.625,5.5331,2318600,0.0
2000-03-10,ARG,6.813,6.938,6.125,6.75,5.6375,1377600,0.0
2000-03-17,ARG,6.625,7.938,6.625,7.813,6.5253,1265700,0.0
2000-03-24,ARG,7.875,8.125,7.125,7.375,6.1595,2659200,0.0
2000-03-31,ARG,7.438,8.75,7.438,8.313,6.9429,1318000,0.0
2000-04-07,ARG,8.313,8.375,7.5,7.813,6.5253,4717500,0.0
2000-04-14,ARG,7.813,8.25,7.563,8.063,6.7341,524300,0.0
2000-04-20,ARG,7.875,8.375,7.625,8.313,6.9429,582700,0.0
2000-04-28,ARG,8.25,8.375,5.625,5.875,4.9067,2428700,0.0
2000-05-05,ARG,5.875,6.188,4.688,5.063,4.2285,2843200,0.0
2000-05-12,ARG,5.063,5.938,5.063,5.5,4.5935,1506200,0.0
2000-05-19,ARG,5.625,5.813,5.313,5.5,4.5935,860900,0.0
2000-05-26,ARG,5.625,5.813,5.375,5.5,4.5935,617500,0.0
