date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,ASH,33.13,35.0,33.0,34.88,8.9882,1481500,0.0
1999-11-19,ASH,34.56,35.94,34.13,35.0,9.0888,997800,0.275
1999-11-26,ASH,34.81,34.81,32.75,33.25,8.6344,856900,0.0
1999-12-03,ASH,33.06,34.0,32.69,33.81,8.7798,1254400,0.0
1999-12-10,ASH,33.56,34.0,32.06,32.94,8.5539,2626000,0.0
1999-12-17,ASH,33.13,33.25,32.12,32.12,8.341,1613900,0.0
1999-12-23,ASH,32.25,33.0,31.13,32.81,8.5201,689000,0.0
1999-12-31,ASH,32.81,33.0,31.69,32.94,8.5539,654500,0.0
2000-01-07,ASH,32.63,34.56,31.5,34.06,8.8447,3672400,0.0
2000-01-14,ASH,33.63,34.13,33.13,33.31,8.65,942500,0.0
2000-01-21,ASH,33.13,35.63,32.81,34.94,9.0733,1223300,0.0
2000-01-28,ASH,34.81,34.81,31.0,32.19,8.3591,2107300,0.0
2000-02-04,ASH,32.13,33.63,32.06,32.81,8.5201,1302300,0.0
2000-02-11,ASH,32.81,33.13,31.25,31.69,8.2293,650600,0.0
2000-02-18,ASH,31.75,32.25,30.38,30.75,7.9852,1470700,0.0
2000-02-25,ASH,30.69,31.25,28.63,29.31,7.6789,1164400,0.275
2000-03-03,ASH,29.63,32.81,29.13,31.88,8.3522,1929300,0.0
2000-03-10,ASH,32.0,32.0,30.63,31.75,8.3182,2049700,0.0
2000-03-17,ASH,31.5,33.88,30.19,31.75,8.3182,2655700,0.0
2000-03-24,ASH,31.75,33.38,31.5,33.06,8.6614,1211300,0.0
2000-03-31,ASH,33.31,34.06,31.31,33.25,8.7111,1400400,0.0
2000-04-07,ASH,33.44,33.44,31.69,32.06,8.3994,1882200,0.0
2000-04-14,ASH,31.94,34.75,31.19,32.5,8.5147,2461800,0.0
2000-04-20,ASH,32.75,35.0,32.0,33.81,8.8579,1137200,0.0
2000-04-28,ASH,33.13,34.44,32.94,34.13,8.9417,1357800,0.0
2000-05-05,ASH,34.13,35.5,33.88,34.75,9.1041,1650700,0.0
2000-05-12,ASH,35.0,36.19,34.38,35.38,9.2692,1615300,0.0
2000-05-19,ASH,35.38,36.19,34.63,34.94,9.1539,2251200,0.0
2000-05-26,ASH,35.31,35.38,33.69,33.75,8.913,1043300,0.275
2000-06-02,ASH,33.63,36.5,33.63,35.0,9.2431,1857800,0.0
2000-06-09,ASH,35.06,35.69,34.31,35.19,9.2933,1095000,0.0
2000-06-16,ASH,35.38,36.88,35.06,35.78,9.4491,1045600,0.0
2000-06-23,ASH,36.0,37.06,35.25,36.88,9.7396,1493700,0.0
2000-06-30,ASH,37.0,37.0,35.06,35.06,9.259,1236900,0.0
2000-07-07,ASH,35.06,36.69,34.75,35.38,9.3435,870500,0.0
2000-07-14,ASH,35.38,37.19,35.31,35.63,9.4095,997900,0.0
2000-07-21,ASH,35.94,36.06,33.81,33.81,8.9289,1352900,0.0
2000-07-28,ASH,34.25,34.56,32.56,32.88,8.6833,1312200,0.0
2000-08-04,ASH,32.94,33.63,32.5,33.06,8.7308,1878000,0.0
2000-08-11,ASH,33.06,35.5,32.81,35.38,9.3435,1514800,0.0
2000-08-18,ASH,35.19,36.44,34.06,35.81,9.457,1174200,0.0
2000-08-25,ASH,36.13,36.19,35.25,35.38,9.4154,828500,0.275
2000-09-01,ASH,35.0,36.44,34.88,35.56,9.4633,1249500,0.0
2000-09-08,ASH,35.5,36.25,34.19,34.81,9.2637,874100,0.0
2000-09-15,ASH,34.81,36.94,34.56,35.25,9.3808,1367400,0.0
2000-09-22,ASH,35.25,35.38,32.69,32.81,8.7314,1111200,0.0
2000-09-29,ASH,32.69,34.0,31.44,33.69,8.9656,1574800,0.0
2000-10-06,ASH,33.88,33.94,32.5,32.88,8.7501,2459400,0.0
2000-10-13,ASH,33.0,34.38,32.19,32.38,8.617,1388600,0.0
2000-10-20,ASH,32.38,32.88,31.69,32.63,8.6835,1763600,0.0
2000-10-27,ASH,32.69,32.88,31.06,31.38,8.3509,1195200,0.0
2000-11-03,ASH,31.38,33.63,31.19,33.19,8.8325,1263000,0.0
2000-11-10,ASH,33.0,33.75,32.19,32.5,8.6489,902000,0.0
2000-11-17,ASH,32.25,33.88,31.88,33.25,8.9221,1193300,0.275
2000-11-24,ASH,33.44,33.44,32.0,32.75,8.788,476800,0.0
2000-12-01,ASH,32.38,32.81,30.63,31.94,8.5706,1148400,0.0
2000-12-08,ASH,31.94,32.58,31.05,32.14,8.6243,1367200,0.0
2000-12-15,ASH,32.14,33.5,32.05,32.85,8.8148,1213400,0.0
2000-12-22,ASH,33.05,34.2,32.72,34.09,9.1475,1468500,0.0
2000-12-29,ASH,34.34,36.24,34.27,35.89,9.6305,1016900,0.0
2001-01-05,ASH,35.99,36.37,34.65,35.02,9.3971,1243300,0.0
2001-01-12,ASH,34.7,35.81,34.39,35.63,9.5608,1634100,0.0
2001-01-19,ASH,35.73,36.55,35.04,35.33,9.4803,1341600,0.0
2001-01-26,ASH,35.58,36.99,35.08,36.61,9.8237,1012000,0.0
2001-02-02,ASH,36.65,38.4,35.95,37.93,10.1779,1346200,0.0
2001-02-09,ASH,38.7,40.24,38.7,39.77,10.6717,2433900,0.0
2001-02-16,ASH,39.75,40.0,38.75,39.36,10.5616,1664800,0.0
2001-02-23,ASH,39.36,39.66,38.5,38.76,10.4734,1317900,0.275
2001-03-02,ASH,38.76,39.2,38.52,38.96,10.5275,2084000,0.0
2001-03-09,ASH,39.2,41.35,39.2,41.14,11.1165,2443900,0.0
2001-03-16,ASH,41.2,41.22,36.73,36.95,9.9843,2353300,0.0
2001-03-23,ASH,37.2,37.94,35.95,36.69,9.9141,1798700,0.0
2001-03-30,ASH,36.68,38.69,36.45,38.4,10.3761,2087600,0.0
2001-04-06,ASH,38.41,39.66,37.7,39.29,10.6166,2233700,0.0
2001-04-12,ASH,39.49,41.5,39.49,40.91,11.0544,1912200,0.0
2001-04-20,ASH,40.68,42.9,40.68,42.51,11.4867,1932900,0.0
2001-04-27,ASH,42.35,43.45,42.2,43.35,11.7137,2011400,0.0
2001-05-04,ASH,43.35,43.67,39.35,41.41,11.1895,2333300,0.0
2001-05-11,ASH,41.91,42.45,40.75,41.73,11.276,1917300,0.0
2001-05-18,ASH,41.93,44.25,41.59,43.85,11.8488,2052800,0.0
2001-05-25,ASH,43.9,43.9,40.78,41.43,11.269,2660900,0.275
2001-06-01,ASH,41.53,42.05,40.72,41.04,11.163,1452300,0.0
2001-06-08,ASH,41.65,42.34,40.03,40.4,10.9889,1538400,0.0
2001-06-15,ASH,40.55,41.77,38.77,39.06,10.6244,1702300,0.0
