date,ticker,open,high,low,close,adj_close,volume,dividend
1999-12-10,ATI,24.31,24.69,22.19,22.75,15.2979,2273300,0.0
1999-12-17,ATI,22.38,22.63,20.44,21.94,14.7533,4956400,0.0
1999-12-23,ATI,21.75,21.88,20.25,21.06,14.1615,1699900,0.0
1999-12-31,ATI,21.19,22.69,20.38,22.44,15.0895,1052300,0.0
2000-01-07,ATI,22.31,23.75,22.12,23.5,15.8023,2130600,0.0
2000-01-14,ATI,23.44,23.75,22.56,23.44,15.7619,2013800,0.0
2000-01-21,ATI,23.06,23.44,22.06,22.06,14.8339,1324500,0.0
2000-01-28,ATI,22.75,22.75,21.13,21.13,14.2086,1200700,0.0
2000-02-04,ATI,21.06,21.25,18.5,18.62,12.5208,2325000,0.0
2000-02-11,ATI,18.56,19.19,16.63,17.31,11.6399,2024200,0.0
2000-02-18,ATI,17.06,17.88,16.88,17.38,11.6869,1450000,0.0
2000-02-25,ATI,17.25,18.19,16.13,16.69,11.3565,1576500,0.2
2000-03-03,ATI,16.69,18.63,16.25,18.25,12.418,1752000,0.0
2000-03-10,ATI,18.19,18.19,16.44,17.69,12.0369,2236200,0.0
2000-03-17,ATI,17.94,18.75,16.94,18.13,12.3363,2459600,0.0
2000-03-24,ATI,18.38,18.94,17.88,18.5,12.5881,1806300,0.0
2000-03-31,ATI,18.5,20.56,18.0,20.06,13.6496,1496300,0.0
2000-04-07,ATI,20.06,20.69,19.56,19.94,13.5679,1446100,0.0
2000-04-14,ATI,20.25,21.63,19.44,19.75,13.4386,1318900,0.0
2000-04-20,ATI,19.81,21.5,19.25,20.81,14.1599,1316800,0.0
2000-04-28,ATI,20.63,24.5,19.97,24.19,16.4598,2386800,0.0
2000-05-05,ATI,24.25,25.69,24.25,25.31,17.2219,1705600,0.0
2000-05-12,ATI,25.0,26.31,24.44,25.44,17.3103,1334900,0.0
2000-05-19,ATI,25.56,26.81,23.63,26.25,17.8615,2319000,0.0
2000-05-26,ATI,26.13,26.75,23.13,23.31,15.9945,2123500,0.2
2000-06-02,ATI,23.19,23.69,22.06,22.69,15.5691,1573400,0.0
2000-06-09,ATI,23.06,23.06,21.0,21.13,14.4987,968800,0.0
