date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,ATVI,15.38,16.37,14.0,14.06,1.0278,3255084,0.0
1999-11-19,ATVI,14.44,14.87,13.69,14.0,1.0234,1837450,0.0
1999-11-26,ATVI,14.31,16.37,14.19,15.38,1.1243,2091850,0.0
1999-12-03,ATVI,15.53,16.12,14.81,15.56,1.1375,1529817,0.0
1999-12-10,ATVI,16.0,16.0,14.12,15.69,1.147,1921199,0.0
1999-12-17,ATVI,16.0,17.0,14.75,15.13,1.106,2940618,0.0
1999-12-23,ATVI,15.5,15.88,13.88,14.12,1.0322,1200350,0.0
1999-12-31,ATVI,14.44,16.37,14.25,15.31,1.1192,760984,0.0
2000-01-07,ATVI,15.75,16.5,14.0,16.12,1.1784,2737934,0.0
2000-01-14,ATVI,16.25,18.25,15.88,16.94,1.2384,2514201,0.0
2000-01-21,ATVI,17.0,17.44,14.87,15.13,1.106,1904534,0.0
2000-01-28,ATVI,15.03,17.62,13.59,16.37,1.1967,2931482,0.0
2000-02-04,ATVI,16.56,17.69,15.0,15.75,1.1514,3480968,0.0
2000-02-11,ATVI,15.13,15.31,14.25,14.87,1.087,2036816,0.0
2000-02-18,ATVI,14.87,15.0,12.62,13.5,0.9869,1289383,0.0
2000-02-25,ATVI,13.5,13.81,12.62,12.75,0.9321,605000,0.0
2000-03-03,ATVI,12.69,15.06,12.5,14.81,1.0826,3059933,0.0
2000-03-10,ATVI,15.0,15.0,13.14,14.31,1.0461,1176018,0.0
2000-03-17,ATVI,14.5,14.5,12.81,13.09,0.9569,1416684,0.0
2000-03-24,ATVI,13.25,14.12,12.62,13.63,0.9964,927384,0.0
2000-03-31,ATVI,13.37,13.63,11.62,12.06,0.8816,1218567,0.0
2000-04-07,ATVI,12.16,12.16,7.63,8.06,0.5892,10263266,0.0
2000-04-14,ATVI,8.87,8.87,6.31,6.5,0.4752,3855150,0.0
2000-04-20,ATVI,6.5,6.69,5.87,6.69,0.4891,2876001,0.0
2000-04-28,ATVI,6.62,7.31,6.13,6.25,0.4569,4622534,0.0
2000-05-05,ATVI,6.5,7.5,6.25,7.37,0.5388,2079384,0.0
2000-05-12,ATVI,7.56,8.12,5.5,6.88,0.5029,3995284,0.0
2000-05-19,ATVI,7.0,7.34,6.5,6.75,0.4934,2151867,0.0
2000-05-26,ATVI,6.75,6.78,5.94,6.13,0.4481,1031251,0.0
2000-06-02,ATVI,6.13,7.06,6.13,7.06,0.5161,1711467,0.0
2000-06-09,ATVI,6.75,7.0,5.94,6.56,0.4796,1120301,0.0
2000-06-16,ATVI,6.59,6.69,5.94,6.13,0.4481,1107833,0.0
2000-06-23,ATVI,6.06,6.25,5.38,5.87,0.4291,1029934,0.0
2000-06-30,ATVI,5.94,6.75,5.5,6.5,0.4752,1411216,0.0
2000-07-07,ATVI,6.5,7.22,6.31,7.22,0.5278,671934,0.0
2000-07-14,ATVI,7.06,8.62,6.94,8.44,0.617,1758418,0.0
2000-07-21,ATVI,8.69,9.19,8.0,8.44,0.617,1552734,0.0
2000-07-28,ATVI,8.62,8.87,7.81,8.5,0.6214,368400,0.0
2000-08-04,ATVI,8.5,11.12,8.25,10.5,0.7676,1686483,0.0
2000-08-11,ATVI,10.75,13.06,10.37,11.94,0.8728,1779101,0.0
2000-08-18,ATVI,12.0,13.25,11.5,12.94,0.9459,2574351,0.0
2000-08-25,ATVI,12.94,14.0,12.19,14.0,1.0234,1695250,0.0
2000-09-01,ATVI,13.69,14.06,13.63,13.88,1.0147,1559266,0.0
2000-09-08,ATVI,13.88,14.75,13.69,14.5,1.06,2887634,0.0
2000-09-15,ATVI,14.69,15.62,13.69,14.61,1.068,2985817,0.0
2000-09-22,ATVI,14.38,14.87,13.37,14.62,1.0688,1021018,0.0
2000-09-29,ATVI,14.44,15.0,11.87,15.0,1.0965,3550500,0.0
2000-10-06,ATVI,14.62,15.19,13.69,14.87,1.087,1830967,0.0
2000-10-13,ATVI,14.75,15.13,13.44,14.87,1.087,1075401,0.0
2000-10-20,ATVI,14.62,14.94,12.75,14.44,1.0556,667934,0.0
2000-10-27,ATVI,14.42,15.25,12.56,13.56,0.9913,2736834,0.0
2000-11-03,ATVI,13.73,14.56,12.81,13.0,0.9503,2190400,0.0
2000-11-10,ATVI,13.56,14.0,12.38,12.67,0.9262,403033,0.0
2000-11-17,ATVI,12.31,13.0,11.19,12.44,0.9094,725366,0.0
2000-11-24,ATVI,12.19,12.25,11.06,11.38,0.8319,433266,0.0
2000-12-01,ATVI,11.69,12.94,10.31,12.06,0.8816,1036600,0.0
2000-12-08,ATVI,11.94,12.0,11.12,11.81,0.8633,647816,0.0
2000-12-15,ATVI,11.87,13.44,11.87,12.5,0.9138,942533,0.0
2000-12-22,ATVI,12.44,14.75,12.44,14.69,1.0739,1251833,0.0
2000-12-29,ATVI,14.38,15.25,14.38,15.13,1.106,1071917,0.0
2001-01-05,ATVI,15.13,16.5,13.63,16.31,1.1923,2330366,0.0
2001-01-12,ATVI,15.56,18.19,15.5,17.94,1.3115,3510567,0.0
2001-01-19,ATVI,17.69,18.56,16.88,18.31,1.3385,2391334,0.0
2001-01-26,ATVI,18.38,18.88,17.56,18.55,1.3561,1957717,0.0
2001-02-02,ATVI,18.59,20.87,17.75,20.0,1.4621,4363900,0.0
2001-02-09,ATVI,19.75,22.0,19.63,20.87,1.5256,2297250,0.0
2001-02-16,ATVI,20.06,23.25,20.06,22.25,1.6265,2040835,0.0
2001-02-23,ATVI,22.12,23.25,20.81,22.5,1.6448,1488401,0.0
2001-03-02,ATVI,22.69,24.5,20.62,23.25,1.6996,2748367,0.0
2001-03-09,ATVI,23.31,25.25,22.75,24.62,1.7998,2610350,0.0
2001-03-16,ATVI,24.5,24.69,22.75,23.25,1.6996,2096717,0.0
2001-03-23,ATVI,22.75,24.88,20.5,23.75,1.7362,2274534,0.0
2001-03-30,ATVI,23.87,25.12,23.69,24.31,1.7771,4050800,0.0
2001-04-06,ATVI,24.47,24.5,20.87,22.56,1.6492,3415500,0.0
2001-04-12,ATVI,22.25,23.32,21.92,22.9,1.674,1605434,0.0
2001-04-20,ATVI,22.57,27.2,22.47,25.97,1.8985,3201800,0.0
2001-04-27,ATVI,26.04,27.1,25.21,26.97,1.9716,2198201,0.0
2001-05-04,ATVI,27.2,29.69,26.2,26.87,1.9643,4038333,0.0
2001-05-11,ATVI,26.93,31.28,26.71,28.7,2.098,5352285,0.0
2001-05-18,ATVI,29.08,29.15,26.5,28.39,2.0754,3336218,0.0
2001-05-25,ATVI,28.7,34.65,27.7,34.28,2.506,8154901,0.0
2001-06-01,ATVI,34.0,35.9,31.15,35.55,2.5988,3926367,0.0
2001-06-08,ATVI,35.88,40.03,34.02,38.75,2.8327,7699684,0.0
2001-06-15,ATVI,38.8,41.15,35.64,37.65,2.7523,6750684,0.0
2001-06-22,ATVI,38.0,38.1,33.0,33.95,2.4818,5761984,0.0
2001-06-29,ATVI,33.96,39.72,33.16,39.25,2.8693,4228483,0.0
2001-07-06,ATVI,39.01,40.5,36.15,36.4,2.6609,2601900,0.0
2001-07-13,ATVI,36.51,39.12,34.5,38.6,2.8218,5397617,0.0
2001-07-20,ATVI,39.36,40.35,37.03,37.63,2.7508,5326751,0.0
2001-07-27,ATVI,38.12,38.4,32.72,37.87,2.7684,8101451,0.0
2001-08-03,ATVI,38.2,38.2,30.0,31.49,2.302,7216266,0.0
2001-08-10,ATVI,31.4,33.75,30.8,33.28,2.4329,4233084,0.0
2001-08-17,ATVI,33.2,35.89,32.25,32.55,2.3795,3978833,0.0
2001-08-24,ATVI,32.16,34.6,31.03,33.95,2.4818,2612567,0.0
2001-08-31,ATVI,33.94,38.5,33.8,37.05,2.7084,6408550,0.0
2001-09-07,ATVI,36.99,37.49,33.56,34.15,2.4965,3322684,0.0
2001-09-10,ATVI,33.99,34.0,32.0,32.63,2.3853,1092800,0.0
2001-09-21,ATVI,30.2,32.01,22.76,27.2,1.9884,10266751,0.0
2001-09-28,ATVI,29.22,29.52,22.61,27.22,1.9899,8645885,0.0
2001-10-05,ATVI,27.25,32.7,24.52,30.02,2.1945,5938350,0.0
2001-10-12,ATVI,29.75,35.75,29.4,32.79,2.397,5113317,0.0
2001-10-19,ATVI,32.2,37.25,31.52,35.12,2.5674,8038434,0.0
2001-10-26,ATVI,35.2,39.72,35.1,37.9,2.7706,7478585,0.0
2001-11-02,ATVI,37.85,39.4,35.67,38.95,2.8473,4310933,0.0
2001-11-09,ATVI,39.05,40.37,35.96,37.77,2.7611,7107501,0.0
2001-11-16,ATVI,38.43,40.3,33.83,34.51,2.5228,7839884,0.0
2001-11-23,ATVI,34.5,38.0,21.38,21.6,2.3685,7232142,0.0
2001-11-30,ATVI,21.95,25.02,21.07,24.85,2.7249,15760625,0.0
2001-12-07,ATVI,24.87,26.7,23.5,25.5,2.7962,17355000,0.0
2001-12-14,ATVI,25.7,28.72,24.1,25.41,2.7863,14272800,0.0
2001-12-21,ATVI,25.37,27.46,24.55,25.16,2.7589,8145425,0.0
2001-12-28,ATVI,25.16,28.0,24.75,26.5,2.9058,6630975,0.0
2002-01-04,ATVI,26.77,27.7,24.79,26.83,2.942,4218050,0.0
2002-01-11,ATVI,27.05,27.39,23.53,24.01,2.6328,6649400,0.0
2002-01-18,ATVI,23.97,25.71,22.77,24.39,2.6745,20304975,0.0
2002-01-25,ATVI,24.3,28.54,23.7,26.6,2.9168,12374125,0.0
2002-02-01,ATVI,26.74,27.0,24.99,25.82,2.8313,9165200,0.0
2002-02-08,ATVI,25.8,26.14,23.85,25.57,2.8038,5170675,0.0
2002-02-15,ATVI,25.35,27.43,25.0,26.7,2.9278,7031775,0.0
2002-02-22,ATVI,26.34,26.71,25.43,26.71,2.9289,3296450,0.0
2002-03-01,ATVI,26.64,29.83,26.4,29.82,3.2699,9934450,0.0
2002-03-08,ATVI,29.63,32.75,29.16,32.3,3.5418,7048250,0.0
