date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,AVP,28.81,29.75,27.5,28.19,9.5524,7172600,0.18
1999-11-19,AVP,28.19,30.38,27.75,29.69,10.0607,8829600,0.0
1999-11-26,AVP,29.69,35.19,28.69,33.56,11.3721,8021800,0.0
1999-12-03,AVP,34.75,37.38,34.25,36.25,12.2836,7499100,0.0
1999-12-10,AVP,36.0,36.44,31.44,32.25,10.9282,6283500,0.0
1999-12-17,AVP,31.63,32.88,30.5,31.75,10.7587,7859200,0.0
1999-12-23,AVP,31.5,33.06,31.38,32.63,11.0569,3744900,0.0
1999-12-31,AVP,32.69,34.19,32.13,33.0,11.1823,2850900,0.0
2000-01-07,AVP,32.5,32.75,30.0,32.0,10.8434,6237300,0.0
2000-01-14,AVP,32.63,32.94,29.44,29.88,10.1251,4817900,0.0
2000-01-21,AVP,29.63,30.75,28.19,29.0,9.8269,4774500,0.0
2000-01-28,AVP,28.94,33.69,25.94,32.06,10.8638,12689300,0.0
2000-02-04,AVP,32.5,32.56,31.19,31.75,10.7587,4239700,0.0
2000-02-11,AVP,31.5,31.5,27.38,28.25,9.5727,3751500,0.0
2000-02-18,AVP,28.25,29.0,27.38,27.69,9.4445,3181000,0.185
2000-02-25,AVP,27.5,29.38,25.25,25.38,8.6566,3769800,0.0
2000-03-03,AVP,25.94,30.5,25.38,29.63,10.1062,6991900,0.0
2000-03-10,AVP,30.0,30.44,25.5,26.25,8.9534,7600000,0.0
2000-03-17,AVP,26.38,34.5,26.13,30.44,10.3825,6799500,0.0
2000-03-24,AVP,30.69,30.81,28.25,29.44,10.0414,5748900,0.0
2000-03-31,AVP,29.25,31.0,27.75,29.25,9.9766,6237500,0.0
2000-04-07,AVP,29.25,33.81,28.38,30.13,10.2768,8977200,0.0
2000-04-14,AVP,29.81,37.25,28.69,33.0,11.2557,13541200,0.0
2000-04-20,AVP,33.0,35.75,32.38,35.56,12.1288,5704700,0.0
2000-04-28,AVP,35.75,42.0,35.69,41.5,14.1549,13485200,0.0
2000-05-05,AVP,42.25,42.25,37.5,38.88,13.2612,7911500,0.0
