date,ticker,open,high,low,close,adj_close,volume,dividend
2007-01-05,AYE,45.99,46.34,44.45,44.74,41.5765,3292300,0.0
2007-01-12,AYE,44.71,46.12,44.28,45.78,42.5429,4818600,0.0
2007-01-19,AYE,45.92,46.58,45.46,46.48,43.1934,2979200,0.0
2007-01-26,AYE,46.58,47.94,46.2,46.53,43.2399,3809500,0.0
2007-02-02,AYE,46.5,46.89,45.92,46.19,42.9239,5100300,0.0
2007-02-09,AYE,46.05,47.69,45.96,47.01,43.686,4280600,0.0
2007-02-16,AYE,46.89,47.74,46.625,47.47,44.1134,3284528,0.0
2007-02-23,AYE,47.2574,47.93,46.98,47.9,44.513,2430600,0.0
2007-03-02,AYE,48.56,50.25,45.31,46.83,43.5187,5759594,0.0
2007-03-09,AYE,46.54,47.4,45.74,47.12,43.7882,3834900,0.0
2007-03-16,AYE,46.95,48.0,45.9,47.62,44.2528,5874751,0.0
2007-03-23,AYE,47.75,49.4,47.55,49.19,45.7118,4863200,0.0
2007-03-30,AYE,48.8,49.74,48.41,49.14,45.6653,4758763,0.0
2007-04-05,AYE,49.3599,50.83,49.12,50.36,46.7991,3821979,0.0
2007-04-13,AYE,50.49,50.8,49.21,49.59,46.0835,5076691,0.0
2007-04-20,AYE,49.55,51.56,49.55,51.36,47.7284,5278513,0.0
2007-04-27,AYE,52.2,54.5,51.64,53.0,49.2524,8528420,0.0
2007-05-04,AYE,54.0,55.48,53.25,55.43,51.5106,6608851,0.0
2007-05-11,AYE,55.35,56.04,54.19,55.25,51.3433,5512103,0.0
2007-05-18,AYE,55.25,56.13,54.67,55.2,51.2969,3878750,0.0
2007-05-25,AYE,55.33,55.58,51.13,51.81,48.1466,5660970,0.0
2007-06-01,AYE,53.39,53.84,52.01,53.29,49.5219,5335248,0.0
2007-06-08,AYE,53.04,53.11,48.67,50.05,46.511,7724155,0.0
2007-06-15,AYE,50.05,52.85,49.79,52.67,48.9457,8542159,0.0
2007-06-22,AYE,52.67,52.75,49.9,50.35,46.7898,5387625,0.0
2007-06-29,AYE,50.19,53.17,49.88,51.74,48.0815,7958549,0.0
2007-07-06,AYE,51.83,53.83,51.7,53.06,49.3082,4272547,0.0
2007-07-13,AYE,53.2,56.58,52.7,55.87,51.9195,6065814,0.0
2007-07-20,AYE,55.65,57.3,54.51,55.61,51.6779,7341660,0.0
2007-07-27,AYE,56.01,56.65,50.7,52.17,48.4811,10161817,0.0
2007-08-03,AYE,51.29,54.98,51.29,52.5,48.7878,9721094,0.0
2007-08-10,AYE,52.8,57.23,52.42,52.67,48.9457,9663700,0.0
2007-08-17,AYE,52.85,53.4,48.176,51.5,47.8585,9795321,0.0
2007-08-24,AYE,51.49,54.4,50.36,54.07,50.2468,6445700,0.0
2007-08-31,AYE,53.88,54.15,51.05,51.61,47.9607,5641300,0.0
2007-09-07,AYE,51.2,53.39,51.07,51.54,47.8956,4367200,0.0
2007-09-14,AYE,51.75,52.91,51.36,51.98,48.3045,5941200,0.0
2007-09-21,AYE,51.94,53.8,51.35,53.6,49.81,5547100,0.0
2007-09-28,AYE,53.5,53.62,51.84,52.26,48.5647,7038900,0.0
2007-10-05,AYE,52.39,55.87,52.37,55.43,51.5106,5768400,0.0
2007-10-12,AYE,55.49,57.44,54.84,56.77,52.7558,5224300,0.0
2007-10-19,AYE,56.51,57.26,54.97,54.98,51.0924,6076300,0.0
2007-10-26,AYE,54.49,58.92,54.35,58.91,54.7445,5191338,0.0
2007-11-02,AYE,59.2,60.75,58.92,59.67,55.4508,6708900,0.0
