date,ticker,open,high,low,close,adj_close,volume,dividend
2001-12-14,AYI,13.1,13.1,11.2,11.98,9.2465,1565500,0.0
2001-12-21,AYI,11.65,12.1,10.7,11.9,9.1847,2402600,0.0
2001-12-28,AYI,12.35,13.2,11.9,12.0,9.2619,1067200,0.0
2002-01-04,AYI,12.0,14.89,12.0,14.81,11.4307,1031400,0.0
2002-01-11,AYI,14.71,14.71,13.2,13.5,10.4196,381400,0.0
2002-01-18,AYI,13.28,14.65,12.7,13.45,10.4926,1272800,0.15
2002-01-25,AYI,13.45,14.04,12.9,13.61,10.6174,519800,0.0
2002-02-01,AYI,13.92,13.92,12.5,13.03,10.1649,640400,0.0
2002-02-08,AYI,12.8,13.99,12.53,13.4,10.4536,579000,0.0
2002-02-15,AYI,13.3,13.57,13.0,13.44,10.4848,572700,0.0
2002-02-22,AYI,13.54,14.65,13.3,14.52,11.3273,510400,0.0
2002-03-01,AYI,14.42,15.5,13.5,15.3,11.9358,519600,0.0
2002-03-08,AYI,15.2,15.85,14.35,14.5,11.3117,777800,0.0
2002-03-15,AYI,14.1,15.52,14.0,15.1,11.7798,455800,0.0
2002-03-22,AYI,15.25,16.0,14.75,15.51,12.0996,330100,0.0
2002-03-28,AYI,15.3,17.7,15.2,16.53,12.8953,641200,0.0
2002-04-05,AYI,17.1,17.3,16.15,17.18,13.4024,539000,0.0
2002-04-12,AYI,17.0,17.91,17.0,17.9,14.084,470200,0.15
2002-04-19,AYI,17.75,19.05,17.65,18.04,14.1942,536300,0.0
2002-04-26,AYI,18.06,19.4,18.0,19.13,15.0518,427600,0.0
2002-05-03,AYI,19.13,19.13,17.8,18.28,14.383,873300,0.0
2002-05-10,AYI,18.25,18.35,15.5,15.83,12.4553,556400,0.0
2002-05-17,AYI,15.7,17.6,15.55,16.9,13.2972,467600,0.0
2002-05-24,AYI,16.8,17.71,16.35,17.0,13.3759,311200,0.0
2002-05-31,AYI,16.95,17.3,15.3,16.9,13.2972,228900,0.0
2002-06-07,AYI,16.8,16.88,15.01,16.6,13.0611,311900,0.0
2002-06-14,AYI,16.35,16.35,14.5,14.95,11.7629,416100,0.0
2002-06-21,AYI,15.05,16.75,14.42,16.75,13.1792,559100,0.0
2002-06-28,AYI,16.6,18.48,15.48,18.2,14.32,634200,0.0
2002-07-05,AYI,18.0,18.6,16.55,18.3,14.3987,487000,0.0
2002-07-12,AYI,18.2,18.48,14.6,14.64,11.519,317300,0.0
2002-07-19,AYI,14.39,15.29,13.8,13.8,10.9669,275700,0.15
2002-07-26,AYI,13.7,14.55,11.35,13.17,10.4662,417700,0.0
2002-08-02,AYI,13.27,15.55,12.92,13.95,11.0861,225900,0.0
2002-08-09,AYI,13.9,14.62,12.95,14.55,11.5629,217400,0.0
2002-08-16,AYI,14.45,15.6,13.5,15.16,12.0476,262900,0.0
2002-08-23,AYI,15.06,15.55,14.35,14.95,11.8808,185200,0.0
2002-08-30,AYI,14.85,15.55,13.44,14.0,11.1258,266400,0.0
2002-09-06,AYI,14.0,14.95,13.3,13.93,11.0702,222300,0.0
2002-09-13,AYI,14.0,15.6,13.8,15.3,12.1589,207900,0.0
2002-09-20,AYI,15.2,15.5,15.0,15.35,12.1986,430800,0.0
2002-09-27,AYI,15.3,15.3,11.95,12.15,9.6556,349600,0.0
2002-10-04,AYI,12.05,14.9,11.7,13.11,10.4185,508200,0.0
2002-10-11,AYI,13.16,13.3,11.75,12.51,10.0574,357900,0.15
2002-10-18,AYI,12.49,12.65,11.8,12.25,9.8484,481500,0.0
2002-10-25,AYI,12.3,13.5,11.71,12.74,10.2423,356000,0.0
2002-11-01,AYI,12.84,12.86,11.0,12.35,9.9288,523400,0.0
2002-11-08,AYI,12.37,12.89,12.21,12.52,10.0654,405100,0.0
2002-11-15,AYI,12.52,13.04,11.9,12.61,10.1378,195600,0.0
2002-11-22,AYI,12.65,13.45,12.05,13.25,10.6523,391600,0.0
2002-11-29,AYI,13.24,14.1,13.24,13.58,10.9176,258000,0.0
2002-12-06,AYI,13.68,14.0,12.5,13.5,10.8533,354600,0.0
2002-12-13,AYI,13.45,15.26,13.43,14.8,11.8984,623000,0.0
2002-12-20,AYI,14.81,15.15,13.75,14.66,11.7859,579400,0.0
2002-12-27,AYI,14.56,14.68,13.05,13.1,10.5317,348300,0.0
2003-01-03,AYI,13.1,14.29,12.9,13.95,11.2151,656100,0.0
2003-01-10,AYI,14.0,15.1,13.89,14.4,11.5768,463500,0.0
2003-01-17,AYI,14.4,14.55,13.48,13.75,11.1727,781800,0.15
2003-01-24,AYI,13.8,14.0,13.35,13.5,10.9696,268000,0.0
2003-01-31,AYI,13.42,13.7,13.04,13.25,10.7664,464400,0.0
2003-02-07,AYI,13.45,13.61,12.36,12.36,10.0433,585900,0.0
2003-02-14,AYI,12.37,13.15,12.35,13.04,10.5958,378600,0.0
2003-02-21,AYI,13.1,13.7,12.6,12.9,10.482,297000,0.0
2003-02-28,AYI,12.8,13.55,12.24,13.3,10.8071,482000,0.0
2003-03-07,AYI,13.6,13.7,12.82,13.2,10.7258,387200,0.0
2003-03-14,AYI,13.19,13.48,12.71,13.23,10.7502,398100,0.0
2003-03-21,AYI,13.2,14.0,12.95,14.0,11.3759,447300,0.0
2003-03-28,AYI,13.75,14.2,13.15,13.59,11.0427,488500,0.0
2003-04-04,AYI,13.49,14.9,13.31,14.04,11.4084,415900,0.0
2003-04-11,AYI,14.04,14.85,14.02,14.48,11.7659,273300,0.0
2003-04-17,AYI,14.41,15.0,13.93,14.45,11.8621,269100,0.15
2003-04-25,AYI,14.55,14.9,14.01,14.57,11.9607,368800,0.0
2003-05-02,AYI,14.53,15.29,14.53,15.1,12.3957,276000,0.0
2003-05-09,AYI,14.9,15.64,14.9,15.6,12.8062,424100,0.0
2003-05-16,AYI,15.7,16.19,15.3,15.5,12.7241,446000,0.0
2003-05-23,AYI,15.45,15.81,14.77,15.54,12.7569,277600,0.0
2003-05-30,AYI,15.54,16.57,15.45,16.57,13.6025,356300,0.0
2003-06-06,AYI,16.47,17.8,16.47,17.29,14.1935,441700,0.0
2003-06-13,AYI,17.25,17.62,16.56,16.65,13.6681,480300,0.0
2003-06-20,AYI,16.65,16.95,16.1,16.38,13.4465,288000,0.0
2003-06-27,AYI,16.23,18.4,14.9,18.07,14.8338,872400,0.0
2003-07-03,AYI,17.9,18.22,17.34,17.98,14.76,562000,0.0
2003-07-11,AYI,18.0,18.8,17.95,18.8,15.4331,455100,0.0
2003-07-18,AYI,18.6,18.74,17.2,17.72,14.6695,435700,0.15
2003-07-25,AYI,17.6,18.2,17.1,17.58,14.5536,440700,0.0
2003-08-01,AYI,17.58,18.28,17.25,17.4,14.4046,535600,0.0
2003-08-08,AYI,17.3,17.63,16.67,17.54,14.5205,391200,0.0
2003-08-15,AYI,17.5,18.4,17.13,18.03,14.9261,339400,0.0
2003-08-22,AYI,18.03,19.05,17.95,18.6,15.398,538700,0.0
2003-08-29,AYI,18.0,18.65,17.86,17.91,14.8268,644000,0.0
2003-09-05,AYI,17.92,18.86,17.75,18.5,15.3152,650700,0.0
2003-09-12,AYI,18.25,18.93,18.13,18.81,15.5719,446500,0.0
2003-09-19,AYI,18.75,19.24,18.11,18.9,15.6464,730500,0.0
2003-09-26,AYI,18.95,19.21,17.73,17.73,14.6778,669600,0.0
2003-10-03,AYI,17.78,20.22,17.78,20.11,16.6481,931900,0.0
2003-10-10,AYI,20.0,21.65,19.92,21.25,17.5918,753400,0.0
2003-10-17,AYI,20.75,21.6,20.75,21.0,17.5081,557700,0.15
2003-10-24,AYI,21.0,21.39,20.86,20.98,17.4914,793400,0.0
2003-10-31,AYI,20.97,21.67,20.93,21.5,17.925,544900,0.0
2003-11-07,AYI,21.5,22.9,21.5,22.43,18.7003,701000,0.0
2003-11-14,AYI,22.3,22.6,21.4,21.4,17.8416,463100,0.0
2003-11-21,AYI,21.5,23.25,21.4,22.88,19.0755,762500,0.0
2003-11-28,AYI,23.0,24.34,23.0,23.85,19.8842,452400,0.0
2003-12-05,AYI,24.0,24.65,22.75,23.34,19.459,470600,0.0
2003-12-12,AYI,23.2,24.28,22.5,24.25,20.2177,502400,0.0
2003-12-19,AYI,24.0,24.32,22.81,23.6,19.6758,824400,0.0
2003-12-26,AYI,23.75,25.39,23.75,24.85,20.7179,609000,0.0
2004-01-02,AYI,24.85,26.44,24.17,25.29,21.0848,800500,0.0
2004-01-09,AYI,25.54,26.08,25.02,25.09,20.918,816600,0.0
2004-01-16,AYI,25.09,25.4,24.6,25.18,21.118,1000900,0.15
2004-01-23,AYI,25.35,25.98,24.91,25.63,21.4954,724600,0.0
2004-01-30,AYI,25.43,25.78,23.81,24.3,20.3799,977300,0.0
2004-02-06,AYI,24.2,25.37,22.86,25.37,21.2773,807500,0.0
2004-02-13,AYI,25.17,26.35,24.75,25.1,21.0509,861700,0.0
2004-02-20,AYI,24.9,25.85,24.81,25.2,21.1347,439000,0.0
2004-02-27,AYI,25.31,25.75,24.16,24.43,20.4889,874700,0.0
2004-03-05,AYI,24.63,25.83,24.45,25.25,21.1767,668700,0.0
2004-03-12,AYI,25.25,25.45,23.0,24.5,20.5477,640500,0.0
2004-03-19,AYI,24.25,24.32,22.38,22.8,19.1219,602600,0.0
2004-03-26,AYI,22.82,23.36,21.63,22.64,18.9877,655200,0.0
2004-04-02,AYI,22.73,24.93,22.73,24.93,20.9083,558300,0.0
2004-04-08,AYI,24.68,25.13,23.79,24.33,20.4051,598900,0.0
2004-04-16,AYI,24.55,25.1,23.42,24.26,20.4747,661300,0.15
2004-04-23,AYI,24.5,25.8,23.68,25.53,21.5465,966300,0.0
2004-04-30,AYI,25.25,26.89,24.02,24.47,20.6519,1475600,0.0
2004-05-07,AYI,25.15,25.84,23.76,23.85,20.1286,840800,0.0
2004-05-14,AYI,23.77,24.6,23.47,24.02,20.2721,905900,0.0
2004-05-21,AYI,23.85,24.73,23.4,24.5,20.6772,605300,0.0
2004-05-28,AYI,24.58,24.99,24.18,24.66,20.8122,696400,0.0
2004-06-04,AYI,24.75,25.98,24.6,25.23,21.2933,448900,0.0
2004-06-10,AYI,25.48,26.27,25.2,25.74,21.7237,654200,0.0
2004-06-18,AYI,25.74,26.5,24.95,26.0,21.9432,1402600,0.0
2004-06-25,AYI,26.0,27.84,25.98,26.25,22.1542,1542200,0.0
2004-07-02,AYI,26.15,27.44,25.94,25.97,21.9178,890200,0.0
