date,ticker,open,high,low,close,adj_close,volume,dividend
2000-07-07,BBT,12.75,12.88,12.44,12.81,6.4652,444300,0.0
2000-07-14,BBT,12.75,12.94,12.62,12.88,6.5005,348000,0.0
2000-07-21,BBT,12.88,12.88,12.56,12.75,6.4349,167500,0.0
2000-07-28,BBT,12.75,12.81,12.5,12.62,6.3693,204100,0.0
2000-08-04,BBT,12.62,13.0,12.56,13.0,6.5611,417600,0.0
2000-08-11,BBT,13.0,14.0,13.0,13.75,6.9396,329600,0.0
2000-08-18,BBT,13.88,14.44,13.88,14.25,7.192,177000,0.0
2000-08-25,BBT,14.38,15.0,14.31,14.88,7.5099,102500,0.0
2000-09-01,BBT,14.88,14.88,14.5,14.5,7.3181,47800,0.0
2000-09-08,BBT,14.38,15.0,14.38,14.62,7.3787,65500,0.0
2000-09-15,BBT,14.56,14.88,14.56,14.75,7.4443,41900,0.0
2000-09-22,BBT,14.75,14.75,13.75,14.12,7.1263,136800,0.0
2000-09-29,BBT,14.06,14.5,14.06,14.38,7.2576,108200,0.0
2000-10-06,BBT,14.5,14.5,14.0,14.0,7.0658,30700,0.0
2000-10-13,BBT,14.0,14.0,13.0,13.75,6.9396,109200,0.0
2000-10-20,BBT,13.75,13.75,13.38,13.62,6.874,17000,0.0
2000-10-27,BBT,13.56,14.62,13.56,14.56,7.3484,80200,0.0
2000-11-03,BBT,14.5,15.12,14.5,15.12,7.6823,99800,0.1
2000-11-10,BBT,15.06,15.25,14.5,14.5,7.3673,44800,0.0
2000-11-17,BBT,14.44,15.25,13.5,13.56,6.8897,260900,0.0
2000-11-24,BBT,13.62,13.75,13.12,13.25,6.7322,50200,0.0
2000-12-01,BBT,13.38,13.56,13.19,13.38,6.7983,70300,0.0
2000-12-08,BBT,13.44,14.12,13.38,14.06,7.1438,118100,0.0
2000-12-15,BBT,14.12,14.25,13.88,14.0,7.1133,333400,0.0
2000-12-22,BBT,14.0,15.0,13.94,14.94,7.5909,238100,0.0
2000-12-29,BBT,14.75,16.0,14.75,15.75,8.0024,138100,0.0
2001-01-05,BBT,15.62,16.0,14.88,15.75,8.0024,239900,0.0
2001-01-12,BBT,15.69,15.94,15.62,15.69,7.9719,162900,0.0
2001-01-19,BBT,15.81,16.12,15.69,16.0,8.1295,103100,0.0
2001-01-26,BBT,16.0,16.88,16.0,16.75,8.5105,277000,0.0
2001-02-02,BBT,16.75,17.78,16.65,17.78,9.087,758500,0.1
2001-02-09,BBT,17.78,18.0,17.5,18.0,9.1994,371700,0.0
2001-02-16,BBT,17.9,18.7,17.85,18.65,9.5316,125200,0.0
2001-02-23,BBT,18.85,18.99,18.0,18.55,9.4805,73900,0.0
2001-03-02,BBT,18.6,18.6,17.9,18.34,9.3732,32500,0.0
2001-03-09,BBT,18.4,18.4,18.2,18.25,9.3272,17900,0.0
2001-03-16,BBT,18.36,18.37,18.1,18.28,9.3425,63000,0.0
2001-03-23,BBT,18.2,18.85,18.0,18.3,9.3528,85800,0.0
2001-03-30,BBT,18.3,18.7,18.24,18.5,9.455,93600,0.0
2001-04-06,BBT,18.3,18.3,17.9,18.12,9.2608,40800,0.0
2001-04-12,BBT,18.05,18.2,18.0,18.2,9.3016,68600,0.0
2001-04-20,BBT,18.2,18.84,18.2,18.5,9.455,134000,0.0
2001-04-27,BBT,18.3,18.55,17.6,17.6,8.995,16400,0.0
2001-05-04,BBT,17.6,17.7,17.0,17.6,9.0515,91200,0.11
2001-05-11,BBT,17.61,18.0,17.6,18.0,9.2572,20200,0.0
2001-05-18,BBT,17.9,18.25,17.7,18.0,9.2572,39500,0.0
2001-05-25,BBT,17.95,18.45,17.95,18.4,9.4629,87800,0.0
2001-06-01,BBT,18.45,18.5,18.05,18.1,9.3087,18400,0.0
2001-06-08,BBT,18.2,18.3,18.0,18.18,9.3498,59100,0.0
2001-06-15,BBT,18.25,18.29,18.0,18.0,9.2572,14600,0.0
2001-06-22,BBT,17.95,18.25,17.85,17.85,9.1801,42000,0.0
2001-06-29,BBT,17.85,18.15,17.1,17.1,8.7944,153900,0.0
2001-07-06,BBT,17.3,18.0,17.3,17.8,9.1544,68700,0.0
2001-07-13,BBT,17.75,18.2,17.75,18.15,9.3344,78100,0.0
2001-07-20,BBT,18.2,19.05,18.1,18.91,9.7252,83600,0.0
2001-07-27,BBT,19.0,19.0,18.51,19.0,9.7715,86900,0.0
2001-08-03,BBT,18.8,19.6,18.8,19.39,10.0287,453700,0.11
2001-08-10,BBT,19.3,19.5,19.01,19.2,9.9304,52500,0.0
2001-08-17,BBT,19.15,20.0,19.15,19.55,10.1114,56500,0.0
2001-08-24,BBT,19.56,19.56,18.5,18.6,9.6201,48400,0.0
2001-08-31,BBT,18.5,18.9,18.31,18.6,9.6201,51000,0.0
2001-09-07,BBT,18.6,18.6,18.0,18.17,9.3977,23800,0.0
2001-09-10,BBT,18.1,18.1,17.0,17.35,8.9736,13200,0.0
2001-09-21,BBT,17.4,18.5,16.5,17.0,8.7925,109700,0.0
2001-09-28,BBT,16.8,18.24,16.8,18.24,9.4339,70600,0.0
2001-10-05,BBT,18.0,18.2,17.85,18.0,9.3097,95500,0.0
2001-10-12,BBT,17.91,18.1,17.8,18.1,9.3615,24900,0.0
2001-10-19,BBT,18.1,18.55,18.1,18.38,9.5063,42200,0.0
2001-10-26,BBT,18.31,18.85,18.25,18.65,9.6459,28700,0.0
2001-11-02,BBT,18.5,19.1,18.5,19.1,9.8787,126700,0.0
2001-11-09,BBT,18.99,19.0,18.7,18.8,9.7798,9100,0.11
2001-11-16,BBT,18.74,19.25,18.7,19.25,10.0139,44000,0.0
2001-11-23,BBT,19.15,19.48,19.15,19.25,10.0139,28100,0.0
2001-11-30,BBT,19.25,19.6,19.1,19.6,10.196,67100,0.0
2001-12-07,BBT,19.5,19.75,19.5,19.7,10.248,122600,0.0
2001-12-14,BBT,19.7,20.1,19.7,19.9,10.3521,47200,0.0
2001-12-21,BBT,19.99,20.25,19.9,19.97,10.3885,107900,0.0
2001-12-28,BBT,20.0,20.2,19.99,20.1,10.4561,25200,0.0
2002-01-04,BBT,20.25,20.3,19.65,19.65,10.222,36900,0.0
2002-01-11,BBT,19.56,20.2,19.56,20.15,10.4821,25200,0.0
2002-01-18,BBT,20.0,21.09,19.9,20.9,10.8723,106700,0.0
2002-01-25,BBT,20.85,21.59,20.55,21.59,11.2312,29600,0.0
2002-02-01,BBT,21.59,21.59,21.2,21.32,11.0907,58100,0.0
2002-02-08,BBT,21.29,21.85,21.25,21.85,11.43,105500,0.12
2002-02-15,BBT,21.9,22.15,21.75,22.05,11.5347,199200,0.0
2002-02-22,BBT,22.1,22.15,21.95,22.04,11.5294,146200,0.0
2002-03-01,BBT,22.04,22.2,21.97,22.0,11.5085,86900,0.0
2002-03-08,BBT,22.0,22.05,21.8,21.95,11.4824,90300,0.0
2002-03-15,BBT,22.0,22.2,21.97,22.17,11.5974,49600,0.0
2002-03-22,BBT,22.15,22.2,22.1,22.1,11.5608,76600,0.0
2002-03-28,BBT,22.15,22.25,21.9,22.15,11.587,65100,0.0
2002-04-05,BBT,22.15,22.95,22.1,22.9,11.9793,133800,0.0
2002-04-12,BBT,23.0,25.1,22.91,24.8,12.9732,74600,0.0
2002-04-19,BBT,25.0,25.0,24.3,24.6,12.8686,106800,0.0
2002-04-26,BBT,24.6,24.75,21.65,22.2,11.6131,230400,0.0
2002-05-03,BBT,22.25,23.1,21.9,23.1,12.0839,99600,0.0
2002-05-10,BBT,22.85,23.1,22.6,23.07,12.1316,79500,0.12
2002-05-17,BBT,22.9,23.3,22.9,23.24,12.221,71100,0.0
2002-05-24,BBT,23.1,23.35,23.0,23.21,12.2052,88600,0.0
2002-05-31,BBT,23.3,23.6,23.1,23.6,12.4103,16700,0.0
2002-06-07,BBT,23.8,23.8,23.21,23.3,12.2526,25200,0.0
2002-06-14,BBT,23.35,23.35,23.1,23.28,12.242,119100,0.0
2002-06-21,BBT,23.3,24.35,23.3,24.3,12.7784,85800,0.0
2002-06-28,BBT,24.3,26.35,24.3,26.2,13.7776,254600,0.0
2002-07-05,BBT,26.0,26.7,25.06,25.75,13.5409,95500,0.0
2002-07-12,BBT,25.55,25.9,23.85,23.91,12.5733,40000,0.0
2002-07-19,BBT,23.8,24.0,22.8,23.05,12.1211,68700,0.0
2002-07-26,BBT,23.2,23.2,19.5,22.12,11.632,71600,0.0
2002-08-02,BBT,22.37,24.45,22.37,23.97,12.6049,46800,0.0
2002-08-09,BBT,24.0,24.41,23.63,24.39,12.8899,61900,0.12
2002-08-16,BBT,24.2,25.2,24.15,25.2,13.3179,49700,0.0
2002-08-23,BBT,25.35,27.38,25.35,27.09,14.3168,72800,0.0
2002-08-30,BBT,27.3,27.38,25.65,25.65,13.5558,23300,0.0
2002-09-06,BBT,25.5,25.9,25.0,25.38,13.4131,11900,0.0
2002-09-13,BBT,25.38,25.51,24.71,24.99,13.2069,9900,0.0
2002-09-20,BBT,24.99,24.99,23.5,24.37,12.8793,43800,0.0
2002-09-27,BBT,24.5,24.5,23.0,23.25,12.2874,83100,0.0
2002-10-04,BBT,23.11,23.85,23.11,23.48,12.4089,27900,0.0
2002-10-11,BBT,23.49,23.49,22.9,23.25,12.2874,18500,0.0
2002-10-18,BBT,23.35,24.24,23.27,24.1,12.7366,24900,0.0
2002-10-25,BBT,24.25,24.4,23.85,24.4,12.8951,14500,0.0
2002-11-01,BBT,24.15,25.4,23.9,25.09,13.2598,46900,0.0
2002-11-08,BBT,25.2,25.3,24.15,24.2,12.8509,48000,0.12
2002-11-15,BBT,24.14,24.25,23.6,23.63,12.5482,28300,0.0
2002-11-22,BBT,23.52,23.52,22.97,23.49,12.4738,29900,0.0
2002-11-29,BBT,23.5,23.91,22.92,23.3,12.3729,25900,0.0
2002-12-06,BBT,23.25,25.25,22.9,25.25,13.4084,30700,0.0
2002-12-13,BBT,25.25,25.5,23.8,23.83,12.6544,39700,0.0
2002-12-20,BBT,23.88,24.65,23.88,24.36,12.9358,48500,0.0
2002-12-27,BBT,24.37,24.65,23.01,23.01,12.2189,13400,0.0
2003-01-03,BBT,23.01,23.71,23.01,23.35,12.3995,24100,0.0
2003-01-10,BBT,23.25,23.55,23.18,23.4,12.426,36300,0.0
2003-01-17,BBT,23.35,23.75,23.3,23.4,12.426,21800,0.0
2003-01-24,BBT,23.4,23.8,21.77,21.86,11.6083,86100,0.0
2003-01-31,BBT,21.86,22.75,21.8,22.75,12.0809,114600,0.0
2003-02-07,BBT,22.75,23.3,22.75,23.05,12.3038,78800,0.12
2003-02-14,BBT,23.02,23.3,23.0,23.2,12.3839,113800,0.0
2003-02-21,BBT,23.01,23.45,22.5,23.22,12.3946,60500,0.0
2003-02-28,BBT,23.2,23.5,22.95,23.2,12.3839,18500,0.0
2003-03-07,BBT,23.01,23.19,23.0,23.03,12.2932,15700,0.0
2003-03-14,BBT,23.0,23.7,23.0,23.4,12.4907,27200,0.0
2003-03-21,BBT,23.45,24.08,23.45,24.0,12.8109,26700,0.0
2003-03-28,BBT,23.72,24.0,23.15,23.6,12.5974,13300,0.0
2003-04-04,BBT,23.5,23.5,22.75,23.46,12.5227,58800,0.0
2003-04-11,BBT,23.6,24.08,23.56,23.8,12.7042,8800,0.0
2003-04-17,BBT,23.84,24.45,23.78,24.39,13.0191,6300,0.0
2003-04-25,BBT,24.29,26.44,24.22,26.12,13.9426,42100,0.0
2003-05-02,BBT,26.3,26.45,25.8,25.88,13.8145,25700,0.0
2003-05-09,BBT,25.88,27.61,25.88,27.61,14.8034,59900,0.12
2003-05-16,BBT,27.55,27.6,26.2,26.2,14.0474,67000,0.0
2003-05-23,BBT,26.25,26.3,24.66,25.28,13.5541,30500,0.0
2003-05-30,BBT,25.4,26.5,25.1,26.4,14.1546,48200,0.0
2003-06-06,BBT,26.6,28.8,26.12,27.4,14.6908,57900,0.0
2003-06-13,BBT,27.6,27.6,26.6,27.2,14.5835,25500,0.0
2003-06-20,BBT,27.3,28.58,27.01,27.21,14.5889,208500,0.0
2003-06-27,BBT,27.15,27.35,26.4,27.35,14.6639,210100,0.0
2003-07-03,BBT,27.4,28.49,27.25,28.1,15.0661,152200,0.0
2003-07-11,BBT,28.19,29.0,28.0,29.0,15.5486,58900,0.0
2003-07-18,BBT,28.99,28.99,28.0,28.75,15.4146,86700,0.0
2003-07-25,BBT,28.7,29.1,28.15,29.1,15.6022,32300,0.0
