date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,BBWI,37.25,38.0,35.0,37.69,4.8129,4129400,0.0
1999-11-19,BBWI,37.5,39.5,37.5,39.0,4.9802,3602800,0.0
1999-11-26,BBWI,38.62,39.62,37.97,39.5,5.044,2112800,0.0
1999-12-03,BBWI,39.44,42.69,39.44,41.31,5.294,5406400,0.15
1999-12-10,BBWI,41.5,41.75,39.19,41.75,5.3504,4198800,0.0
1999-12-17,BBWI,41.5,44.06,40.5,41.75,5.3504,4364100,0.0
1999-12-23,BBWI,42.12,43.0,41.12,43.0,5.5106,2158300,0.0
1999-12-31,BBWI,42.12,43.31,42.0,43.31,5.5503,1528300,0.0
2000-01-07,BBWI,43.44,43.69,37.88,38.81,4.9736,4436800,0.0
2000-01-14,BBWI,38.69,39.0,34.62,35.12,4.5007,4493000,0.0
2000-01-21,BBWI,34.94,35.62,32.78,33.31,4.2688,3363100,0.0
2000-01-28,BBWI,33.31,33.44,30.19,30.5,3.9087,5877100,0.0
2000-02-04,BBWI,30.75,36.0,30.31,35.5,4.5494,8034100,0.0
2000-02-11,BBWI,35.69,35.69,33.12,33.31,4.2688,4376600,0.0
2000-02-18,BBWI,33.38,34.12,30.19,30.62,3.9241,4320600,0.0
2000-02-25,BBWI,31.5,32.25,28.88,30.12,3.86,5035100,0.0
2000-03-03,BBWI,31.25,34.0,30.38,33.81,4.3522,6304400,0.15
2000-03-10,BBWI,33.5,34.06,31.56,34.0,4.3767,4407400,0.0
2000-03-17,BBWI,33.88,39.56,32.81,37.38,4.8117,4817500,0.0
2000-03-24,BBWI,37.0,39.5,36.88,38.69,4.9804,4529600,0.0
2000-03-31,BBWI,38.44,42.81,38.31,42.12,5.4219,4357000,0.0
2000-04-07,BBWI,42.19,51.5,39.31,48.75,6.2753,9974100,0.0
2000-04-14,BBWI,48.62,51.75,44.0,44.19,5.6884,5207000,0.0
2000-04-20,BBWI,44.19,44.94,41.88,43.94,5.6562,4204900,0.0
2000-04-28,BBWI,43.38,47.75,43.38,45.19,5.8171,5608400,0.0
2000-05-05,BBWI,45.44,50.0,44.12,47.38,6.099,6411900,0.0
2000-05-12,BBWI,47.12,50.0,46.75,49.62,6.3873,3329500,0.0
2000-05-19,BBWI,47.5,50.88,47.19,48.62,6.2586,4738800,0.0
2000-05-26,BBWI,48.62,51.69,46.25,47.38,6.099,6461900,0.0
2000-06-02,BBWI,47.5,48.56,23.25,23.81,6.1299,6313950,0.0
2000-06-09,BBWI,23.88,24.5,22.31,22.44,5.7961,10141400,0.075
2000-06-16,BBWI,22.62,22.62,21.69,22.19,5.7315,7251200,0.0
2000-06-23,BBWI,22.81,22.81,21.12,21.25,5.4887,4427900,0.0
2000-06-30,BBWI,21.75,22.38,20.94,21.62,5.5843,6744200,0.0
2000-07-07,BBWI,21.94,23.25,21.31,23.12,5.9718,3873000,0.0
2000-07-14,BBWI,23.5,23.94,23.06,23.25,6.0053,4639300,0.0
2000-07-21,BBWI,23.06,23.62,22.69,22.88,5.9098,2842500,0.0
2000-07-28,BBWI,23.19,23.19,21.38,21.56,5.5688,3659000,0.0
2000-08-04,BBWI,21.56,21.62,19.31,19.62,5.0677,7115600,0.0
