date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,BC,23.88,24.25,21.75,23.38,15.343,1224400,0.0
1999-11-19,BC,23.12,23.88,22.0,22.44,14.7261,1058200,0.0
1999-11-26,BC,22.5,22.5,21.62,22.19,14.6484,911000,0.13
1999-12-03,BC,22.06,22.12,21.19,21.5,14.1929,802600,0.0
1999-12-10,BC,21.62,21.69,20.0,20.0,13.2027,930000,0.0
1999-12-17,BC,20.38,21.94,20.0,20.69,13.6582,1658500,0.0
1999-12-23,BC,20.69,21.75,20.56,21.75,14.3579,880000,0.0
1999-12-31,BC,21.94,22.75,21.62,22.25,14.688,660500,0.0
2000-01-07,BC,22.0,22.12,20.69,21.38,14.1137,1279900,0.0
2000-01-14,BC,21.25,21.94,21.0,21.31,14.0674,1086100,0.0
2000-01-21,BC,20.69,21.56,20.31,20.38,13.4535,1333300,0.0
2000-01-28,BC,20.38,21.0,18.75,18.81,12.4171,1484600,0.0
2000-02-04,BC,18.88,19.25,17.69,18.38,12.1333,1501300,0.0
2000-02-11,BC,18.38,19.0,17.06,18.5,12.2125,2054700,0.0
2000-02-18,BC,18.38,19.0,18.25,18.5,12.2125,1089200,0.0
2000-02-25,BC,18.69,19.06,17.56,17.75,11.8011,899700,0.13
2000-03-03,BC,17.88,17.94,16.19,16.69,11.0964,1777100,0.0
2000-03-10,BC,16.75,16.75,14.75,15.56,10.3451,2372300,0.0
2000-03-17,BC,15.31,16.94,15.0,16.19,10.7639,2442800,0.0
2000-03-24,BC,16.25,19.5,15.69,19.5,12.9646,5891800,0.0
2000-03-31,BC,19.5,19.88,16.69,18.94,12.5923,6254800,0.0
2000-04-07,BC,18.94,19.19,17.62,18.25,12.1335,2565200,0.0
2000-04-14,BC,18.38,19.62,17.88,17.94,11.9274,3145300,0.0
2000-04-20,BC,18.0,19.5,18.0,18.94,12.5923,1315100,0.0
2000-04-28,BC,19.19,19.62,18.25,19.19,12.7585,1294600,0.0
2000-05-05,BC,19.06,19.69,18.62,19.44,12.9247,1425800,0.0
2000-05-12,BC,19.44,19.75,18.38,19.69,13.0909,1258500,0.0
