date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,BCR,56.44,57.06,53.75,56.25,23.9004,1267400,0.0
1999-11-19,BCR,55.63,57.31,55.0,56.5,24.0066,1399800,0.0
1999-11-26,BCR,56.0,57.63,55.0,57.0,24.219,836700,0.0
1999-12-03,BCR,56.13,56.13,51.31,52.44,22.2815,1832500,0.0
1999-12-10,BCR,52.19,52.63,47.5,48.0,20.395,1597800,0.0
1999-12-17,BCR,48.25,50.88,47.63,49.0,20.8199,1655400,0.0
1999-12-23,BCR,48.75,52.31,48.38,51.94,22.0691,771300,0.0
1999-12-31,BCR,52.0,53.19,50.06,53.0,22.5195,848700,0.0
2000-01-07,BCR,53.06,54.94,49.94,54.69,23.2375,1600000,0.0
2000-01-14,BCR,54.44,54.88,51.19,52.31,22.2263,830800,0.0
2000-01-21,BCR,52.38,52.38,47.0,47.56,20.2922,1218100,0.2
2000-01-28,BCR,47.5,47.63,43.56,45.63,19.4688,3018700,0.0
2000-02-04,BCR,45.0,47.38,43.63,45.44,19.3877,1420700,0.0
2000-02-11,BCR,45.63,45.63,40.06,40.38,17.2288,1559300,0.0
2000-02-18,BCR,40.63,41.94,39.81,39.94,17.041,1908200,0.0
2000-02-25,BCR,40.0,40.25,37.25,38.38,16.3754,1393100,0.0
2000-03-03,BCR,38.38,40.69,38.13,40.63,17.3354,1456700,0.0
2000-03-10,BCR,40.13,40.13,35.0,36.81,15.7056,1822200,0.0
2000-03-17,BCR,36.38,41.5,35.75,40.63,17.3354,2032400,0.0
2000-03-24,BCR,41.13,42.0,39.19,39.88,17.0154,1546600,0.0
2000-03-31,BCR,39.63,39.94,37.56,38.69,16.5077,1516400,0.0
2000-04-07,BCR,38.88,42.25,38.81,40.88,17.4421,1647200,0.0
2000-04-14,BCR,40.88,44.25,40.75,41.69,17.7877,1161900,0.0
2000-04-20,BCR,40.63,43.31,39.0,40.94,17.4677,1438900,0.0
2000-04-28,BCR,40.88,44.38,40.63,43.56,18.671,1788600,0.2
2000-05-05,BCR,42.75,44.0,41.13,43.0,18.431,1014400,0.0
2000-05-12,BCR,42.75,45.88,42.25,44.31,18.9925,1056600,0.0
2000-05-19,BCR,44.44,45.38,43.44,44.13,18.9153,869900,0.0
