date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,BF.B,68.62,69.19,66.5,66.75,3.8873,304561,0.0
1999-11-19,BF.B,66.69,67.5,63.94,64.5,3.7563,276827,0.0
1999-11-26,BF.B,64.25,64.81,61.38,62.75,3.6544,176267,0.0
1999-12-03,BF.B,62.5,64.06,61.0,63.56,3.7202,243094,0.31
1999-12-10,BF.B,63.31,63.31,61.31,61.88,3.6219,250134,0.0
1999-12-17,BF.B,61.81,62.69,59.0,59.06,3.4568,461014,0.0
1999-12-23,BF.B,59.06,59.06,57.81,58.0,3.3948,194721,0.0
1999-12-31,BF.B,58.0,58.31,54.94,57.25,3.3509,334161,0.0
2000-01-07,BF.B,57.0,58.12,56.0,58.0,3.3948,519121,0.0
2000-01-14,BF.B,57.75,58.19,54.87,57.38,3.3585,1015148,0.0
2000-01-21,BF.B,56.5,59.37,56.19,57.81,3.3836,836374,0.0
2000-01-28,BF.B,58.0,58.87,54.5,54.94,3.2157,415254,0.0
2000-02-04,BF.B,55.06,57.5,53.63,54.5,3.1899,331628,0.0
2000-02-11,BF.B,53.94,54.38,51.63,51.81,3.0325,357121,0.0
2000-02-18,BF.B,51.94,52.69,49.5,50.25,2.9411,379388,0.0
2000-02-25,BF.B,50.88,50.88,46.5,47.13,2.7585,438134,0.0
2000-03-03,BF.B,47.37,48.25,44.94,45.44,2.6771,470908,0.31
2000-03-10,BF.B,45.19,45.19,42.0,42.69,2.5332,374747,0.31
2000-03-17,BF.B,42.44,50.75,41.88,50.0,2.967,470001,0.0
2000-03-24,BF.B,49.75,50.94,48.0,49.94,2.9634,236107,0.0
2000-03-31,BF.B,50.0,55.31,50.0,54.44,3.2305,298908,0.0
2000-04-07,BF.B,54.69,60.25,54.69,58.5,3.4714,618588,0.0
2000-04-14,BF.B,58.25,61.12,56.88,57.06,3.3859,471415,0.0
2000-04-20,BF.B,56.81,57.0,54.63,56.56,3.3563,350801,0.0
