date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,BGG,57.12,58.19,53.5,53.62,14.7146,493900,0.0
1999-11-19,BGG,53.62,58.5,53.38,55.81,15.3155,601700,0.0
1999-11-26,BGG,55.81,57.0,53.75,54.31,14.9039,249900,0.0
1999-12-03,BGG,54.25,54.88,52.06,52.75,14.5568,558200,0.3
1999-12-10,BGG,53.0,53.0,50.62,51.38,14.1787,487400,0.0
1999-12-17,BGG,51.62,52.75,50.38,51.56,14.2284,542800,0.0
1999-12-23,BGG,51.31,51.44,49.75,51.25,14.1429,251800,0.0
1999-12-31,BGG,51.38,53.62,50.19,53.62,14.7969,253000,0.0
2000-01-07,BGG,53.62,53.88,49.25,50.12,13.831,598500,0.0
2000-01-14,BGG,50.0,53.0,49.56,51.75,14.2808,706300,0.0
2000-01-21,BGG,51.62,52.12,47.62,48.0,13.246,527300,0.0
2000-01-28,BGG,47.75,48.06,43.38,44.88,12.385,770700,0.0
2000-02-04,BGG,44.75,44.94,42.5,43.0,11.8662,562800,0.0
2000-02-11,BGG,43.06,43.12,38.0,38.19,10.5388,562400,0.0
2000-02-18,BGG,38.25,39.44,36.12,36.31,10.02,863700,0.0
2000-02-25,BGG,36.56,37.69,34.25,34.44,9.504,517100,0.0
2000-03-03,BGG,34.38,35.06,32.0,33.75,9.3961,788800,0.3
2000-03-10,BGG,33.62,33.88,31.0,31.31,8.7168,993700,0.0
2000-03-17,BGG,32.0,44.0,32.0,41.19,11.4674,1680100,0.0
2000-03-24,BGG,40.75,41.88,39.0,40.38,11.2419,879800,0.0
2000-03-31,BGG,40.31,42.5,38.38,41.12,11.4479,537200,0.0
2000-04-07,BGG,41.19,42.19,38.25,40.0,11.1361,651100,0.0
2000-04-14,BGG,39.75,42.44,38.0,39.25,10.9273,735200,0.0
2000-04-20,BGG,37.25,39.5,35.0,38.0,10.5793,774500,0.0
2000-04-28,BGG,37.75,40.31,35.75,38.38,10.6851,696300,0.0
2000-05-05,BGG,38.38,40.56,38.38,39.19,10.9106,971400,0.0
2000-05-12,BGG,39.44,40.62,38.56,40.19,11.189,599300,0.0
2000-05-19,BGG,40.25,42.0,39.44,39.56,11.0136,636800,0.0
2000-05-26,BGG,39.44,41.88,39.38,40.69,11.3282,948100,0.0
2000-06-02,BGG,40.5,44.62,40.0,43.25,12.1287,721100,0.3
2000-06-09,BGG,43.12,44.62,40.5,41.06,11.5146,1089000,0.0
2000-06-16,BGG,41.31,42.38,40.19,41.38,11.6043,701700,0.0
2000-06-23,BGG,41.44,41.44,38.62,39.44,11.0603,673300,0.0
2000-06-30,BGG,39.5,41.0,34.23,34.23,9.5992,1730000,0.0
2000-07-07,BGG,34.62,36.56,34.5,35.62,9.989,782000,0.0
2000-07-14,BGG,35.62,37.25,35.38,37.0,10.376,618600,0.0
2000-07-21,BGG,37.0,37.25,35.62,35.88,10.0619,480000,0.0
2000-07-28,BGG,35.94,35.94,33.5,33.75,9.4646,321800,0.0
2000-08-04,BGG,33.25,37.25,32.12,35.88,10.0619,1007000,0.0
2000-08-11,BGG,35.88,42.5,35.69,41.62,11.6716,959700,0.0
2000-08-18,BGG,42.0,43.5,41.31,42.88,12.025,432300,0.0
2000-08-25,BGG,43.12,43.38,40.94,42.0,11.8641,381900,0.31
