date,ticker,open,high,low,close,adj_close,volume,dividend
2017-07-28,BHF,69.0,69.29,67.26,67.26,67.26,19086,0.0
2017-08-04,BHF,67.7,67.7,63.5,64.57,64.57,527959,0.0
2017-08-11,BHF,62.75,62.85,54.94,57.97,57.97,24710791,0.0
2017-08-18,BHF,57.42,59.0,55.16,57.45,57.45,11566532,0.0
2017-08-25,BHF,57.0,57.94,54.9,55.54,55.54,5914597,0.0
2017-09-01,BHF,55.78,57.98,54.77,57.49,57.49,5580006,0.0
2017-09-08,BHF,57.19,57.19,52.751,54.54,54.54,6880762,0.0
2017-09-15,BHF,55.08,56.59,54.53,56.56,56.56,5764836,0.0
2017-09-22,BHF,56.75,58.55,56.406,58.35,58.35,4147606,0.0
2017-09-29,BHF,57.8,61.92,57.45,60.8,60.8,4880716,0.0
2017-10-06,BHF,60.75,61.3,59.33,61.02,61.02,3819450,0.0
2017-10-13,BHF,60.85,60.98,59.36,60.4,60.4,3545216,0.0
2017-10-20,BHF,60.3,62.55,59.81,62.12,62.12,2878192,0.0
2017-10-27,BHF,62.06,63.66,61.55,63.63,63.63,3312086,0.0
2017-11-03,BHF,63.2,63.47,57.15,57.82,57.82,6049537,0.0
2017-11-10,BHF,57.49,58.28,55.8,56.58,56.58,4228941,0.0
2017-11-17,BHF,56.04,56.52,54.605,55.67,55.67,5172476,0.0
2017-11-24,BHF,55.59,57.72,54.78,57.29,57.29,2622698,0.0
2017-12-01,BHF,57.25,60.14,56.7901,58.44,58.44,4168416,0.0
2017-12-08,BHF,58.89,60.22,57.84,60.2,60.2,3289914,0.0
2017-12-15,BHF,60.27,60.74,57.85,58.45,58.45,4825717,0.0
2017-12-22,BHF,58.44,61.01,58.02,59.54,59.54,4098077,0.0
2017-12-29,BHF,59.56,60.06,58.62,58.64,58.64,1304104,0.0
2018-01-05,BHF,58.12,60.79,57.51,60.63,60.63,2838479,0.0
2018-01-12,BHF,60.6,65.73,59.77,65.36,65.36,4696675,0.0
2018-01-19,BHF,65.59,65.59,62.97,64.19,64.19,2698302,0.0
2018-01-26,BHF,63.77,65.92,63.26,65.73,65.73,2507427,0.0
2018-02-02,BHF,65.75,67.55,62.09,62.15,62.15,5006386,0.0
2018-02-09,BHF,61.62,62.68,54.26,56.98,56.98,6378158,0.0
2018-02-16,BHF,57.27,58.8,53.0,56.82,56.82,6746050,0.0
2018-02-23,BHF,56.76,59.01,54.5,55.34,55.34,3262393,0.0
2018-03-02,BHF,55.66,56.9,50.94,51.95,51.95,4593348,0.0
2018-03-09,BHF,51.8,54.04,50.76,53.86,53.86,3738798,0.0
2018-03-16,BHF,54.04,54.9,52.18,54.73,54.73,3732569,0.0
2018-03-23,BHF,54.87,54.875,50.73,50.76,50.76,3400325,0.0
2018-03-29,BHF,51.58,52.895,49.62,51.4,51.4,2731216,0.0
2018-04-06,BHF,50.88,52.18,49.05,50.24,50.24,3604289,0.0
2018-04-13,BHF,50.5,51.64,49.63,50.2,50.2,3934267,0.0
2018-04-20,BHF,50.31,52.08,50.02,51.53,51.53,3045708,0.0
2018-04-27,BHF,51.59,52.44,50.17,51.84,51.84,2369646,0.0
2018-05-04,BHF,52.05,52.22,46.62,49.73,49.73,4177222,0.0
2018-05-11,BHF,49.73,52.77,48.03,48.11,48.11,7281357,0.0
2018-05-18,BHF,48.11,49.41,46.76,47.18,47.18,6042233,0.0
2018-05-25,BHF,47.29,48.49,47.07,48.28,48.28,3720379,0.0
2018-06-01,BHF,47.56,48.42,46.14,47.28,47.28,4546158,0.0
2018-06-08,BHF,47.39,47.83,46.15,46.7,46.7,3835770,0.0
2018-06-15,BHF,46.91,47.9,44.62,45.05,45.05,16945134,0.0
2018-06-22,BHF,44.75,46.32,44.26,44.49,44.49,17807318,0.0
2018-06-29,BHF,44.25,44.75,39.52,40.07,40.07,9617306,0.0
2018-07-06,BHF,40.05,41.86,39.24,41.71,41.71,5539086,0.0
2018-07-13,BHF,41.76,43.71,40.32,40.53,40.53,8486888,0.0
2018-07-20,BHF,40.66,41.8,40.18,41.05,41.05,4243013,0.0
2018-07-27,BHF,40.96,43.26,40.85,42.25,42.25,4451813,0.0
