date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,BIO,24.38,24.88,23.88,23.88,11.94,14400,0.0
1999-11-19,BIO,23.75,24.38,23.5,24.38,12.19,12100,0.0
1999-11-26,BIO,24.38,24.62,23.62,24.62,12.31,21900,0.0
1999-12-03,BIO,24.62,25.06,24.5,25.0,12.5,64500,0.0
1999-12-10,BIO,24.88,25.25,23.75,23.75,11.875,87900,0.0
1999-12-17,BIO,23.62,23.69,22.5,23.12,11.56,34000,0.0
1999-12-23,BIO,23.12,24.25,23.12,23.5,11.75,39800,0.0
1999-12-31,BIO,23.5,24.0,22.62,23.38,11.69,49900,0.0
2000-01-07,BIO,23.38,23.38,21.25,22.0,11.0,62100,0.0
2000-01-14,BIO,22.25,23.38,21.25,22.62,11.31,117200,0.0
2000-01-21,BIO,22.38,23.25,21.75,22.12,11.06,183100,0.0
2000-01-28,BIO,22.25,23.38,22.0,23.0,11.5,57700,0.0
2000-02-04,BIO,22.38,26.0,22.38,26.0,13.0,66200,0.0
2000-02-11,BIO,26.25,27.12,25.75,26.38,13.19,50500,0.0
2000-02-18,BIO,26.62,27.38,23.88,27.38,13.69,118300,0.0
2000-02-25,BIO,27.12,29.75,26.81,29.44,14.72,101200,0.0
2000-03-03,BIO,29.5,33.0,29.5,31.0,15.5,147600,0.0
2000-03-10,BIO,31.5,32.25,29.5,29.5,14.75,92100,0.0
2000-03-17,BIO,29.5,30.5,28.75,29.0,14.5,286000,0.0
2000-03-24,BIO,29.0,29.0,28.12,28.12,14.06,31300,0.0
2000-03-31,BIO,28.38,28.62,27.25,27.25,13.625,82200,0.0
2000-04-07,BIO,27.25,27.25,25.5,26.06,13.03,45200,0.0
2000-04-14,BIO,26.06,27.25,25.81,26.25,13.125,32500,0.0
2000-04-20,BIO,26.0,26.0,24.88,25.12,12.56,21200,0.0
2000-04-28,BIO,25.0,26.0,24.75,25.5,12.75,35500,0.0
