date,ticker,open,high,low,close,adj_close,volume,dividend
2007-01-05,BJS,29.0,29.1,26.3,26.77,25.8711,37466000,0.0
2007-01-12,BJS,27.28,27.38,25.55,26.28,25.3975,61085500,0.0
2007-01-19,BJS,26.03,26.87,25.8,26.48,25.5908,35488300,0.0
2007-01-26,BJS,26.85,27.97,26.28,26.7,25.8034,43666500,0.0
2007-02-02,BJS,26.55,28.18,26.24,27.89,26.9535,38448000,0.0
2007-02-09,BJS,28.05,28.65,27.0,27.16,26.248,30844000,0.0
2007-02-16,BJS,27.0,27.33,26.5,26.95,26.045,28555979,0.0
2007-02-23,BJS,26.61,27.84,26.52,27.42,26.4993,18281700,0.0
2007-03-02,BJS,27.69,27.99,26.14,26.46,25.5715,30056068,0.0
2007-03-09,BJS,26.01,28.6,25.85,27.85,26.9148,41760400,0.0
2007-03-16,BJS,27.55,28.01,26.7664,26.99,26.1318,25283600,0.05
2007-03-23,BJS,27.35,28.15,26.24,27.95,27.0613,43442274,0.0
2007-03-30,BJS,28.2,28.5,27.6,27.9,27.0129,30821691,0.0
2007-04-05,BJS,28.06,28.64,27.77,28.26,27.3614,16267052,0.0
2007-04-13,BJS,28.26,30.4,27.97,30.21,29.2494,36142782,0.0
2007-04-20,BJS,30.46,30.92,29.42,29.73,28.7847,30177661,0.0
2007-04-27,BJS,29.73,30.03,28.16,29.49,28.5523,36225885,0.0
2007-05-04,BJS,29.44,30.28,28.15,29.67,28.7266,29420288,0.0
2007-05-11,BJS,29.56,29.68,28.53,29.44,28.5039,22664137,0.0
2007-05-18,BJS,29.34,30.58,28.76,30.51,29.5399,31307544,0.0
2007-05-25,BJS,30.51,31.26,29.72,30.12,29.1623,38116326,0.0
2007-06-01,BJS,29.79,29.97,28.77,29.24,28.3102,32693656,0.0
2007-06-08,BJS,29.28,30.69,28.39,28.73,27.8165,41382568,0.0
2007-06-15,BJS,28.73,29.63,28.25,29.09,28.2137,35423429,0.05
2007-06-22,BJS,28.9,29.29,28.2,28.95,28.0779,31255071,0.0
2007-06-29,BJS,28.9,29.0,27.25,28.44,27.5833,36048080,0.0
2007-07-06,BJS,28.44,28.95,28.05,28.85,27.981,19639818,0.0
2007-07-13,BJS,28.77,29.02,27.87,28.27,27.4184,26884811,0.0
2007-07-20,BJS,28.0,28.82,27.25,28.28,27.4281,30217315,0.0
2007-07-27,BJS,28.63,29.52,24.38,25.96,25.178,48913552,0.0
2007-08-03,BJS,26.15,26.9,24.19,24.21,23.4807,39264982,0.0
2007-08-10,BJS,24.2,26.72,23.48,26.04,25.2556,41331225,0.0
2007-08-17,BJS,26.38,26.53,23.49,25.02,24.2663,33851875,0.0
2007-08-24,BJS,25.0,25.5,23.95,24.84,24.0918,21280420,0.0
2007-08-31,BJS,24.57,25.09,23.89,24.81,24.0627,16154100,0.0
2007-09-07,BJS,24.81,26.43,24.64,25.99,25.2071,22762000,0.0
2007-09-14,BJS,25.23,26.63,25.18,26.5,25.7513,20754800,0.05
2007-09-21,BJS,26.32,27.89,26.18,27.81,27.0243,22103113,0.0
2007-09-28,BJS,27.79,27.9,26.32,26.55,25.7999,20205222,0.0
2007-10-05,BJS,26.48,27.38,26.31,27.21,26.4413,17001800,0.0
2007-10-12,BJS,26.82,28.79,26.49,27.55,26.7717,20000717,0.0
2007-10-19,BJS,27.94,28.22,25.24,25.32,24.6047,23393501,0.0
2007-10-26,BJS,25.05,26.15,24.72,25.5,24.7796,21392514,0.0
2007-11-02,BJS,25.62,26.23,24.54,26.15,25.4112,29529770,0.0
2007-11-09,BJS,25.47,26.81,25.31,25.66,24.9351,26298735,0.0
2007-11-16,BJS,25.41,25.97,24.36,25.57,24.8476,25724045,0.0
2007-11-23,BJS,25.68,25.99,24.42,25.12,24.4103,17862773,0.0
2007-11-30,BJS,25.07,25.4,23.53,24.58,23.8856,20329711,0.0
2007-12-07,BJS,24.41,25.04,24.0,24.85,24.148,24928072,0.0
2007-12-14,BJS,24.97,25.4,23.36,23.45,22.8361,22721816,0.05
2007-12-21,BJS,23.71,24.14,23.12,24.1,23.4691,21415102,0.0
2007-12-28,BJS,23.99,24.19,23.5,24.05,23.4204,9662436,0.0
2008-01-04,BJS,23.93,24.62,22.99,23.06,22.4563,18956145,0.0
2008-01-11,BJS,23.11,23.46,21.83,22.91,22.3102,30388645,0.0
2008-01-18,BJS,23.12,24.04,20.51,21.23,20.6742,48279727,0.0
2008-01-25,BJS,20.31,21.85,19.3,20.56,20.0218,34958164,0.0
2008-02-01,BJS,20.49,22.28,20.28,22.2,21.6188,32737634,0.0
2008-02-08,BJS,22.12,22.73,21.32,22.07,21.4922,26888568,0.0
2008-02-15,BJS,22.18,24.96,22.12,24.43,23.7904,38514046,0.0
2008-02-22,BJS,24.76,25.95,24.44,25.54,24.8714,26933232,0.0
2008-02-29,BJS,25.51,27.17,25.51,25.94,25.2609,33170734,0.0
2008-03-07,BJS,26.25,26.55,24.4,24.68,24.0339,30468844,0.0
2008-03-14,BJS,24.65,25.49,23.75,25.23,24.6191,27849933,0.05
2008-03-20,BJS,24.79,25.75,23.6,24.22,23.6336,25638047,0.0
2008-03-28,BJS,24.12,28.65,24.12,28.39,27.7026,40733346,0.0
2008-04-04,BJS,28.31,29.9,27.96,29.5,28.7857,36204199,0.0
2008-04-11,BJS,29.99,29.99,28.25,28.56,27.8685,25628015,0.0
2008-04-18,BJS,28.59,33.29,28.54,33.21,32.4059,41809677,0.0
2008-04-25,BJS,32.91,33.325,26.93,28.28,27.5953,57836815,0.0
2008-05-02,BJS,28.28,28.89,27.1,27.56,26.8927,27234104,0.0
2008-05-09,BJS,27.76,30.03,27.55,29.85,29.1273,28564605,0.0
2008-05-16,BJS,29.89,31.6,28.62,31.2,30.4446,26966356,0.0
2008-05-23,BJS,31.27,31.59,29.29,29.8,29.0785,28213759,0.0
2008-05-30,BJS,29.76,30.49,29.04,30.2,29.4688,20415320,0.0
2008-06-06,BJS,30.05,32.59,29.61,31.63,30.8642,33416364,0.0
2008-06-13,BJS,31.84,32.51,30.78,31.69,30.972,24314115,0.05
2008-06-20,BJS,32.08,33.34,31.79,32.16,31.4314,29674205,0.0
2008-06-27,BJS,32.02,33.66,31.76,32.13,31.4021,31099462,0.0
2008-07-03,BJS,32.41,33.72,30.66,30.79,30.0924,32949519,0.0
2008-07-11,BJS,30.26,30.805,28.5,30.26,29.5744,33570841,0.0
2008-07-18,BJS,30.69,30.83,27.28,28.55,27.9032,36256795,0.0
2008-07-25,BJS,28.8,34.94,28.56,30.49,29.7992,51898250,0.0
2008-08-01,BJS,30.56,31.44,29.04,29.22,28.558,30599749,0.0
2008-08-08,BJS,29.0,29.25,26.18,26.28,25.6846,34412279,0.0
2008-08-15,BJS,26.18,26.62,25.79,26.15,25.5576,24978397,0.0
2008-08-22,BJS,26.58,27.86,25.42,26.83,26.2222,26154157,0.0
2008-08-29,BJS,26.79,28.5,26.5,26.85,26.2417,20700824,0.0
2008-09-05,BJS,26.05,26.24,22.37,22.83,22.3128,34322265,0.0
2008-09-12,BJS,23.77,23.94,20.51,22.58,22.1194,52085694,0.05
2008-09-19,BJS,21.89,22.81,19.64,22.58,22.1194,43734869,0.0
2008-09-26,BJS,22.99,23.33,20.04,20.8,20.3757,34617665,0.0
2008-10-03,BJS,20.37,20.37,16.22,16.56,16.2222,39888869,0.0
2008-10-10,BJS,15.94,16.13,8.93,9.55,9.3552,74790686,0.0
2008-10-17,BJS,10.75,14.19,10.07,12.94,12.6761,101117181,0.0
2008-10-24,BJS,13.25,14.21,10.95,12.04,11.7944,67039013,0.0
2008-10-31,BJS,11.81,14.435,11.38,12.83,12.5683,44200365,0.0
2008-11-07,BJS,12.67,13.53,11.85,12.35,12.0981,33014094,0.0
2008-11-14,BJS,12.85,13.03,10.55,10.93,10.7071,36801568,0.0
2008-11-21,BJS,10.87,11.58,8.67,10.13,9.9234,41508916,0.0
2008-11-28,BJS,10.6,12.02,9.83,11.99,11.7454,29852240,0.0
2008-12-05,BJS,11.16,11.27,8.34,9.39,9.1985,45684495,0.0
2008-12-12,BJS,10.0,11.7422,9.39,11.06,10.8837,38745678,0.05
2008-12-19,BJS,11.39,12.18,10.63,11.26,11.0805,32103162,0.0
2008-12-26,BJS,11.3,11.37,10.3,10.72,10.5491,13598714,0.0
2009-01-02,BJS,10.9,12.62,10.56,12.43,12.2318,13815438,0.0
2009-01-09,BJS,12.36,13.44,11.93,12.1,11.9071,27328986,0.0
2009-01-16,BJS,11.9,11.9,10.82,11.18,11.0017,35986114,0.0
2009-01-23,BJS,11.02,12.0,10.35,11.64,11.4544,27603180,0.0
2009-01-30,BJS,11.74,12.5,10.88,11.0,10.8246,40566762,0.0
2009-02-06,BJS,10.75,12.51,10.43,12.31,12.1137,34807497,0.0
2009-02-13,BJS,12.39,12.64,10.53,11.02,10.8443,31718377,0.0
2009-02-20,BJS,10.52,10.74,9.45,9.82,9.6634,24775167,0.0
2009-02-27,BJS,9.95,10.1,9.12,9.67,9.5158,35709108,0.0
2009-03-06,BJS,9.38,9.85,8.72,9.07,8.9254,35766267,0.0
2009-03-13,BJS,8.86,10.39,8.74,9.7,9.5927,36824246,0.05
2009-03-20,BJS,9.33,11.15,9.33,10.23,10.1168,39622644,0.0
2009-03-27,BJS,10.52,11.59,10.09,10.26,10.1465,36906327,0.0
2009-04-03,BJS,10.08,11.13,9.45,10.95,10.8289,36652888,0.0
2009-04-09,BJS,10.83,11.35,9.96,11.16,11.0365,21721526,0.0
2009-04-17,BJS,10.98,13.1,10.54,12.93,12.7869,44589080,0.0
2009-04-24,BJS,12.6,14.59,10.94,14.51,14.3495,84978816,0.0
2009-05-01,BJS,13.95,14.85,13.38,14.28,14.122,56120359,0.0
2009-05-08,BJS,14.35,17.0,14.32,16.62,16.4361,45930079,0.0
2009-05-15,BJS,16.19,16.35,14.01,14.28,14.122,41167352,0.0
2009-05-22,BJS,14.11,16.31,14.06,14.74,14.5769,40386913,0.0
2009-05-29,BJS,14.57,15.75,14.28,15.64,15.467,31210752,0.0
2009-06-05,BJS,16.21,16.77,14.84,15.32,15.1505,38237505,0.0
2009-06-12,BJS,15.15,16.38,14.63,15.69,15.5659,42644061,0.05
2009-06-19,BJS,15.38,15.6499,13.56,13.79,13.6809,40364689,0.0
2009-06-26,BJS,13.36,13.84,12.51,13.7,13.5916,38494212,0.0
2009-07-02,BJS,13.98,14.09,12.81,12.88,12.7781,31556963,0.0
2009-07-10,BJS,12.48,13.06,12.0,12.72,12.6194,33053351,0.0
2009-07-17,BJS,12.74,14.72,12.38,14.44,14.3258,34914591,0.0
2009-07-24,BJS,14.045,15.27,13.7,15.21,15.0897,58664891,0.0
2009-07-31,BJS,15.27,15.33,13.52,14.18,14.0678,38879789,0.0
2009-08-07,BJS,14.48,14.91,13.71,14.23,14.1174,33639494,0.0
2009-08-14,BJS,14.03,15.14,13.92,14.73,14.6135,30754999,0.0
2009-08-21,BJS,14.36,15.48,13.74,15.45,15.3278,30471574,0.0
2009-08-28,BJS,15.5,15.79,15.0,15.43,15.3079,23854632,0.0
2009-09-04,BJS,16.83,17.0,15.97,16.49,16.3595,194102540,0.0
2009-09-11,BJS,16.85,17.28,16.3965,17.19,17.1036,105632117,0.05
2009-09-18,BJS,17.07,19.88,16.86,19.82,19.7204,73427926,0.0
2009-09-25,BJS,19.44,20.06,18.91,19.29,19.193,46509240,0.0
2009-10-02,BJS,19.43,19.75,18.38,18.58,18.4866,42722477,0.0
2009-10-09,BJS,18.52,20.44,18.38,20.3,20.198,31452468,0.0
2009-10-16,BJS,20.48,21.42,19.94,21.17,21.0636,31194493,0.0
2009-10-23,BJS,21.15,21.59,20.25,20.5,20.397,32286957,0.0
2009-10-30,BJS,20.59,20.99,19.01,19.2,19.1035,34506647,0.0
2009-11-06,BJS,19.28,19.96,18.65,18.91,18.815,31294785,0.0
2009-11-13,BJS,19.19,19.87,18.73,19.06,18.9642,21566472,0.0
2009-11-20,BJS,19.15,19.99,18.62,18.7,18.606,30445946,0.0
2009-11-27,BJS,19.0,19.38,18.37,18.55,18.4568,12140330,0.0
2009-12-04,BJS,18.4,19.14,17.94,18.17,18.0787,26549258,0.0
2009-12-11,BJS,18.06,18.35,17.57,18.24,18.1981,17588737,0.05
2009-12-18,BJS,18.6,19.16,18.36,18.74,18.6969,24077587,0.0
2009-12-24,BJS,18.89,19.1,18.6,18.92,18.8765,14811372,0.0
2009-12-31,BJS,19.03,19.24,18.56,18.6,18.5572,8266965,0.0
2010-01-08,BJS,18.98,21.36,18.85,21.31,21.261,21983591,0.0
2010-01-15,BJS,21.52,21.67,20.51,21.46,21.4107,19373174,0.0
2010-01-22,BJS,21.33,21.85,20.22,20.27,20.2234,25827601,0.0
2010-01-29,BJS,20.3,22.0,20.17,20.67,20.6225,37633613,0.0
2010-02-05,BJS,20.97,21.74,19.82,20.47,20.4229,31324762,0.0
2010-02-12,BJS,20.53,21.31,20.33,21.13,21.0814,26156606,0.0
2010-02-19,BJS,21.46,22.24,21.39,22.09,22.09,21782762,0.05
2010-02-26,BJS,22.38,22.53,21.2,21.85,21.85,21778513,0.0
2010-03-05,BJS,22.06,23.01,21.89,22.96,22.96,26760744,0.0
2010-03-12,BJS,23.02,23.245,22.3,22.64,22.64,21360226,0.0
2010-03-19,BJS,22.51,23.56,21.47,21.56,21.56,26658271,0.0
2010-03-26,BJS,21.32,21.96,20.42,20.58,20.58,20443273,0.0
2010-04-01,BJS,20.73,22.03,20.67,22.03,22.03,17885364,0.0
2010-04-09,BJS,22.19,22.7,21.93,22.23,22.23,16412331,0.0
2010-04-16,BJS,22.16,22.53,21.46,21.65,21.65,14730881,0.0
2010-04-23,BJS,21.47,24.4,21.4299,24.32,24.32,30808406,0.0
2010-04-30,BJS,24.38,24.53,22.66,23.18,23.18,25875214,0.0
2010-05-07,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-05-14,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-05-21,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-05-28,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-06-04,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-06-11,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-06-18,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-06-25,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-07-02,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-07-09,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-07-16,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-07-23,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-07-30,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-08-06,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-08-13,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-08-20,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-08-27,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-09-03,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-09-10,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-09-17,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-09-24,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-10-01,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-10-08,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-10-15,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-10-22,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-10-29,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-11-05,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-11-12,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-11-19,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-11-26,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-12-03,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-12-10,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-12-17,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-12-23,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2010-12-31,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2011-01-07,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
2011-01-14,BJS,23.18,23.18,23.18,23.18,23.18,0,0.0
