date,ticker,open,high,low,close,adj_close,volume,dividend
1999-11-12,BMS,34.44,34.63,32.63,33.25,9.7759,381000,0.23
1999-11-19,BMS,33.75,34.88,33.13,33.5,9.8494,330100,0.0
1999-11-26,BMS,33.13,33.13,31.5,31.56,9.279,342200,0.0
1999-12-03,BMS,31.56,33.63,30.88,32.56,9.573,579400,0.0
1999-12-10,BMS,32.44,32.94,31.44,31.69,9.3172,487300,0.0
1999-12-17,BMS,31.94,33.0,30.81,32.5,9.5554,596100,0.0
1999-12-23,BMS,32.56,34.0,31.56,33.56,9.867,393500,0.0
1999-12-31,BMS,33.44,35.0,32.63,34.88,10.2551,350800,0.0
2000-01-07,BMS,34.63,34.94,33.25,34.63,10.1816,788200,0.0
2000-01-14,BMS,34.38,35.06,33.75,34.06,10.014,410600,0.0
2000-01-21,BMS,33.88,33.94,31.75,31.88,9.3731,486200,0.0
2000-01-28,BMS,32.06,32.38,29.5,31.25,9.1879,1071200,0.0
2000-02-04,BMS,31.44,32.13,31.14,31.81,9.3525,1029700,0.0
2000-02-11,BMS,31.81,32.0,30.25,31.5,9.2614,2475700,0.0
2000-02-18,BMS,31.5,32.63,29.63,29.94,8.87,717500,0.24
2000-02-25,BMS,29.81,30.75,28.56,29.0,8.5915,540600,0.0
2000-03-03,BMS,29.06,30.19,28.0,29.5,8.7397,773900,0.0
2000-03-10,BMS,29.56,30.13,27.06,29.88,8.8522,796400,0.0
2000-03-17,BMS,29.94,33.88,28.75,32.94,9.7588,901500,0.0
2000-03-24,BMS,33.0,34.38,32.56,34.0,10.0728,582500,0.0
2000-03-31,BMS,34.0,36.88,32.81,36.88,10.9261,724200,0.0
2000-04-07,BMS,36.88,37.81,35.69,35.88,10.6298,691300,0.0
2000-04-14,BMS,35.75,39.31,35.75,36.75,10.8876,978200,0.0
2000-04-20,BMS,36.63,38.31,36.0,37.31,11.0535,436900,0.0
2000-04-28,BMS,37.56,38.88,35.75,36.81,10.9053,594300,0.0
2000-05-05,BMS,37.31,38.88,36.75,37.06,10.9794,605800,0.0
2000-05-12,BMS,36.81,36.81,35.31,36.19,10.7216,809600,0.0
2000-05-19,BMS,36.38,38.19,35.56,35.88,10.6986,700200,0.24
2000-05-26,BMS,36.25,37.25,34.5,34.69,10.3438,648200,0.0
2000-06-02,BMS,34.44,35.5,33.88,35.0,10.4363,478500,0.0
2000-06-09,BMS,34.5,35.56,32.5,35.31,10.5287,1072100,0.0
2000-06-16,BMS,35.06,35.81,34.63,35.16,10.484,1071100,0.0
2000-06-23,BMS,35.0,35.19,33.44,33.75,10.0635,619000,0.0
2000-06-30,BMS,33.75,35.5,32.94,33.64,10.0307,1009600,0.0
2000-07-07,BMS,33.88,35.81,33.88,34.94,10.4184,573600,0.0
2000-07-14,BMS,35.0,37.5,34.91,35.69,10.642,864700,0.0
2000-07-21,BMS,35.81,36.63,34.63,35.88,10.6986,626600,0.0
2000-07-28,BMS,35.81,36.69,34.31,34.75,10.3617,433100,0.0
2000-08-04,BMS,34.88,36.0,33.06,35.06,10.4541,880100,0.0
2000-08-11,BMS,35.0,36.75,34.88,35.81,10.6778,544700,0.0
2000-08-18,BMS,35.56,36.19,34.63,35.0,10.5058,516800,0.24
2000-08-25,BMS,35.06,35.56,33.06,33.38,10.0196,563800,0.0
2000-09-01,BMS,33.38,33.75,33.06,33.31,9.9985,396700,0.0
2000-09-08,BMS,33.56,35.94,33.56,34.31,10.2987,446200,0.0
2000-09-15,BMS,34.19,34.75,32.5,32.75,9.8305,433900,0.0
2000-09-22,BMS,32.81,33.06,31.44,31.75,9.5303,475200,0.0
2000-09-29,BMS,32.0,33.13,31.06,32.13,9.6443,413300,0.0
2000-10-06,BMS,32.06,35.69,30.81,32.63,9.7944,699100,0.0
2000-10-13,BMS,32.75,34.25,30.94,31.0,9.3052,452700,0.0
2000-10-20,BMS,31.19,31.19,29.0,30.13,9.044,773900,0.0
2000-10-27,BMS,29.19,29.19,22.94,24.56,7.3721,2724500,0.0
2000-11-03,BMS,24.63,27.13,24.5,26.44,7.9364,1529300,0.0
2000-11-10,BMS,26.31,28.13,26.31,27.19,8.1615,1199300,0.0
2000-11-17,BMS,27.0,28.19,27.0,27.75,8.403,1024500,0.24
2000-11-24,BMS,27.63,27.88,26.63,27.63,8.3666,542200,0.0
