date,ticker,open,high,low,close,adj_close,volume,dividend
2007-01-05,BRL,50.25,52.48,50.24,52.31,52.31,1839300,0.0
2007-01-12,BRL,52.57,53.71,52.12,52.64,52.64,3365700,0.0
2007-01-19,BRL,53.15,55.45,52.41,55.23,55.23,2922500,0.0
2007-01-26,BRL,55.85,56.15,54.48,54.77,54.77,4241700,0.0
2007-02-02,BRL,55.05,55.05,53.3,53.97,53.97,2890700,0.0
2007-02-09,BRL,53.8,53.98,52.61,53.64,53.64,2781700,0.0
2007-02-16,BRL,53.54,55.3,52.74,55.0,55.0,2989700,0.0
2007-02-23,BRL,55.15,55.47,54.84,55.47,55.47,1338100,0.0
2007-03-02,BRL,56.39,56.66,49.28,49.71,49.71,6926500,0.0
2007-03-09,BRL,48.1,50.1,48.05,48.9,48.9,3986200,0.0
2007-03-16,BRL,48.75,49.45,47.28,48.3,48.3,3204400,0.0
2007-03-23,BRL,48.35,49.26,47.91,48.88,48.88,2755800,0.0
2007-03-30,BRL,48.81,49.1,45.77,46.35,46.35,3620800,0.0
2007-04-05,BRL,46.45,46.89,45.41,46.7,46.7,2928600,0.0
2007-04-13,BRL,46.61,48.58,46.02,48.5,48.5,4040700,0.0
2007-04-20,BRL,48.66,49.77,48.04,48.34,48.34,4654800,0.0
2007-04-27,BRL,48.24,48.82,47.49,48.57,48.57,2390200,0.0
2007-05-04,BRL,48.55,50.01,47.44,49.75,49.75,3920400,0.0
2007-05-11,BRL,49.9,54.94,49.66,54.83,54.83,5223400,0.0
2007-05-18,BRL,54.7,55.1,53.37,54.7,54.7,3130800,0.0
2007-05-25,BRL,54.6,54.95,53.7,53.91,53.91,2034600,0.0
2007-06-01,BRL,53.96,54.25,52.61,54.2,54.2,2524900,0.0
2007-06-08,BRL,54.1,55.07,51.86,52.56,52.56,2639300,0.0
2007-06-15,BRL,52.54,53.25,52.14,52.33,52.33,2322500,0.0
2007-06-22,BRL,52.34,52.48,50.66,50.81,50.81,1901800,0.0
2007-06-29,BRL,50.81,51.74,49.96,50.23,50.23,2443300,0.0
2007-07-06,BRL,50.38,51.78,50.38,51.64,51.64,1304600,0.0
2007-07-13,BRL,51.44,52.1,50.21,51.97,51.97,1942900,0.0
2007-07-20,BRL,51.81,53.16,51.75,52.21,52.21,2501500,0.0
2007-07-27,BRL,52.19,57.19,51.97,52.57,52.57,4474600,0.0
2007-08-03,BRL,52.37,53.56,50.87,52.33,52.33,2752300,0.0
2007-08-10,BRL,52.5,57.25,51.8,53.93,53.93,5085400,0.0
2007-08-17,BRL,54.04,54.82,51.53,52.67,52.67,2789700,0.0
2007-08-24,BRL,52.67,54.12,51.79,52.14,52.14,1635200,0.0
2007-08-31,BRL,51.79,51.88,49.59,50.88,50.88,2538700,0.0
2007-09-07,BRL,50.5,52.57,50.5,52.12,52.12,1814500,0.0
2007-09-14,BRL,52.2,52.47,50.1,51.41,51.41,1742000,0.0
2007-09-21,BRL,51.15,54.75,50.64,54.17,54.17,2264600,0.0
2007-09-28,BRL,54.17,57.09,53.94,56.91,56.91,2174300,0.0
2007-10-05,BRL,56.81,57.52,55.33,55.9,55.9,1807700,0.0
2007-10-12,BRL,55.78,56.16,55.18,55.81,55.81,1089600,0.0
2007-10-19,BRL,55.98,56.0,54.0,54.35,54.35,1901700,0.0
2007-10-26,BRL,54.0,56.83,53.13,56.37,56.37,1868800,0.0
2007-11-02,BRL,56.57,58.19,56.37,56.94,56.94,2235500,0.0
2007-11-09,BRL,56.7,58.38,52.25,52.42,52.42,3374600,0.0
2007-11-16,BRL,52.17,53.32,51.5,52.19,52.19,2511100,0.0
2007-11-23,BRL,51.72,52.2,50.59,52.1,52.1,1053500,0.0
2007-11-30,BRL,52.17,54.88,52.15,53.7,53.7,3245300,0.0
2007-12-07,BRL,53.7,54.6,53.06,54.01,54.01,1599300,0.0
2007-12-14,BRL,54.08,54.96,53.26,53.67,53.67,1450600,0.0
2007-12-21,BRL,53.5,54.44,52.13,54.32,54.32,1450700,0.0
2007-12-28,BRL,53.99,54.6,53.5,53.88,53.88,551900,0.0
2008-01-04,BRL,53.6,53.99,52.25,52.58,52.58,1050200,0.0
2008-01-11,BRL,52.91,55.21,51.5,54.96,54.96,2297600,0.0
2008-01-18,BRL,55.2,56.8,53.13,53.51,53.51,2441400,0.0
2008-01-25,BRL,51.75,54.29,51.4,51.68,51.68,2090400,0.0
2008-02-01,BRL,51.96,52.98,50.81,52.41,52.41,1982300,0.0
2008-02-08,BRL,52.39,52.8,50.72,50.85,50.85,1561600,0.0
2008-02-15,BRL,50.64,51.04,49.3,49.95,49.95,1856600,0.0
2008-02-22,BRL,50.31,50.66,48.55,49.2,49.2,1564000,0.0
2008-02-29,BRL,49.15,49.56,46.83,47.15,47.15,3416800,0.0
2008-03-07,BRL,46.93,49.95,45.33,46.9,46.9,4986000,0.0
2008-03-14,BRL,47.03,48.05,45.5,46.2,46.2,3164700,0.0
2008-03-20,BRL,45.82,47.27,45.45,47.04,47.04,1739500,0.0
2008-03-28,BRL,47.15,48.87,47.02,47.69,47.69,1741700,0.0
2008-04-04,BRL,47.69,51.73,47.51,51.32,51.32,1840200,0.0
2008-04-11,BRL,51.6,51.8,50.75,50.95,50.95,1359300,0.0
2008-04-18,BRL,51.0,51.57,49.36,49.6,49.6,1533200,0.0
2008-04-25,BRL,49.41,50.81,49.25,50.67,50.67,1092200,0.0
2008-05-02,BRL,50.59,51.92,50.03,51.26,51.26,1464900,0.0
2008-05-09,BRL,51.07,51.21,37.42,39.99,39.99,7188100,0.0
2008-05-16,BRL,40.0,41.0,39.37,40.0,40.0,3833400,0.0
