ticker,cause,terminal_date
AAL,bankruptcy,2012-01-17
AAPL,delisted,2019-03-14
ABBV,delisted,2019-10-18
ABC,delisted,2006-10-03
ABI,delisted,2014-05-09
ABMD,delisted,2022-12-22
ABS,delisted,2002-12-05
ABT,deregistered_after_delisting,2007-01-10
ABX,delisted,2023-07-03
ACAS,delisted,2017-01-04
ACGL,delisted,2012-05-02
ACN,deregistered,2018-03-13
ACS,deregistered_after_delisting,2008-10-06
ADBE,deregistered,1995-10-30
ADI,delisted,2006-04-06
ADM,delisted,2008-05-30
ADP,delisted,2006-11-30
ADS,delisted,2025-12-22
AEE,delisted,2005-05-20
AEP,delisted,2005-08-17
AES,delisted,2004-03-26
AFL,delisted,2006-12-21
AGC,deregistered_after_delisting,2021-12-01
AIG,delisted,2007-01-05
AIV,deregistered_after_delisting,2002-04-19
AIZ,delisted,2021-03-15
AL,delisted,2016-03-22
ALL,deregistered_after_delisting,2002-12-20
ALLE,delisted,2017-10-03
ALXN,delisted,2021-07-21
AM,deregistered_after_delisting,2019-03-13
AMAT,deregistered,2018-12-12
AMCC,delisted,2017-01-26
AMD,delisted,2014-12-31
AME,deregistered_after_delisting,2017-07-18
AMG,delisted,2004-12-02
AMGN,delisted,2020-12-28
AMH,delisted,2017-10-03
AMP,delisted,2014-06-18
AMT,deregistered_after_delisting,2012-01-04
AMZN,deregistered,2004-04-23
ANDW,deregistered_after_delisting,2007-12-27
ANF,deregistered_after_delisting,2014-03-28
AON,deregistered_after_delisting,2002-10-02
APCC,delisted,2007-02-14
APD,delisted,2008-04-15
APO,delisted,2026-07-31
APOL,delisted,2017-02-01
APTV,delisted,2019-03-18
ARC,delisted,2024-11-22
ARE,delisted,2004-08-03
ASN,deregistered_after_delisting,2010-06-10
AT,deregistered_after_delisting,2002-07-29
ATI,deregistered,1998-03-25
AV,delisted,2026-07-27
AVB,deregistered_after_delisting,2013-09-16
AVGO,deregistered_after_delisting,2022-09-30
AVP,delisted,2025-11-21
AVY,delisted,2010-11-23
AYI,deregistered,2007-10-12
AZO,deregistered,2000-10-24
BAC,delisted,2003-05-21
BALL,deregistered_after_delisting,2006-08-01
BAX,deregistered_after_delisting,2006-02-23
BAY,bankruptcy,2010-06-07
BBT,delisted,2012-11-16
BBWI,deregistered,2024-08-07
BC,delisted,2006-12-21
BCO,delisted,2007-10-05
BDX,delisted,2006-05-22
BEN,delisted,2006-09-05
BF-B,deregistered_after_delisting,2026-07-07
BIG,delisted,2020-12-18
BIO,delisted,2008-10-22
BJS,deregistered_after_delisting,2011-10-03
BK,deregistered_after_delisting,2019-03-29
BKNG,delisted,2019-12-06
BKR,delisted,2021-12-06
BLDR,delisted,2010-01-12
BLS,delisted,2007-03-15
BMET,deregistered_after_delisting,2006-12-18
BMY,delisted,2007-01-03
BOAT,delisted,2026-05-15
BRCM,delisted,2016-02-01
BRK-B,delisted,2020-03-16
BRL,delisted,2009-08-18
BRO,delisted,2005-11-23
BSC,delisted,2008-11-07
BSX,deregistered_after_delisting,2023-06-01
BT,delisted,2019-09-03
BUD,delisted,2018-08-14
BVSN,bankruptcy,2020-05-18
BWA,delisted,2006-11-01
BX,deregistered_after_delisting,2019-07-01
BXP,delisted,2021-04-01
C,deregistered_after_delisting,2003-03-07
CA,deregistered_after_delisting,2006-12-06
CAG,deregistered,1995-12-29
CAH,deregistered,2005-06-29
CAL,delisted,2002-01-24
CAM,delisted,2008-08-14
CAR,delisted,2004-08-25
CARR,delisted,2024-11-08
CAT,deregistered_after_delisting,2003-08-22
CB,deregistered_after_delisting,2003-05-19
CBOE,delisted,2018-09-14
CBRE,deregistered,2002-05-24
CBS,delisted,2003-01-21
CBSS,deregistered_after_delisting,2007-09-06
CCI,delisted,2014-12-16
CCK,delisted,2025-12-22
CCL,delisted,2003-10-14
CE,bankruptcy,2010-02-17
CELG,deregistered_after_delisting,2019-11-20
CEN,delisted,2010-03-15
CEPH,delisted,2011-10-14
CERN,delisted,2022-06-08
CF,delisted,2015-04-15
CFC,delisted,2006-09-06
CFG,delisted,2024-07-09
CG,deregistered_after_delisting,2019-10-07
CHTR,bankruptcy,2009-04-22
CIEN,delisted,2013-12-13
CL,deregistered_after_delisting,2003-07-03
CLF,delisted,2009-07-02
CLX,delisted,2006-08-04
CMA,delisted,2007-08-17
CMCSA,deregistered_after_delisting,2011-11-30
CMCSK,deregistered_after_delisting,2011-11-30
CME,delisted,2008-07-11
CMG,deregistered_after_delisting,2009-12-22
CMI,delisted,2006-12-18
CMS,delisted,2002-07-05
CMVT,deregistered_after_delisting,2007-05-22
CNG,deregistered_after_delisting,2007-07-23
CNP,delisted,2021-09-01
CNXT,delisted,2011-04-19
COF,deregistered_after_delisting,2005-05-20
COL,delisted,2021-08-23
COMS,delisted,2010-04-12
COO,delisted,2023-09-25
COP,deregistered,2004-06-24
COR,delisted,2009-11-24
COST,deregistered,2003-07-24
CPB,delisted,2024-08-16
CPT,deregistered,2001-05-03
CSCO,deregistered,1996-10-29
CSE,deregistered_after_delisting,2006-12-19
CSR,deregistered_after_delisting,2012-12-17
CSRA,deregistered_after_delisting,2018-04-04
CSX,delisted,2015-12-21
CTXS,delisted,2022-09-30
CVC,deregistered_after_delisting,2011-10-03
CVG,delisted,2011-10-07
CVX,deregistered,2009-01-30
D,delisted,2004-11-18
DAL,bankruptcy,2007-04-30
DASH,delisted,2023-09-26
DAY,delisted,2009-01-20
DDR,delisted,2002-04-19
DE,delisted,2009-07-01
DEC,delisted,2025-11-24
DECK,delisted,2014-05-05
DELL,deregistered_after_delisting,2018-12-28
DG,delisted,2007-07-12
DGX,delisted,2005-01-18
DHI,deregistered_after_delisting,2003-07-02
DHR,delisted,2007-01-26
DI,delisted,2024-09-16
DISCA,delisted,2022-04-08
DISCK,delisted,2022-04-08
DISH,delisted,2019-12-09
DJ,delisted,2003-12-30
DLR,delisted,2010-10-12
DOC,deregistered_after_delisting,2003-05-05
DOV,deregistered_after_delisting,2019-12-04
DPZ,delisted,2024-12-31
DRI,deregistered_after_delisting,2006-02-03
DTE,delisted,2005-08-17
DUK,bankruptcy,2021-10-07
DVA,delisted,2011-07-12
DVN,deregistered_after_delisting,2008-08-20
DXC,delisted,2021-09-29
EA,delisted,2026-08-04
EBAY,delisted,2021-03-01
EC,delisted,2018-04-16
ECL,deregistered_after_delisting,2006-03-14
ED,delisted,2007-06-04
EFX,deregistered_after_delisting,2015-02-23
EHC,deregistered_after_delisting,2017-01-12
EIX,delisted,2006-12-07
ELV,deregistered_after_delisting,2004-11-18
EMN,delisted,2002-01-17
EMR,delisted,2024-05-22
ENDP,deregistered_after_delisting,2014-02-28
EOG,delisted,2010-02-25
EOP,deregistered_after_delisting,2007-02-13
EQT,deregistered_after_delisting,2007-02-23
ERIE,deregistered,2008-09-16
ES,delisted,2009-03-04
ESRX,deregistered_after_delisting,2018-12-21
ESS,delisted,2016-04-18
ETFC,deregistered_after_delisting,2006-12-26
ETR,bankruptcy,2007-03-09
ETSY,delisted,2025-10-10
EVHC,deregistered_after_delisting,2017-07-05
EVRG,delisted,2022-12-27
EXC,delisted,2017-06-01
EXE,bankruptcy,2004-03-26
EXPD,delisted,2023-11-20
EXPE,delisted,2009-02-04
F,delisted,2002-12-05
FB,deregistered_after_delisting,2020-08-17
FCX,delisted,2002-05-13
FDX,delisted,2019-04-12
FE,bankruptcy,2018-04-05
FHN,delisted,2021-07-12
FI,delisted,2003-06-13
FIS,delisted,2021-01-15
FISV,delisted,2023-06-06
FITB,deregistered_after_delisting,2012-08-09
FLR,delisted,2023-01-31
FLS,delisted,2006-08-22
FLT,delisted,2008-04-16
FMC,delisted,2006-12-15
FMCC,bankruptcy,2010-06-28
FNMA,bankruptcy,2007-01-18
FPC,delisted,2013-02-12
FRT,delisted,2003-06-18
FTV,delisted,2021-07-02
GE,delisted,2008-08-11
GENZ,delisted,2011-04-08
GGP,deregistered_after_delisting,2018-08-28
GIS,delisted,2006-02-14
GL,delisted,2012-11-19
GLD,delisted,2007-12-06
GLW,delisted,2026-05-15
GM,delisted,2013-11-25
GMCR,deregistered_after_delisting,2016-03-03
GME,deregistered_after_delisting,2005-11-03
GNW,delisted,2007-05-16
GR,delisted,2010-03-15
GRA,delisted,2025-12-29
GRMN,delisted,2010-06-25
GRN,delisted,2003-06-13
GS,delisted,2002-10-09
GT,delisted,2012-12-17
GWW,deregistered_after_delisting,2009-06-09
GX,delisted,2021-07-19
HAL,deregistered,2009-07-29
HAS,delisted,2010-12-20
HBAN,deregistered_after_delisting,2018-02-22
HCA,delisted,2006-11-20
HCBK,delisted,2015-10-30
HD,deregistered,1999-11-04
HET,deregistered_after_delisting,2006-11-01
HI,bankruptcy,2019-06-04
HIG,delisted,2002-11-04
HM,delisted,2025-07-02
HOG,deregistered,2010-09-10
HOLX,deregistered_after_delisting,2013-01-04
HON,deregistered_after_delisting,2002-06-07
HPQ,delisted,2006-05-23
HRB,delisted,2007-01-19
HSP,delisted,2007-03-13
HST,delisted,2004-08-13
HSY,delisted,2010-12-16
HUBB,deregistered_after_delisting,2015-12-24
HWM,delisted,2017-10-02
I,delisted,2016-03-22
IAC,deregistered_after_delisting,2009-02-04
IBM,delisted,2002-11-04
IEX,delisted,2017-11-09
IFF,delisted,2021-09-15
IGT,deregistered_after_delisting,2015-04-07
ILMN,deregistered,2011-05-04
INGR,deregistered_after_delisting,2009-02-19
INTC,deregistered,1999-07-13
IP,delisted,2011-03-07
IRM,deregistered_after_delisting,2003-01-21
IT,delisted,2005-07-19
ITT,delisted,2003-06-18
ITW,delisted,2009-04-10
IVZ,delisted,2022-05-06
J,delisted,2022-08-29
JCI,deregistered_after_delisting,2014-11-17
JEF,delisted,2005-06-17
JNJ,delisted,2019-11-06
JOS,delisted,2013-10-21
JOY,delisted,2002-05-06
JP,bankruptcy,2009-04-06
JPM,deregistered_after_delisting,2002-03-13
K,delisted,2011-10-06
KATE,deregistered_after_delisting,2017-07-12
KBH,delisted,2002-01-03
KDP,delisted,2020-09-18
KEY,delisted,2011-09-01
KHC,delisted,2025-05-08
KIM,delisted,2002-01-17
KKR,deregistered_after_delisting,2018-07-02
KM,deregistered_after_delisting,2009-04-13
KMB,delisted,2024-09-09
KMG,deregistered_after_delisting,2012-06-19
KMI,deregistered_after_delisting,2017-05-24
KO,delisted,2017-03-15
KRFT,deregistered_after_delisting,2015-07-02
