date,SPY,EFA,VGTSX,VFITX,XLK,XLF,XLE,XLV,XLI,XLY,XLP,XLU,XLB,INTL,IRX
1996-01-02,36.627804,,,2.911211,,,,,,,,,,,4.970000
1996-01-03,36.729118,,,2.913890,,,,,,,,,,,5.050000
1996-01-04,36.379154,,,2.905863,,,,,,,,,,,5.030000
1996-01-05,36.305454,,,2.897834,,,,,,,,,,,5.040000
1996-01-08,36.443634,,,2.897834,,,,,,,,,,,5.030000
1996-01-09,35.817345,,,2.897834,,,,,,,,,,,5.010000
1996-01-10,35.347652,,,2.881779,,,,,,,,,,,5.040000
1996-01-11,35.559460,,,2.887130,,,,,,,,,,,5.030000
1996-01-12,35.504211,,,2.892482,,,,,,,,,,,5.020000
1996-01-15,35.430538,,,2.892482,,,,,,,,,,,5.020000
1996-01-16,35.863392,,,2.903185,,,,,,,,,,,5.000000
1996-01-17,35.752884,,,2.913890,,,,,,,,,,,4.990000
1996-01-18,35.872601,,,2.919238,,,,,,,,,,,4.950000
1996-01-19,36.112057,,,2.921918,,,,,,,,,,,4.960000
1996-01-22,36.121269,,,2.908534,,,,,,,,,,,4.980000
1996-01-23,36.204166,,,2.903185,,,,,,,,,,,4.970000
1996-01-24,36.498878,,,2.908534,,,,,,,,,,,4.980000
1996-01-25,36.369957,,,2.895157,,,,,,,,,,,4.970000
1996-01-26,36.683079,,,2.905863,,,,,,,,,,,4.970000
1996-01-29,36.830437,,,2.900509,,,,,,,,,,,5.000000
1996-01-30,37.143566,,,2.911211,,,,,,,,,,,4.990000
1996-01-31,37.530373,,,2.931381,,,,,,,,,,,4.910000
1996-02-01,37.668533,,,2.931381,,,,,,,,,,,4.890000
1996-02-02,37.511967,,,2.923312,,,,,,,,,,,4.840000
1996-02-05,37.815899,,,2.920627,,,,,,,,,,,4.870000
1996-02-06,38.175076,,,2.923312,,,,,,,,,,,4.840000
1996-02-07,38.396126,,,2.923312,,,,,,,,,,,4.800000
1996-02-08,38.810574,,,2.923312,,,,,,,,,,,4.780000
1996-02-09,38.801357,,,2.926001,,,,,,,,,,,4.790000
1996-02-12,39.096081,,,2.934070,,,,,,,,,,,4.790000
1996-02-13,39.013195,,,2.939450,,,,,,,,,,,4.790000
1996-02-14,38.672432,,,2.934070,,,,,,,,,,,4.800000
1996-02-15,38.432961,,,2.920627,,,,,,,,,,,4.770000
1996-02-16,38.276402,,,2.909867,,,,,,,,,,,4.760000
1996-02-20,37.898785,,,2.869526,,,,,,,,,,,4.830000
1996-02-21,38.368484,,,2.874906,,,,,,,,,,,4.820000
1996-02-22,38.976360,,,2.885664,,,,,,,,,,,4.800000
1996-02-23,38.865807,,,2.874906,,,,,,,,,,,4.830000
1996-02-26,38.313236,,,2.869526,,,,,,,,,,,4.850000
1996-02-27,38.193485,,,2.861460,,,,,,,,,,,4.880000
1996-02-28,38.018520,,,2.848012,,,,,,,,,,,4.880000
1996-02-29,37.650127,,,2.861794,,,,,,,,,,,4.880000
1996-03-01,38.248768,,,2.880710,,,,,,,,,,,4.860000
1996-03-04,38.469810,,,2.894224,,,,,,,,,,,4.880000
1996-03-05,38.828976,,,2.883413,,,,,,,,,,,4.890000
1996-03-06,38.488213,,,2.869901,,,,,,,,,,,4.890000
1996-03-07,38.681637,,,2.867202,,,,,,,,,,,4.890000
1996-03-08,37.429054,,,2.810449,,,,,,,,,,,4.910000
1996-03-11,37.861950,,,2.823959,,,,,,,,,,,4.950000
1996-03-12,37.567230,,,2.818560,,,,,,,,,,,4.950000
1996-03-13,37.825104,,,2.818560,,,,,,,,,,,4.960000
1996-03-14,37.990868,,,2.815854,,,,,,,,,,,4.970000
1996-03-15,37.965355,,,2.799641,,,,,,,,,,,5.000000
1996-03-18,38.696178,,,2.805047,,,,,,,,,,,5.030000
1996-03-19,38.612907,,,2.807749,,,,,,,,,,,5.030000
1996-03-20,38.566658,,,2.821262,,,,,,,,,,,5.030000
1996-03-21,38.474136,,,2.829367,,,,,,,,,,,4.940000
1996-03-22,38.575912,,,2.818560,,,,,,,,,,,4.970000
1996-03-25,38.501907,,,2.832068,,,,,,,,,,,4.930000
1996-03-26,38.686916,,,2.832068,,,,,,,,,,,5.000000
1996-03-27,38.335403,,,2.815854,,,,,,,,,,,5.020000
1996-03-28,38.483414,,,2.802341,,,,,,,,,,,5.050000
1996-03-29,38.298397,,,2.830598,,,,,,,,,,,5.000000
1996-04-01,38.742413,,,2.836029,,,,,,,,,,,5.030000
1996-04-02,38.816422,,,2.844179,,,,,,,,,,,5.020000
1996-04-03,38.816422,,,2.838742,,,,,,,,,,,5.000000
1996-04-04,38.788670,,,2.827875,,,,,,,,,,,4.980000
1996-04-08,38.122623,,,2.781697,,,,,,,,,,,5.020000
1996-04-09,37.974606,,,2.792564,,,,,,,,,,,4.980000
1996-04-10,37.299305,,,2.781697,,,,,,,,,,,4.950000
1996-04-11,37.253059,,,2.773549,,,,,,,,,,,4.940000
1996-04-12,37.724819,,,2.800714,,,,,,,,,,,4.930000
1996-04-15,38.039360,,,2.808860,,,,,,,,,,,4.870000
1996-04-16,38.150360,,,2.806147,,,,,,,,,,,4.820000
1996-04-17,38.057865,,,2.797997,,,,,,,,,,,4.830000
1996-04-18,38.113369,,,2.789850,,,,,,,,,,,4.850000
1996-04-19,38.205883,,,2.800714,,,,,,,,,,,4.880000
1996-04-22,38.501907,,,2.808860,,,,,,,,,,,4.880000
1996-04-23,38.622166,,,2.806147,,,,,,,,,,,4.960000
1996-04-24,38.483414,,,2.797997,,,,,,,,,,,5.000000
1996-04-25,38.659157,,,2.800714,,,,,,,,,,,4.970000
1996-04-26,38.742413,,,2.803428,,,,,,,,,,,4.970000
1996-04-29,38.742413,,4.735351,2.797997,,,,,,,,,,1.000000,5.000000
1996-04-30,38.714680,,4.730732,2.801547,,,,,,,,,,0.999025,5.010000
1996-05-01,38.797924,,4.707658,2.798815,,,,,,,,,,0.994152,4.970000
1996-05-02,38.131847,,4.703043,2.774240,,,,,,,,,,0.993177,4.990000
1996-05-03,38.076363,,4.684583,2.766047,,,,,,,,,,0.989279,5.000000
1996-05-06,38.039360,,4.679966,2.771511,,,,,,,,,,0.988304,4.990000
1996-05-07,37.882088,,4.666119,2.768778,,,,,,,,,,0.985380,5.010000
1996-05-08,38.353863,,4.666119,2.779702,,,,,,,,,,0.985380,4.990000
1996-05-09,38.326145,,4.666119,2.774240,,,,,,,,,,0.985380,4.990000
1996-05-10,38.705421,,4.656890,2.787895,,,,,,,,,,0.983431,4.990000
