date,ticker,state,action,price
2026-09-18,FRES.L,TOPPING,REDUCE,3035.0
2026-09-18,IQE.L,COOLING,HOLD,42.7
2026-09-18,ZOO.L,STRONG,HOLD,15.75
2026-09-18,LIT.L,TOPPING,REDUCE,2.26
2026-09-18,DEBS.L,STEADY,HOLD,24.7
2026-09-18,AAPL,STEADY,HOLD,336.13
2026-09-18,AMZN,STEADY,HOLD,253.71
2026-09-18,GOOG,COOLING,HOLD,344.41
2026-09-18,MSFT,STRONG,HOLD,493.78
2026-09-18,NVDA,STRONG,HOLD,222.27
2026-09-18,TSLA,FALLING,WATCH,364.27
2026-09-18,CELH,TOPPING,REDUCE,28.02
2026-09-18,VST,TOPPING,REDUCE,140.67
2026-09-18,TEM,STRONG,HOLD,77.84
2026-09-18,SPCX,INSUFFICIENT DATA,HOLD,152.71
2026-09-21,FRES.L,TOPPING,REDUCE,
2026-09-21,IQE.L,COOLING,HOLD,
2026-09-21,ZOO.L,COOLING,HOLD,
2026-09-21,LIT.L,TOPPING,REDUCE,
2026-09-21,DEBS.L,STEADY,HOLD,
2026-09-21,AAPL,STEADY,HOLD,338.98
2026-09-21,AMZN,STEADY,HOLD,258.45
2026-09-21,GOOG,COOLING,HOLD,350.87
2026-09-21,MSFT,STRONG,HOLD,501.61
2026-09-21,NVDA,STRONG,HOLD,227.38
2026-09-21,TSLA,TOPPING,REDUCE,375.3
2026-09-21,CELH,TOPPING,REDUCE,28.02
2026-09-21,VST,TOPPING,REDUCE,140.78
2026-09-21,TEM,STRONG,HOLD,78.03
2026-09-21,SPCX,INSUFFICIENT DATA,HOLD,151.85
2026-09-22,FRES.L,TOPPING,REDUCE,
2026-09-22,IQE.L,COOLING,HOLD,
2026-09-22,ZOO.L,COOLING,HOLD,
2026-09-22,LIT.L,TOPPING,REDUCE,
2026-09-22,DEBS.L,STEADY,HOLD,
2026-09-22,AAPL,STEADY,HOLD,
2026-09-22,AMZN,STEADY,HOLD,
2026-09-22,GOOG,STEADY,HOLD,
2026-09-22,MSFT,STRONG,HOLD,
2026-09-22,NVDA,STRONG,HOLD,
2026-09-22,TSLA,TOPPING,REDUCE,
2026-09-22,CELH,TOPPING,REDUCE,
2026-09-22,VST,TOPPING,REDUCE,
2026-09-22,TEM,STRONG,HOLD,
2026-09-22,SPCX,INSUFFICIENT DATA,HOLD,
2026-09-23,FRES.L,TOPPING,REDUCE,
2026-09-23,IQE.L,COOLING,HOLD,
2026-09-23,ZOO.L,COOLING,HOLD,
2026-09-23,LIT.L,TOPPING,REDUCE,
2026-09-23,DEBS.L,STEADY,HOLD,
2026-09-23,AAPL,STEADY,HOLD,337.02
2026-09-23,AMZN,STEADY,HOLD,249.27
2026-09-23,GOOG,COOLING,HOLD,334.98
2026-09-23,MSFT,STRONG,HOLD,500.59
2026-09-23,NVDA,STRONG,HOLD,225.51
2026-09-23,TSLA,TOPPING,REDUCE,380.12
2026-09-23,CELH,TOPPING,REDUCE,29.18
2026-09-23,VST,FALLING,WATCH,137.97
2026-09-23,TEM,STRONG,HOLD,76.59
2026-09-23,SPCX,INSUFFICIENT DATA,HOLD,148.36
